DOI,Title,Link
10.1016/j.jss.2021.111050,Systematic literature review of validation methods for AI systems,https://www.sciencedirect.com/science/article/pii/S0164121221001473
10.1016/j.jss.2021.111045,Practical hybrid confidentiality-based analytics framework with Intel SGX,https://www.sciencedirect.com/science/article/pii/S0164121221001424
10.1016/j.jss.2021.111063,Improved retrieval of programming solutions with code examples using a multi-featured score,https://www.sciencedirect.com/science/article/pii/S0164121221001606
10.1016/j.jss.2021.111048,Practical heuristics to improve precision for erroneous function argument swapping detection in C and C++,https://www.sciencedirect.com/science/article/pii/S016412122100145X
10.1016/j.jss.2021.111041,MeMo: Automatically identifying metamorphic relations in Javadoc comments for test automation,https://www.sciencedirect.com/science/article/pii/S0164121221001382
10.1016/j.jss.2021.111039,The ratio of equivalent mutants: A key to analyzing mutation equivalence,https://www.sciencedirect.com/science/article/pii/S0164121221001369
10.1016/j.jss.2021.111049,Automated refactoring of legacy JavaScript code to ES6 modules,https://www.sciencedirect.com/science/article/pii/S0164121221001461
10.1016/j.jss.2021.111042,A parallel worklist algorithm and its exploration heuristics for static modular analyses,https://www.sciencedirect.com/science/article/pii/S0164121221001394
10.1016/j.jss.2021.111038,Investigating the performance of personalized models for software defect prediction,https://www.sciencedirect.com/science/article/pii/S0164121221001357
10.1016/j.jss.2021.111007,A formal approach for the analysis of BPMN collaboration models,https://www.sciencedirect.com/science/article/pii/S0164121221001047
10.1016/j.jss.2021.111033,Hippo: A formal-model execution engine to control and verify critical real-time systems,https://www.sciencedirect.com/science/article/pii/S0164121221001308
10.1016/j.jss.2021.111046,Automated identification of security discussions in microservices systems: Industrial surveys and experiments,https://www.sciencedirect.com/science/article/pii/S0164121221001436
10.1016/j.jss.2021.111047,How to identify class comment types? A multi-language approach for class comment classification,https://www.sciencedirect.com/science/article/pii/S0164121221001448
10.1016/j.jss.2021.111040,Stability evaluation for text localization systems via metamorphic testing,https://www.sciencedirect.com/science/article/pii/S0164121221001370
10.1016/j.jss.2021.111043,Enhancing the analysis of software failures in cloud computing systems with deep learning,https://www.sciencedirect.com/science/article/pii/S0164121221001400
10.1016/j.jss.2021.111035,"Architecture information communication in two OSS projects: The why, who, when, and what",https://www.sciencedirect.com/science/article/pii/S0164121221001321
10.1016/j.jss.2021.111027,Investigating and recommending co-changed entities for JavaScript programs,https://www.sciencedirect.com/science/article/pii/S0164121221001242
10.1016/j.jss.2021.111030,A novel blockchain protocol for selecting microservices providers and auditing contracts,https://www.sciencedirect.com/science/article/pii/S0164121221001278
10.1016/j.jss.2021.111026,Software defect prediction based on enhanced metaheuristic feature selection optimization and a hybrid deep neural network,https://www.sciencedirect.com/science/article/pii/S0164121221001230
10.1016/j.jss.2021.111028,Tuning configuration of apache spark on public clouds by combining multi-objective optimization and performance prediction model,https://www.sciencedirect.com/science/article/pii/S0164121221001254
10.1016/j.jss.2021.111032,Model-based testing in practice: An experience report from the web applications domain,https://www.sciencedirect.com/science/article/pii/S0164121221001291
10.1016/j.jss.2021.111010,A sustainable-development approach for self-adaptive cyber–physical system’s life cycle: A systematic mapping study,https://www.sciencedirect.com/science/article/pii/S0164121221001072
10.1016/j.jss.2021.111011,A hybrid code representation learning approach for predicting method names,https://www.sciencedirect.com/science/article/pii/S0164121221001084
10.1016/j.jss.2021.111017,Mob programming: From avant-garde experimentation to established practice,https://www.sciencedirect.com/science/article/pii/S016412122100114X
10.1016/j.jss.2021.111015,Improving observability in Event Sourcing systems,https://www.sciencedirect.com/science/article/pii/S0164121221001126
10.1016/j.jss.2021.111016,ARTINALI++: Multi-dimensional Specification Mining for Complex Cyber-Physical System Security,https://www.sciencedirect.com/science/article/pii/S0164121221001138
10.1016/j.jss.2021.111014,Deployment and communication patterns in microservice architectures: A systematic literature review,https://www.sciencedirect.com/science/article/pii/S0164121221001114
10.1016/j.jss.2021.110993,Automated defect prioritization based on defects resolved at various project periods,https://www.sciencedirect.com/science/article/pii/S016412122100090X
10.1016/j.jss.2021.110969,Mining guidelines for architecting robotics software,https://www.sciencedirect.com/science/article/pii/S0164121221000662
10.1016/j.jss.2021.111013,Understanding the perceived relevance of capability measures: A survey of Agile Software Development practitioners,https://www.sciencedirect.com/science/article/pii/S0164121221001102
10.1016/j.jss.2021.111012,Towards effective metamorphic testing by algorithm stability for linear classification programs,https://www.sciencedirect.com/science/article/pii/S0164121221001096
10.1016/j.jss.2021.111006,MeTeaM—A method for characterizing mature software metrics teams,https://www.sciencedirect.com/science/article/pii/S0164121221001035
10.1016/j.jss.2021.110991,A functional safety assessment method for cooperative automotive architecture,https://www.sciencedirect.com/science/article/pii/S0164121221000881
10.1016/j.jss.2021.111003,Finding security threats that matter: Two industrial case studies,https://www.sciencedirect.com/science/article/pii/S016412122100100X
10.1016/j.jss.2021.110984,A study on correlations between architectural smells and design patterns,https://www.sciencedirect.com/science/article/pii/S0164121221000819
10.1016/j.jss.2021.111005,Mining Architecture Tactics and Quality Attributes knowledge in Stack Overflow,https://www.sciencedirect.com/science/article/pii/S0164121221001023
10.1016/j.jss.2021.110973,Synthesizing researches on Knowledge Management and Agile Software Development using the Meta-ethnography method,https://www.sciencedirect.com/science/article/pii/S0164121221000704
10.1016/j.jss.2021.110989,BASBA: A framework for Building Adaptable Service-Based Applications,https://www.sciencedirect.com/science/article/pii/S0164121221000868
10.1016/j.jss.2021.110967,A scheduling-driven approach to efficiently assign bug fixing tasks to developers,https://www.sciencedirect.com/science/article/pii/S0164121221000649
10.1016/j.jss.2021.110975,A three-step hybrid specification approach to error prevention,https://www.sciencedirect.com/science/article/pii/S0164121221000728
10.1016/j.jss.2021.110988,Observation-based approximate dependency modeling and its use for program slicing,https://www.sciencedirect.com/science/article/pii/S0164121221000856
10.1016/j.jss.2021.110990,Evaluating T-wise testing strategies in a community-wide dataset of configurable software systems,https://www.sciencedirect.com/science/article/pii/S016412122100087X
10.1016/j.jss.2021.110985,A holistic approach for cross-platform software development,https://www.sciencedirect.com/science/article/pii/S0164121221000820
10.1016/j.jss.2021.110970,An empirical characterization of event sourced systems and their schema evolution — Lessons from industry,https://www.sciencedirect.com/science/article/pii/S0164121221000674
10.1016/j.jss.2021.110968,"Identifying architectural technical debt, principal, and interest in microservices: A multiple-case study",https://www.sciencedirect.com/science/article/pii/S0164121221000650
10.1016/j.jss.2021.110964,Android code smells: From introduction to refactoring,https://www.sciencedirect.com/science/article/pii/S0164121221000613
10.1016/j.jss.2021.110987,On the Understandability of Language Constructs to Structure the State and Behavior in Abstract State Machine Specifications: A Controlled Experiment,https://www.sciencedirect.com/science/article/pii/S0164121221000844
10.1016/j.jss.2021.110960,System quality and security certification in seven weeks: A multi-case study in Spanish SMEs,https://www.sciencedirect.com/science/article/pii/S0164121221000571
10.1016/j.jss.2021.110986,An extensive study on smell-aware bug localization,https://www.sciencedirect.com/science/article/pii/S0164121221000832
10.1016/j.jss.2021.110974,Digging into group establishment: Intervention design and evaluation,https://www.sciencedirect.com/science/article/pii/S0164121221000716
10.1016/j.jss.2021.110950,Application of agile methods in traditional logistics companies and logistics startups: Results from a German Delphi Study,https://www.sciencedirect.com/science/article/pii/S0164121221000479
10.1016/j.jss.2021.110961,GloBug: Using global data in Fault Localization,https://www.sciencedirect.com/science/article/pii/S0164121221000583
10.1016/j.jss.2021.110976,An empirical study on the co-occurrence between refactoring actions and Self-Admitted Technical Debt removal,https://www.sciencedirect.com/science/article/pii/S016412122100073X
10.1016/j.jss.2021.110948,A formal specification animation method for operation validation,https://www.sciencedirect.com/science/article/pii/S0164121221000455
10.1016/j.jss.2021.110971,Characterizing top ranked code examples in Google,https://www.sciencedirect.com/science/article/pii/S0164121221000686
10.1016/j.jss.2021.110962,Runtime verification of train control systems with parameterized modal live sequence charts,https://www.sciencedirect.com/science/article/pii/S0164121221000595
10.1016/j.jss.2021.110942,"Accessibility in the mobile development industry in Brazil: Awareness, knowledge, adoption, motivations and barriers",https://www.sciencedirect.com/science/article/pii/S016412122100039X
10.1016/j.jss.2021.110940,A comparative study of test code clones and production code clones,https://www.sciencedirect.com/science/article/pii/S0164121221000376
10.1016/j.jss.2021.110944,Adapting Behavior Driven Development (BDD) for large-scale software systems,https://www.sciencedirect.com/science/article/pii/S0164121221000418
10.1016/j.jss.2021.110941,Multilayered review of safety approaches for machine learning-based systems in the days of AI,https://www.sciencedirect.com/science/article/pii/S0164121221000388
10.1016/j.jss.2021.110943,SLA-aware multiple migration planning and scheduling in SDN-NFV-enabled clouds,https://www.sciencedirect.com/science/article/pii/S0164121221000406
10.1016/j.jss.2021.110947,Evaluating the effectiveness of risk containers to isolate change propagation,https://www.sciencedirect.com/science/article/pii/S0164121221000443
10.1016/j.jss.2021.110963,Tigris: A DSL and framework for monitoring software systems at runtime,https://www.sciencedirect.com/science/article/pii/S0164121221000601
10.1016/j.jss.2021.110933,On introducing automatic test case generation in practice: A success story and lessons learned,https://www.sciencedirect.com/science/article/pii/S0164121221000303
10.1016/j.jss.2021.110935,"The symptoms, causes, and repairs of bugs inside a deep learning library",https://www.sciencedirect.com/science/article/pii/S0164121221000327
10.1016/j.jss.2021.110952,Memory efficient context-sensitive program analysis,https://www.sciencedirect.com/science/article/pii/S0164121221000492
10.1016/j.jss.2021.110951,A systematic literature review and taxonomy of modern code review,https://www.sciencedirect.com/science/article/pii/S0164121221000480
10.1016/j.jss.2021.110945,Facilitating program comprehension with call graph multilevel hierarchical abstractions,https://www.sciencedirect.com/science/article/pii/S016412122100042X
10.1016/j.jss.2021.110937,Studying test-driven development and its retainment over a six-month time span,https://www.sciencedirect.com/science/article/pii/S0164121221000340
10.1016/j.jss.2021.110938,Data quality certification using ISO/IEC 25012: Industrial experiences,https://www.sciencedirect.com/science/article/pii/S0164121221000352
10.1016/j.jss.2021.110939,Why do builds fail?—A conceptual replication study,https://www.sciencedirect.com/science/article/pii/S0164121221000364
10.1016/j.jss.2021.110936,Code smell detection by deep direct-learning and transfer-learning,https://www.sciencedirect.com/science/article/pii/S0164121221000339
10.1016/j.jss.2021.110934,Market-oriented online bi-objective service scheduling for pleasingly parallel jobs with variable resources in cloud environments,https://www.sciencedirect.com/science/article/pii/S0164121221000315
10.1016/j.jss.2021.110922,Product-line assurance cases from contract-based design,https://www.sciencedirect.com/science/article/pii/S0164121221000194
10.1016/j.jss.2021.110924,A Kubernetes controller for managing the availability of elastic microservice based stateful applications,https://www.sciencedirect.com/science/article/pii/S0164121221000212
10.1016/j.jss.2021.110925,Building and evaluating a theory of architectural technical debt in software-intensive systems,https://www.sciencedirect.com/science/article/pii/S0164121221000224
10.1016/j.jss.2021.110919,GEML: A grammar-based evolutionary machine learning approach for design-pattern detection,https://www.sciencedirect.com/science/article/pii/S0164121221000169
10.1016/j.jss.2021.110910,Product metrics for spreadsheets—A systematic review,https://www.sciencedirect.com/science/article/pii/S0164121221000078
10.1016/j.jss.2021.110909,ProDSPL: Proactive self-adaptation based on Dynamic Software Product Lines,https://www.sciencedirect.com/science/article/pii/S0164121221000066
10.1016/j.jss.2021.110912,Blended graphical and textual modelling for UML profiles: A proof-of-concept implementation and experiment,https://www.sciencedirect.com/science/article/pii/S0164121221000091
10.1016/j.jss.2021.110911,A ground-truth dataset and classification model for detecting bots in GitHub issue and PR comments,https://www.sciencedirect.com/science/article/pii/S016412122100008X
10.1016/j.jss.2021.110908,Adaptive distributed monitors of spatial properties for cyber–physical systems,https://www.sciencedirect.com/science/article/pii/S0164121221000054
10.1016/j.jss.2021.110906,FaaSten your decisions: A classification framework and technology review of function-as-a-Service platforms,https://www.sciencedirect.com/science/article/pii/S0164121221000030
10.1016/j.jss.2020.110889,Transforming abstract to concrete repairs with a generative approach of repair values,https://www.sciencedirect.com/science/article/pii/S016412122030279X
10.1016/j.jss.2021.110904,Ensemble Effort Estimation using dynamic selection,https://www.sciencedirect.com/science/article/pii/S0164121221000017
10.1016/j.jss.2020.110890,Efficient and effective exploratory testing of large-scale software systems,https://www.sciencedirect.com/science/article/pii/S0164121220302806
10.1016/j.jss.2020.110888,Early and quick function points analysis: Evaluations and proposals,https://www.sciencedirect.com/science/article/pii/S0164121220302788
10.1016/j.jss.2020.110891,"A systematic literature review of blockchain and smart contract development: Techniques, tools, and open challenges",https://www.sciencedirect.com/science/article/pii/S0164121220302818
10.1016/j.jss.2021.110907,FollowMe@LS: Electricity price and source aware resource management in geographically distributed heterogeneous datacenters,https://www.sciencedirect.com/science/article/pii/S0164121221000042
10.1016/j.jss.2020.110902,Concept drift-aware temporal cloud service APIs recommendation for building composite cloud systems,https://www.sciencedirect.com/science/article/pii/S0164121220302922
10.1016/j.jss.2021.110905,Fast and accurate incremental feedback for students’ software tests using selective mutation analysis,https://www.sciencedirect.com/science/article/pii/S0164121221000029
10.1016/j.jss.2020.110883,A family of experiments to generate graphical user interfaces from BPMN models with stereotypes,https://www.sciencedirect.com/science/article/pii/S0164121220302739
10.1016/j.jss.2020.110903,A deductive reasoning approach for database applications using verification conditions,https://www.sciencedirect.com/science/article/pii/S0164121220302934
10.1016/j.jss.2020.110884,An empirical study of optimization bugs in GCC and LLVM,https://www.sciencedirect.com/science/article/pii/S0164121220302740
10.1016/j.jss.2020.110886,Dynamic partitioned scheduling of real-time tasks on ARM big.LITTLE architectures,https://www.sciencedirect.com/science/article/pii/S0164121220302764
10.1016/j.jss.2020.110864,How to kill them all: An exploratory study on the impact of code observability on mutation testing,https://www.sciencedirect.com/science/article/pii/S0164121220302545
10.1016/j.jss.2020.110863,On the diversity and frequency of code related to mathematical formulas in real-world Java projects,https://www.sciencedirect.com/science/article/pii/S0164121220302533
10.1016/j.jss.2020.110881,Signal-Based Properties of Cyber-Physical Systems: Taxonomy and Logic-based Characterization,https://www.sciencedirect.com/science/article/pii/S0164121220302715
10.1016/j.jss.2020.110872,Managing latency in edge–cloud environment,https://www.sciencedirect.com/science/article/pii/S0164121220302624
10.1016/j.jss.2020.110869,ACCORDANT: A domain specific-model and DevOps approach for big data analytics architectures,https://www.sciencedirect.com/science/article/pii/S0164121220302594
10.1016/j.jss.2020.110862,A comprehensive comparative study of clustering-based unsupervised defect prediction models,https://www.sciencedirect.com/science/article/pii/S0164121220302521
10.1016/j.jss.2020.110882,On the impact of release policies on bug handling activity: A case study of Eclipse,https://www.sciencedirect.com/science/article/pii/S0164121220302727
10.1016/j.jss.2020.110868,A taxonomy of service identification approaches for legacy software systems modernization,https://www.sciencedirect.com/science/article/pii/S0164121220302582
10.1016/j.jss.2020.110851,Requirements engineering challenges and practices in large-scale agile system development,https://www.sciencedirect.com/science/article/pii/S0164121220302417
10.1016/j.jss.2020.110861,A Test Restoration Method based on Genetic Algorithm for effective fault localization in multiple-fault programs,https://www.sciencedirect.com/science/article/pii/S016412122030251X
10.1016/j.jss.2020.110852,How are issue reports discussed in Gitter chat rooms?,https://www.sciencedirect.com/science/article/pii/S0164121220302429
10.1016/j.jss.2020.110860,Convolutional neural networks for enhanced classification mechanisms of metamodels,https://www.sciencedirect.com/science/article/pii/S0164121220302508
10.1016/j.jss.2020.110850,Hansie: Hybrid and consensus regression test prioritization,https://www.sciencedirect.com/science/article/pii/S0164121220302405
10.1016/j.jss.2020.110841,An automated model-based approach to repair test suites of evolving web applications,https://www.sciencedirect.com/science/article/pii/S0164121220302314
10.1016/j.jss.2020.110849,Legacy software migration based on timing contract aware real-time execution environments,https://www.sciencedirect.com/science/article/pii/S0164121220302399
10.1016/j.jss.2020.110821,Toward the automatic classification of Self-Affirmed Refactoring,https://www.sciencedirect.com/science/article/pii/S016412122030217X
10.1016/j.jss.2020.110840,Crowdsourced Behavior-Driven Development,https://www.sciencedirect.com/science/article/pii/S0164121220302302
10.1016/j.jss.2020.110827,"A systematic literature review on Technical Debt prioritization: Strategies, processes, factors, and tools",https://www.sciencedirect.com/science/article/pii/S016412122030220X
10.1016/j.jss.2020.110846,Are game engines software frameworks? A three-perspective study,https://www.sciencedirect.com/science/article/pii/S0164121220302363
10.1016/j.jss.2020.110815,Enabling consistency in view-based system development — The Vitruvius approach,https://www.sciencedirect.com/science/article/pii/S0164121220302144
10.1016/j.jss.2020.110838,A security pattern detection framework for building more secure software,https://www.sciencedirect.com/science/article/pii/S0164121220302296
10.1016/j.jss.2020.110845,Translation from layout-based to visual android test scripts: An empirical evaluation,https://www.sciencedirect.com/science/article/pii/S0164121220302351
10.1016/j.jss.2020.110806,Does code quality affect pull request acceptance? An empirical study,https://www.sciencedirect.com/science/article/pii/S0164121220302090
10.1016/j.jss.2020.110813,Uncertainty-aware specification and analysis for hardware-in-the-loop testing of cyber-physical systems,https://www.sciencedirect.com/science/article/pii/S0164121220302132
10.1016/j.jss.2020.110812,Assurance and certification of cyber–physical systems: The AMASS open source ecosystem,https://www.sciencedirect.com/science/article/pii/S0164121220302120
10.1016/j.jss.2020.110836,Large scale quality transformation in hybrid development organizations – A case study,https://www.sciencedirect.com/science/article/pii/S0164121220302284
10.1016/j.jss.2020.110825,A comprehensive study of automatic program repair on the QuixBugs benchmark,https://www.sciencedirect.com/science/article/pii/S0164121220302193
10.1016/j.jss.2020.110809,Interdisciplinary effects of technical debt in companies with mechatronic products — a qualitative study,https://www.sciencedirect.com/science/article/pii/S0164121220302119
10.1016/j.jss.2020.110817,A critical review on the evaluation of automated program repair systems,https://www.sciencedirect.com/science/article/pii/S0164121220302156
10.1016/j.jss.2020.110819,Accessibility and Software Engineering Processes: A Systematic Literature Review,https://www.sciencedirect.com/science/article/pii/S0164121220302168
10.1016/j.jss.2020.110804,An evolutionary approach for generating software models: The case of Kromaia in Game Software Engineering,https://www.sciencedirect.com/science/article/pii/S0164121220302089
10.1016/j.jss.2020.110796,Concepts of variation control systems,https://www.sciencedirect.com/science/article/pii/S0164121220302041
10.1016/j.jss.2020.110746,Security modelling and formal verification of survivability properties: Application to cyber–physical systems,https://www.sciencedirect.com/science/article/pii/S0164121220301710
10.1016/j.jss.2020.110653,Software reuse cuts both ways: An empirical analysis of its relationship with security vulnerabilities,https://www.sciencedirect.com/science/article/pii/S0164121220301199
