Paper Title,Total Authors,Female Authors,lead?,Local_Collaboration?,national_collaboration?,International_collaboration?,Study Domain Terms,Author Name,Gender,Affiliation,Country,Conceptualization,Data Curation,Formal Analysis,Funding Acquisition,Investigation,Methodology,Project Administration,Resources,Software,Supervision,Validation,Visualization,Writing – Original Draft,Writing – Review & Editing,Total Authors,Female Authors
,,,,,,,,Henrique Madeira,Male,"University of Coimbra, Centre for Informatics and Systems of the University of Coimbra, 3030-790 Coimbra, Portugal",Portugal,0,1,0,0,1,1,1,1,0,0,0,0,0,1,,
A framework for the design of fault-tolerant systems-of-systems,6,4,0,0,0,1,"Fault Tolerance, Systems-of-Systems, Reconfiguration, Behavioral Changes, Mission-Critical Systems",Francisco Henrique Cerdeira Ferreira,Male,Federal University of the State of Rio de Janeiro (UNIRIO),Brazil,1,0,1,0,1,1,0,1,0,0,1,0,1,1,6,4
,,,,,,,,Elisa Yumi Nakagawa,Female,University of São Paulo (USP),Brazil,1,0,0,0,0,1,0,0,0,1,1,0,1,1,,
,,,,,,,,Antonia Bertolino,Female,Institute of Information Science and Technologies (ISTI-CNR),Italy,1,0,0,0,0,1,0,0,0,0,0,0,1,1,,
,,,,,,,,Francesca Lonetti,Female,Institute of Information Science and Technologies (ISTI-CNR),Italy,1,0,0,0,0,1,0,0,0,0,0,0,1,1,,
,,,,,,,,Vânia de Oliveira Neves,Female,Fluminense Federal University (UFF),Brazil,1,0,0,0,0,1,0,0,0,0,0,0,1,1,,
,,,,,,,,Rodrigo Pereira dos Santos,Male,Federal University of the State of Rio de Janeiro (UNIRIO),Brazil,1,0,0,0,0,1,0,0,0,1,1,0,1,1,,
A fuzzy logic-based quality model for identifying microservices with low maintainability,5,2,1,0,0,1,"Microservice architecture, maintainability, scalability, fuzzy logic, ISO/IEC 250xy SQuaRE",Rahime Yılmaz,Female,"Computer Engineering Department, Istanbul Technical University, Altınbaş University",Turkey,0,0,0,0,0,1,0,0,1,0,1,1,1,1,5,2
,,,,,,,,Feza Buzluca,Male,"Computer Engineering Department, Istanbul Technical University",Turkey,0,0,0,0,0,1,1,0,0,1,0,0,0,0,,
A language-parametric test coverage framework for executable domain-specific languages,6,1,1,0,0,1,"Test coverage, xDSL, Fault localization, Model element, Branch coverage",Faezeh Khorram,Female,"CNRS, University of Rennes",France,1,0,0,0,1,1,0,0,1,0,1,0,1,0,6,1
,,,,,,,,Erwan Bousse,Male,"IMT Atlantique, Nantes Université, École Centrale Nantes",France,0,0,0,0,0,0,0,0,0,1,0,1,0,1,,
,,,,,,,,Antonio Garmendia,Male,"Departamento de Ingeniería Informática, Universidad Autónoma de Madrid",Spain,0,0,0,0,0,0,0,0,1,1,0,1,0,1,,
,,,,,,,,Jean-Marie Mottu,Male,"IMT Atlantique, Nantes Université, École Centrale Nantes",France,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,
,,,,,,,,Gerson Sunyé,Male,"IMT Atlantique, Nantes Université, École Centrale Nantes",France,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,
,,,,,,,,Manuel Wimmer,Male,"CDL-MINT, Institute of Business Informatics - Software Engineering, Johannes Kepler University Linz, Austria",Austria,0,0,0,0,0,1,0,0,0,1,1,0,0,1,,
AML: An accuracy metric model for effective evaluation of log parsing techniques,3,0,0,1,1,0,"Log parsing, anomaly detection, accuracy metrics, log templates, software systems",Issam Sedki,Male,Concordia University,Canada,1,1,0,0,1,1,0,0,1,0,0,0,1,0,3,0
,,,,,,,,Abdelwahab Hamou-Lhadj,Male,Concordia University,Canada,1,0,0,1,0,1,0,0,0,1,1,0,1,0,,
,,,,,,,,Otmane Ait Mohamed,Male,Concordia University,Canada,1,0,0,1,0,1,0,0,0,1,0,0,1,0,,
"A Multi-vocal Literature Review on challenges and critical success factors of phishing education, training and awareness",5,2,0,0,1,0,"Phishing, Cybersecurity, User Education, Anti-phishing Tools, Human-centric Systems",Orvila Sarker,Male,"Centre for Research on Engineering Software Technologies (CREST), The University of Adelaide, Australia; School of Computer and Mathematical Sciences, The University of Adelaide, Australia; Cyber Security Cooperative Research Centre, Australia",Australia,1,1,0,0,1,1,0,0,0,0,1,0,1,1,5,2
,,,,,,,,Asangi Jayatilaka,Female,"Centre for Research on Engineering Software Technologies (CREST), The University of Adelaide, Australia; School of Computer and Mathematical Sciences, The University of Adelaide, Australia",Australia,1,1,0,0,0,1,0,0,0,0,1,0,0,1,,
,,,,,,,,Sherif Haggag,Male,"School of Computer and Mathematical Sciences, The University of Adelaide, Australia",Australia,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,
,,,,,,,,Chelsea Liu,Female,"Adelaide Business School, The University of Adelaide, Australia",Australia,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,
,,,,,,,,M. Ali Babar,Male,"Centre for Research on Engineering Software Technologies (CREST), The University of Adelaide, Australia; School of Computer and Mathematical Sciences, The University of Adelaide, Australia; Cyber Security Cooperative Research Centre, Australia",Australia,0,0,0,1,0,0,0,0,0,1,0,0,0,1,,
Analyzing the Tower of Babel with Kaiaulu,3,0,0,0,0,1,"Socio-technical activities, Social Smells, Software Repositories, Graph construction, Software Ecosystem",Carlos Paradis,Male,University of Hawaii,United States,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,0
,,,,,,,,Rick Kazman,Male,University of Hawaii,United States,1,0,0,0,0,1,0,0,0,1,0,0,1,1,,
,,,,,,,,Damian Tamburri,Male,TU Eindhoven,Netherlands,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,
An architecture for model-based and intelligent automation in DevOps,5,1,1,0,0,1,"DevOps, AI, Machine Learning, Model Driven Engineering, Automation",Romina Eramo,Female,"Department of Communication Science, University of Teramo",Italy,1,1,0,0,0,1,0,0,0,1,0,0,1,1,5,1
,,,,,,,,Bilal Said,Male,"Softeam Software BU, Docaposte",France,1,1,0,0,0,1,0,1,0,0,0,0,0,1,,
,,,,,,,,Marc Oriol,Male,Universitat Politècnica de Catalunya,Spain,0,1,0,0,0,1,0,0,0,0,0,0,0,1,,
,,,,,,,,Hugo Bruneliere,Male,"IMT Atlantique, LS2N (UMR CNRS 6004)",France,1,1,0,0,0,1,0,0,0,0,0,0,0,1,,
,,,,,,,,Sergio Morales,Male,Universitat Oberta de Catalunya,Spain,1,1,0,0,0,1,0,0,0,0,0,0,0,1,,
An empirical assessment of different word embedding and deep learning models for bug assignment,6,2,0,0,0,1,"Bug triage, text classification, deep learning, word embedding, bug assignment",Rongcun Wang,Male,"School of Computer Science and Technology, China University of Mining and Technology",China,1,0,0,0,0,1,0,0,0,1,0,0,1,0,6,2
,,,,,,,,Xingyu Ji,Male,"School of Computer Science and Technology, China University of Mining and Technology",China,0,1,1,0,0,0,0,0,0,0,1,1,1,0,,
,,,,,,,,Senlei Xu,Male,"School of Computer Science and Technology, China University of Mining and Technology",China,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,
,,,,,,,,Yuan Tian,Male,"School of Computing, Queen’s University",Canada,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,
,,,,,,,,Shujuan Jiang,Female,"School of Computer Science and Technology, China University of Mining and Technology",China,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,
,,,,,,,,Rubing Huang,Female,"School of Computer Science and Engineering, Macau University of Science and Technology","China, Macao",0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
An Empirical Investigation Into the Influence of Software Communities’ Cultural and Geographical Dispersion on Productivity,7,2,0,0,0,1,"productivity, cultural diversity, geographical dispersion, software analytics, open-source",Stefano Lambiase,Male,"SeSa Lab - University of Salerno, Italy",Italy,0,1,1,0,1,0,0,0,0,0,1,1,1,0,7,2
,,,,,,,,Gemma Catolino,Female,"Jheronimus Academy of Data Science, The Netherlands",The Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,Fabiano Pecorelli,Male,"Jheronimus Academy of Data Science, The Netherlands",The Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,Damian A. Tamburri,Male,"Jheronimus Academy of Data Science, The Netherlands",The Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,Fabio Palomba,Male,"SeSa Lab - University of Salerno, Italy",Italy,1,0,0,0,0,1,0,0,0,0,1,0,0,1,,
,,,,,,,,Willem-Jan van den Heuvel,Male,"Jheronimus Academy of Data Science, The Netherlands",The Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,Filomena Ferrucci,Female,"SeSa Lab - University of Salerno, Italy",Italy,0,0,0,0,0,0,0,1,0,1,0,0,0,1,,
An empirical investigation on the competences and roles of practitioners in Microservices-based Architectures,3,1,0,0,0,1,"Web Technologies, DevOps, Data Technologies, Software Engineering, Technical Knowledge",Hamdy Michael Ayas,Male,"CSE Department, Chalmers — University of Gothenburg",Sweden,1,1,1,0,1,1,0,0,1,0,0,1,1,0,3,1
,,,,,,,,Regina Hebig,Female,"Institute of Computer Science, University of Rostock",Germany,0,0,0,0,0,0,0,0,0,1,1,0,0,1,,
,,,,,,,,Philipp Leitner,Male,"CSE Department, Chalmers — University of Gothenburg",Sweden,0,0,0,0,0,0,0,0,0,1,1,0,0,1,,
An empirical study of code reuse between GitHub and Stack Overflow during software development,5,0,0,0,1,0,"Code reuse, Software development, Deep learning, Topic analysis, Open-source movement",Xiangping Chen,Male,"Sun Yat-sen University, School of Journalism and Communication",China,0,0,0,0,0,1,0,0,0,0,1,0,1,0,5,0
,,,,,,,,Furen Xu,Male,"Sun Yat-sen University, School of Software Engineering",China,0,1,0,0,0,0,0,0,1,0,0,0,0,1,,
,,,,,,,,Yuan Huang,Male,"Sun Yat-sen University, School of Software Engineering",China,0,0,0,0,0,1,0,1,0,0,0,0,0,1,,
,,,,,,,,Xiaocong Zhou,Male,"Sun Yat-sen University, School of Computer Science and Engineering",China,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,
,,,,,,,,Zibin Zheng,Male,"Sun Yat-sen University, School of Software Engineering",China,0,0,0,0,1,0,0,0,0,0,1,0,0,1,,
An empirical study on bug severity estimation using source code metrics and static analysis,5,1,0,0,1,0,"Software defects, Bug prediction, Severity estimation, Static analysis, Source code metrics",Ehsan Mashhadi,Male,University of Calgary,Canada,1,1,1,0,1,1,0,0,1,0,1,1,1,1,5,1
,,,,,,,,Shaiful Chowdhury,Male,University of Manitoba,Canada,0,0,1,0,0,1,0,0,1,0,1,1,1,1,,
,,,,,,,,Somayeh Modaberi,Female,University of Calgary,Canada,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,
,,,,,,,,Hadi Hemmati,Male,"University of Calgary, York University",Canada,1,0,0,1,1,1,0,1,0,1,1,0,0,1,,
,,,,,,,,Gias Uddin,Male,University of Calgary,Canada,0,0,0,1,0,0,1,1,0,0,0,0,0,0,,
Ant-colony optimization for automating test model generation in model transformation testing,3,1,0,0,0,1,"test model generation, metamodels, MT testing, Ant-Colony Optimization, black-box testing",Meysam Karimi,Male,"MDSE Research Group, Department of Software Engineering, University of Isfahan",Iran,0,1,0,0,1,0,0,0,1,0,0,0,1,1,3,1
,,,,,,,,Shekoufeh Kolahdouz-Rahimi,Female,"MDSE Research Group, Department of Software Engineering, University of Isfahan, School of Arts, University of Roehampton","Iran, UK",0,1,0,0,1,0,0,0,0,0,0,0,1,1,,
,,,,,,,,Javier Troya,Male,"ITIS Software, Universidad de Málaga",Spain,0,1,0,0,1,1,0,0,0,0,0,0,1,1,,
Application Monitoring for bug reproduction in web-based applications,3,0,0,1,1,0,"Web applications, Single Page Applications (SPA), Application Monitoring (AM), bug reproduction, debugging",Di Wang,Male,University of Canterbury,New Zealand,1,1,0,0,1,1,0,0,1,0,0,1,1,0,3,0
,,,,,,,,Matthias Galster,Male,University of Canterbury,New Zealand,1,0,0,0,1,0,0,0,0,1,0,0,0,1,,
,,,,,,,,Miguel Morales-Trujillo,Male,University of Canterbury,New Zealand,1,0,0,0,1,0,0,0,0,1,0,0,0,1,,
A fuzzy logic-based quality model for identifying microservices with low maintainability,5,2,1,0,0,1,"Microservice, Maintainability, Scalability, Fuzzy Logic, Refactoring",Rahime Yılmaz,Female,"Computer Engineering Department, Istanbul Technical University, Altınbaş University",Turkey,0,0,0,0,0,1,0,0,1,0,1,1,1,1,5,2
,,,,,,,,Feza Buzluca,Male,"Computer Engineering Department, Istanbul Technical University",Turkey,0,0,0,0,0,1,1,0,0,1,0,0,0,0,,
,,,,,,,,Damian Tamburri,Male,Eindhoven University of Technology,Netherlands,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,
Applying short text topic models to instant messaging communication of software developers,3,1,1,1,1,0,"Instant messaging, topic models, chat messages, developer communication, topic quality",Camila Costa Silva,Female,"University of Canterbury, Christchurch",New Zealand,1,1,0,0,1,0,0,0,0,0,0,1,1,1,3,1
,,,,,,,,Matthias Galster,Male,"University of Canterbury, Christchurch",New Zealand,1,0,0,0,1,0,0,0,0,1,0,0,0,1,,
,,,,,,,,Fabian Gilson,Male,"University of Canterbury, Christchurch",New Zealand,0,0,0,0,0,0,0,0,0,1,1,0,0,1,,
"Architecting ML-enabled systems: Challenges, best practices, and design decisions",3,0,0,0,0,1,"Machine learning, software architecture, design decisions, systematic review, expert interviews",Roger Nazir,Male,"Mälardalen University, Västerås, Sweden",Sweden,1,0,0,0,1,1,0,0,0,0,0,0,1,0,3,0
,,,,,,,,Alessio Bucaioni,Male,"Mälardalen University, Västerås, Sweden",Sweden,1,0,0,0,0,1,0,0,0,0,1,0,0,1,,
,,,,,,,,Patrizio Pelliccione,Male,"Gran Sasso Science Institute, L’Aquila, Italy",Italy,1,0,0,0,0,1,0,0,0,0,1,0,0,1,,
Architectural support for software performance in continuous software engineering: A systematic mapping study,6,2,1,0,0,1,"Software performance, Continuous engineering, Systematic mapping, Architectural support, Performance assessment",Romina Eramo,Female,University of Teramo,Italy,1,0,0,0,0,1,0,0,0,1,0,0,1,1,6,2
,,,,,,,,Michele Tucci,Male,University of L’Aquila,Italy,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,
,,,,,,,,Daniele Di Pompeo,Male,University of L’Aquila,Italy,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,
,,,,,,,,Vittorio Cortellessa,Male,University of L’Aquila,Italy,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,
,,,,,,,,Antinisca Di Marco,Female,University of L’Aquila,Italy,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,
,,,,,,,,Davide Taibi,Male,"University of Oulu, Tampere University","Finland, Finland",0,0,0,0,0,1,0,0,0,1,0,0,0,1,,
Assessing gender bias in the software used in computer science and software engineering education,3,2,1,1,1,0,"CS, SE, Gender Bias, Education, Usability",Lyndsey O’Brien,Female,"HumaniSE Lab, Faculty of Information Technology, Monash University",Australia,1,1,1,0,1,1,1,1,0,0,0,1,1,0,3,2
,,,,,,,,Tanjila Kanij,Female,"HumaniSE Lab, Faculty of Information Technology, Monash University",Australia,1,0,1,0,1,1,1,1,1,1,1,0,0,1,,
,,,,,,,,John Grundy,Male,"HumaniSE Lab, Faculty of Information Technology, Monash University",Australia,0,0,0,0,0,0,0,0,0,1,1,0,0,1,,
A study on classifying Stack Overflow questions based on difficulty by utilizing contextual features,6,4,1,1,1,0,"Question classification, Stack Overflow, Contextual features, TF-IDF, Doc2Vec",Maliha Noushin Raida,Female,"Software Engineering Lab (SELab), Islamic University of Technology (IUT), Department of Computer Science and Engineering, University of Technology (IUT), Gazipur, Bangladesh",Bangladesh,1,1,0,0,0,1,1,0,1,0,0,1,1,0,6,4
,,,,,,,,Zannatun Naim Sristy,Female,"Software Engineering Lab (SELab), Islamic University of Technology (IUT), Department of Computer Science and Engineering, University of Technology (IUT), Gazipur, Bangladesh",Bangladesh,1,1,0,0,1,1,0,0,1,0,0,1,0,0,,
,,,,,,,,Nawshin Ulfat,Female,"Software Engineering Lab (SELab), Islamic University of Technology (IUT), Department of Computer Science and Engineering, University of Technology (IUT), Gazipur, Bangladesh",Bangladesh,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,
,,,,,,,,Sheikh Moonwara Anjum Monisha,Female,"Software Engineering Lab (SELab), Islamic University of Technology (IUT), Department of Computer Science and Engineering, University of Technology (IUT), Gazipur, Bangladesh",Bangladesh,1,1,0,0,1,0,0,0,0,0,0,0,0,0,,
,,,,,,,,Md. Jubair Ibna Mostafa,Male,"Software Engineering Lab (SELab), Islamic University of Technology (IUT), Department of Computer Science and Engineering, University of Technology (IUT), Gazipur, Bangladesh",Bangladesh,0,0,0,0,0,1,0,0,0,1,0,0,1,1,,
,,,,,,,,Md. Nazmul Haque,Male,"Software Engineering Lab (SELab), Islamic University of Technology (IUT), Department of Computer Science and Engineering, University of Technology (IUT), Gazipur, Bangladesh",Bangladesh,0,0,0,0,0,1,0,0,0,1,0,0,1,1,,
A study on creating energy efficient cloud-connected user applications using the RMVRVM paradigm,3,0,0,0,1,0,"Energy efficiency, Cloud computing, Mobile applications, User interface, REST API",Lavneet Singh,Male,"Software Engineering Research Lab, DA-IICT, Gandhinagar, India",India,1,1,1,0,1,1,0,0,1,0,1,0,1,1,3,0
,,,,,,,,Saurabh Tiwari,Male,"Software Engineering Research Lab, DA-IICT, Gandhinagar, India",India,0,0,0,0,0,1,1,0,0,1,0,0,0,1,,
,,,,,,,,Sanjay Srivastava,Male,"DA-IICT, Gandhinagar, India",India,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
A survey on machine learning techniques applied to source code,7,3,0,0,0,1,"Machine learning, source code analysis, software engineering, vulnerability detection, testing",Tushar Sharma,Male,Dalhousie University,Canada,1,0,0,0,1,1,0,0,0,0,0,0,1,0,7,3
,,,,,,,,Maria Kechagia,Female,University College London,United Kingdom,0,1,0,0,0,0,0,0,0,0,0,0,1,1,,
,,,,,,,,Stefanos Georgiou,Male,Queens University,Canada,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,Rohit Tiwari,Male,DevOn,India,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,
,,,,,,,,Indira Vats,Female,J.S.S. Academy of Technical Education,India,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,Hadi Moazen,Male,Sharif University of Technology,Iran,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,Federica Sarro,Female,University College London,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
A Systematic Literature Review on Characteristics of the Front-End Phase of Agile Software Development Projects and Their Connections to Project Success,1,0,0,1,1,0,Agile software development; Front-end phase; Cost estimation; Benefits estimation; Project success,Magne Jørgensen,Male,"Simula Metropolitan Center for Digital Engineering, Oslo",Norway,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0
"A systematic literature review on Windows malware detection: Techniques, research issues, and future directions",3,0,0,1,1,0,"Malware detection, Machine learning, Deep learning, Performance metrics, Experimental biases",Pascal Maniriho,Male,La Trobe University,Australia,1,0,1,0,0,1,0,0,0,0,0,0,1,1,3,0
,,,,,,,,Abdun Naser Mahmood,Male,La Trobe University,Australia,1,0,0,1,0,0,0,0,0,1,0,0,0,1,,
,,,,,,,,Mohammad Jabed Morshed Chowdhury,Male,La Trobe University,Australia,1,0,0,0,0,0,0,0,0,1,0,0,0,1,,
Automated functional and robustness testing of microservice architectures,4,0,0,1,1,0,"Microservice architectures, Automated testing, Reliability, Causal inference, Failure chains",Luca Giamattei,Male,"Università degli Studi di Napoli Federico II, Via Claudio 21, 80125, Napoli, Italy",Italy,1,0,1,0,1,1,0,0,1,0,1,1,1,0,4,0
