Paper Title,Study Domain Terms,Author Name,Gender,Affiliation,Country,Conceptualization,Data Curation,Formal Analysis,Funding Acquisition,Investigation,Methodology,Project Administration,Resources,Software,Supervision,Validation,Visualization,Writing – Original Draft,Writing – Review & Editing
Capturing software architecture knowledge for pattern-driven design,Software Architecture; Architectural Patterns; Knowledge Management; Decision Models; Software Design,Siamak Farshidi,Male,"Department of Information and Computer Science, Utrecht University",The Netherlands,1,1,1,0,1,1,1,0,1,1,1,1,1,1
,,Slinger Jansen,Male,"Department of Information and Computer Science, Utrecht University; School of Engineering Science, LUT University","The Netherlands, Finland",1,0,0,1,1,1,1,0,0,1,1,1,1,1
,,Jan Martijn van der Werf,Male,"Department of Information and Computer Science, Utrecht University",The Netherlands,1,0,0,0,0,1,0,0,0,0,1,0,0,0
PRISE: A process to support iStar extensions,Goal-based Modelling; Requirements Engineering; iStar Extensions; Process Customization; Expert Evaluation,Enyo Gonçalves,Male,"Universidade Federal do Ceará, Quixadá, CE, Brazil",Brazil,1,0,0,0,1,1,0,0,1,0,1,0,1,0
,,João Araujo,Male,"NOVA LINCS, FCT, Universidade Nova de Lisboa, Lisboa, Portugal",Portugal,1,0,0,0,1,0,0,0,0,1,0,0,0,1
,,Jaelson Castro,Male,"Universidade Federal de Pernambuco, Recife, PE, Brazil",Brazil,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Model-based testing of software product lines: Mapping study and research roadmap,Software Product Lines; Model-Based Testing; Test Case Automation; Variability Management; Software Engineering,Kleber L. Petry,Male,"Informatics Department (DIN), State University of Maringá (UEM), Maringá-PR, Brazil",Brazil,1,1,1,0,1,1,0,0,0,0,0,1,1,0
,,Edson OliveiraJr,Male,"Informatics Department (DIN), State University of Maringá (UEM), Maringá-PR, Brazil",Brazil,1,1,1,0,0,1,1,0,0,1,1,1,1,0
,,Avelino F. Zorzo,Male,"School of Technology, Pontifical Catholic University of Rio Grande do Sul (PUCRS), Porto Alegre-RS, Brazil",Brazil,0,0,1,0,0,1,0,0,0,1,0,1,0,1
Regression test case prioritization by code combinations coverage,Regression Testing; Fault Detection; Code Coverage; Test Case Prioritization; Combination Coverage,Rubing Huang,Male,"School of Computer Science and Communication Engineering, Jiangsu University",China,1,0,0,0,1,1,0,0,0,0,0,0,0,1
,,Quanjun Zhang,Male,"School of Computer Science and Communication Engineering, Jiangsu University",China,0,1,0,0,0,0,0,0,1,0,0,0,1,0
,,Dave Towey,Male,"School of Computer Science, The University of Nottingham Ningbo China",China,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,Weifeng Sun,Male,"School of Computer Science and Communication Engineering, Jiangsu University",China,0,0,1,0,0,0,0,0,0,0,0,1,0,0
,,Jinfu Chen,Male,"School of Computer Science and Communication Engineering, Jiangsu University",China,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Code smells and refactoring: A tertiary systematic review of challenges and observations,Code Smells; Refactoring; Software Quality; Maintenance and Evolution; Software Engineering Tools,Guilherme Lacerda,Male,"University of Vale do Rio dos Sinos, Polytechnic School São Leopoldo, RS, Brazil",Brazil,1,0,0,0,1,1,1,1,0,1,1,1,1,1
,,Fabio Petrillo,Male,"University of Quebec at Chicoutimi, Department of Computer Science & Mathematics Chicoutimi, Quebec, Canada",Canada,1,0,0,0,1,1,0,1,0,1,1,0,0,1
,,Marcelo Pimenta,Male,"Federal University of Rio Grande do Sul, Institute of Informatics Porto Alegre, RS, Brazil",Brazil,1,0,0,0,0,1,0,0,0,1,1,0,0,1
,,Yann Gaël Guéhéneuc,Male,"Concordia University, Department of Computer Science and Software Engineering Montreal, Quebec, Canada",Canada,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Software-testing education: A systematic literature mapping,Software Testing Education; Pedagogical Approaches; Systematic Literature Mapping; University Curriculum; Software Engineering,Vahid Garousi,Male,Queen's University Belfast,"Northern Ireland, UK",1,1,0,0,0,1,0,0,0,0,1,0,1,0
,,Austen Rainer,Male,Queen's University Belfast,"Northern Ireland, UK",0,1,0,0,0,1,0,0,0,0,1,0,1,0
,,Per Lauvås,Male,Kristiania University College,Norway,1,1,0,0,0,1,0,0,0,0,1,0,1,0
,,Andrea Arcuri,Male,Kristiania University College,Norway,1,1,0,0,0,1,0,0,0,0,1,0,1,0
Generating summaries for methods of event-driven programs: An Android case study,Source Code Summarization; Event-driven Programs; Deep Neural Networks; Dynamic Call Graphs; Android Development,Alireza Aghamohammadi,Male,"Department of Computer Engineering, Sharif University of Technology",Iran,1,0,1,0,0,1,0,0,1,0,1,0,1,0
,,Maliheh Izadi,Female,"Department of Computer Engineering, Sharif University of Technology",Iran,1,0,1,0,0,1,0,0,1,0,1,0,1,0
,,Abbas Heydarnoori,Male,"Department of Computer Engineering, Sharif University of Technology",Iran,0,0,0,0,0,1,1,0,0,1,0,0,0,1
A Systematic Mapping Study on Microservices Architecture in DevOps,Microservices Architecture; DevOps; Software Engineering; Systematic Mapping; Tool Support,Muhammad Waseem,Male,"School of Computer Science, Wuhan University, China",China,1,0,0,0,1,0,0,0,0,0,0,1,1,0
,,Peng Liang,Male,"School of Computer Science, Wuhan University, China",China,1,0,0,1,1,0,1,1,0,1,0,0,0,1
,,Mojtaba Shahin,Male,"Faculty of Information Technology, Monash University, Australia",Australia,1,0,0,0,1,0,0,0,0,1,0,1,0,1
A Large Scale Analysis of Android — Web Hybridization,Android Security; Hybrid Applications; JavaScript Integration; Mobile Malware Analysis; WebView Security,Abhishek Tiwari,Male,National University of Singapore,Singapore,1,1,0,0,1,1,0,1,1,0,1,1,1,1
,,Jyoti Prakash,Male,University of Potsdam,Germany,0,1,0,0,1,1,0,1,1,0,1,1,1,1
,,Sascha Groß,Male,University of Potsdam,Germany,0,0,0,0,0,1,0,0,1,0,1,0,1,0
,,Christian Hammer,Male,University of Potsdam,Germany,0,0,0,1,1,1,1,1,0,1,1,0,1,1
A systematic study of reward for reinforcement learning based continuous integration testing,Reinforcement Learning; Continuous Integration Testing; Test Case Prioritization; Reward Functions; Software Testing,Yang Yang,Male,"College of Information Science and Technology, Beijing University of Chemical Technology",China,0,0,0,0,1,1,0,0,0,0,0,0,1,0
,,Zheng Li,Male,"College of Information Science and Technology, Beijing University of Chemical Technology",China,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,Liuliu He,Female,"College of Information Science and Technology, Beijing University of Chemical Technology",China,0,1,0,0,0,0,0,0,1,0,0,0,0,0
,,Ruilian Zhao,Female,"College of Information Science and Technology, Beijing University of Chemical Technology",China,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Integrating UX work with agile development through user stories: An action research study in a small software company,UX Integration; Agile Development; Software-as-a-Service (SaaS); User Stories; Action Research,Alisa Ananjeva,Female,"Aalborg University, Computer Science, Denmark",Denmark,1,1,1,0,1,0,0,0,0,0,0,0,1,0
,,John Stouby Persson,Male,"Aalborg University, Computer Science, Denmark",Denmark,1,0,0,0,0,1,0,0,0,1,0,0,0,1
,,Anders Bruun,Male,"Aalborg University, Computer Science, Denmark",Denmark,1,0,0,0,0,0,0,0,0,1,0,0,0,1
TagDC: A tag recommendation method for software information sites with a combination of deep learning and collaborative filtering,Tag Recommendation Systems; Collaborative Filtering; Deep Learning; Software Information Sites; Software Object Understanding,Can Li,Male,"School of Big Data & Software Engineering, Chongqing University",China,0,1,0,0,0,1,0,0,0,0,0,0,1,0
,,Ling Xu,Female,"School of Big Data & Software Engineering, Chongqing University",China,0,0,0,0,0,1,0,0,1,0,0,1,0,0
,,Meng Yan,Male,"School of Big Data & Software Engineering, Chongqing University",China,1,0,1,0,0,0,0,0,0,1,0,0,0,0
,,Yan Lei,Male,"School of Big Data & Software Engineering, Chongqing University",China,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Technical debt forecasting: An empirical study on open-source repositories,Technical Debt; Software Maintenance; Machine Learning; Open-source Repositories; Static Analysis Tools,Dimitrios Tsoukalas,Male,"Information Technologies Institute, Centre for Research and Technology Hellas, University of Macedonia, Thessaloniki",Greece,1,1,1,0,1,1,0,0,1,0,0,1,1,1
,,Dionysios Kehagias,Male,"Information Technologies Institute, Centre for Research and Technology Hellas, Thessaloniki",Greece,0,0,1,1,0,1,1,1,0,0,1,1,0,1
,,Miltiadis Siavvas,Male,"Information Technologies Institute, Centre for Research and Technology Hellas, Thessaloniki",Greece,0,1,1,0,0,0,0,0,1,0,0,1,0,1
,,Alexander Chatzigeorgiou,Male,"Department of Applied Informatics, University of Macedonia, Thessaloniki",Greece,1,0,0,0,1,0,0,1,0,1,1,1,0,1
Can this fault be detected: A study on fault detection via automated test generation,Test Generation; Code Coverage; Fault Detection; Software Quality; Multi-objective Optimization,Ping Ma,Male,"School of Computer Science, Wuhan University, Wuhan 430072, China",China,0,1,0,0,0,0,0,0,1,0,1,1,1,1
,,Hangyuan Cheng,Male,"School of Computer Science, Wuhan University, Wuhan 430072, China",China,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,Jingxuan Zhang,Male,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing 211106, China",China,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Jifeng Xuan,Male,"School of Computer Science, Wuhan University, Wuhan 430072, China",China,1,1,0,1,0,1,1,0,1,0,0,0,1,0
Neural joint attention code search over structure embeddings for software Q&A sites,Code Search; Neural Networks; Semantic Similarity; Bi-modal Embeddings; Software Q&A,Gang Hu,Male,"Department of National Engineering Research Center for Multimedia Software, Wuhan University",China,1,0,0,0,1,1,0,0,1,0,0,0,1,0
,,Min Peng,Male,"Department of National Engineering Research Center for Multimedia Software, Wuhan University",China,0,0,1,1,0,0,0,0,1,1,1,1,0,0
,,Yihan Zhang,Female,"School of Computing, National University of Singapore",Singapore,0,0,1,0,0,0,0,0,0,0,1,1,0,0
,,Qianqian Xie,Female,"Department of National Engineering Research Center for Multimedia Software, Wuhan University",China,0,1,0,0,0,0,0,1,0,1,0,0,0,1
,,Mengting Yuan,Female,"Department of National Engineering Research Center for Multimedia Software, Wuhan University",China,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Continuous experimentation and the cyber–physical systems challenge: An overview of the literature and the industrial perspective,Continuous Experimentation; Cyber-Physical Systems; Software Development; Systematic Literature Review; Industrial Case Studies,Federico Giaimo,Male,Chalmers University of Technology,Sweden,1,0,0,0,1,1,0,0,0,0,0,1,1,0
,,Hugo Andrade,Male,Chalmers University of Technology,Sweden,1,0,0,0,1,0,0,0,0,0,1,1,0,1
,,Christian Berger,Male,University of Gothenburg,Sweden,1,0,0,0,1,1,0,0,0,0,1,0,0,1
Secondary studies in the academic context: A systematic mapping and survey,Systematic Literature Review; Software Engineering; Secondary Studies; Research Methodology; Academic Research,Katia Romero Felizardo,Female,"Federal University of Technology - Paraná (UTFPR), Brazil",Brazil,1,0,1,1,0,1,1,1,0,1,1,0,1,0
,,Érica Ferreira de Souza,Female,"Federal University of Technology - Paraná (UTFPR), Brazil",Brazil,1,0,0,0,0,1,0,1,0,0,1,0,1,0
,,Bianca Minetto Napoleão,Female,"Federal University of Technology - Paraná (UTFPR), Brazil",Brazil,1,0,0,0,0,1,0,1,0,0,1,0,1,0
,,Nandamudi Lankalapalli Vijaykumar,Male,"National Institute for Space Research (INPE), Federal University of São Paulo (Unifesp), Brazil",Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Maria Teresa Baldassarre,Female,"Università degli Studi di Bari Aldo Moro, Italy",Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ReSIde: Reusable service identification from software families,Service-Oriented Architecture; Software Product Variants; Code Cloning; Software Reuse; Automated Service Identification,Anas Shatnawi,Male,"LIRMM, University of Montpellier, Montpellier, France; LIP6, Sorbonne University, Paris, France",France,1,1,0,0,1,1,0,0,1,0,1,0,1,1
,,Abdelhak Seriai,Male,"LIRMM, University of Montpellier, Montpellier, France",France,1,0,0,0,1,1,0,0,0,0,1,0,0,1
,,Houari Sahraoui,Male,"GEODES, University of Montreal, Montreal, Quebec, Canada",Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Tewfik Ziadi,Male,"LIP6, Sorbonne University, Paris, France",France,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Abderrahmene Seriai,Male,"GEODES, University of Montreal, Montreal, Quebec, Canada",Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Black-box adversarial sample generation based on differential evolution,Deep Neural Networks (DNNs); Adversarial Attacks; Differential Evolution; Robustness Testing; Black-box Attack Techniques,Junyu Lin,Male,"State Key Laboratory for Novel Software Technology, Nanjing University; Department of Computer Science and Technology, Nanjing University",China,1,0,0,0,0,1,0,0,1,0,1,0,1,0
,,Lei Xu,Male,"State Key Laboratory for Novel Software Technology, Nanjing University; Department of Computer Science and Technology, Nanjing University",China,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,Yingqi Liu,Female,"Department of Computer Science, Purdue University",USA,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,Xiangyu Zhang,Male,"Department of Computer Science, Purdue University",USA,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Scrum versus Rational Unified Process in facing the main challenges of product configuration systems development,Product Configuration Systems; Mass Customization; Software Development; Agile Methodologies; Knowledge Management,Sara Shafiee,Female,"Department of Mechanical Engineering, Technical University of Denmark",Denmark,1,0,1,0,1,1,1,1,0,0,1,0,1,1
,,Yves Wautelet,Male,"Research Centre for Information Systems Engineering (LIRIS), KU Leuven",Belgium,1,0,1,0,0,1,1,0,0,0,1,0,1,1
,,Lars Hvam,Male,"Department of Management Engineering, Technical University of Denmark",Denmark,1,0,0,0,1,1,0,0,0,1,1,0,1,0
,,Enrico Sandrin,Male,"Department of Management and Engineering, University of Padova",Italy,1,0,1,0,0,1,0,0,0,0,1,0,1,1
,,Cipriano Forza,Male,"Department of Management and Engineering, University of Padova",Italy,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Studying the Relationship Between the Usage of APIs Discussed in the Crowd and Post-Release Defects,APIs; Post-Release Defects; Crowd Knowledge; Software Quality; Open Source Projects,Hamed Tahmooresi,Male,"Department of Computer Engineering, Sharif University of Technology, Tehran, Iran",Iran,1,0,1,0,0,1,0,0,1,0,1,0,1,0
,,Abbas Heydarnoori,Male,"Department of Computer Engineering, Sharif University of Technology, Tehran, Iran",Iran,0,0,0,0,0,1,1,0,0,1,0,0,0,1
,,Reza Nadri,Male,"Department of Computer Engineering, Sharif University of Technology, Tehran, Iran",Iran,0,0,0,0,1,0,0,0,1,0,1,0,0,1
Implementation relations and testing for cyclic systems with refusals and discrete time,Cyclic System Modeling; Reactive Systems; Formal Methods; Implementation Relations; Discrete Time Testing,Raluca Lefticaru,Female,"Department of Computer Science, University of Bradford, Bradford, UK",UK,0,0,0,0,1,1,0,0,1,0,0,1,1,1
,,Robert M. Hierons,Male,"Department of Computer Science, The University of Sheffield, Sheffield, UK",UK,1,0,0,1,0,1,0,0,0,1,0,0,1,1
,,Manuel Núñez,Male,"Design and Testing of Reliable Systems, Universidad Complutense de Madrid, Spain",Spain,0,0,0,1,0,1,0,0,0,1,0,1,1,1
Imbalanced metric learning for crashing fault residence prediction,Software Fault Localization; Crash Data Analysis; Metric Learning; Imbalanced Learning; Debugging Automation,Zhou Xu,Male,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University, College of Computer Science, Chongqing University",China,0,1,0,0,0,1,0,0,0,0,0,0,1,0
,,Kunsong Zhao,Male,"School of Computer Science, Wuhan University",China,0,0,0,0,0,1,0,0,1,0,0,1,0,0
,,Meng Yan,Male,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University, PengCheng Laboratory",China,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,Peipei Yuan,Female,"School of Electronic Information and Communications, Huazhong University of Science and Technology",China,1,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Ling Xu,Female,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University",China,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,Yan Lei,Male,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University",China,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Xiaohong Zhang,Female,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University",China,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CommtPst: Deep learning source code for commenting positions prediction,Automatic Code Commenting; Source Code Analysis; Neural Language Models; Abstract Syntax Trees; Machine Learning in Software,Yuan Huang,Male,"National Engineering Research Center of Digital Life, School of Data and Computer Science, Sun Yat-sen University, Guangzhou, China",China,0,0,0,0,0,1,0,0,0,0,1,0,1,0
,,Xinyu Hu,Male,"National Engineering Research Center of Digital Life, School of Data and Computer Science, Sun Yat-sen University, Guangzhou, China",China,0,1,0,0,0,0,0,1,1,0,0,0,0,0
,,Nan Jia,Male,"School of Management Science and Engineering, Hebei GEO University, Shijiazhuang, China",China,0,0,0,0,0,1,0,1,1,0,0,0,0,0
,,Xiangping Chen,Male,"Guangdong Key Laboratory for Big Data Analysis and Simulation of Public Opinion, School of Communication and Design, Sun Yat-sen University, Guangzhou, China",China,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,Zibin Zheng,Male,"National Engineering Research Center of Digital Life, School of Data and Computer Science, Sun Yat-sen University, Guangzhou, China",China,0,0,0,0,1,0,0,0,0,0,1,0,0,1
,,Xiapu Luo,Male,"The Department of Computing, The Hong Kong Polytechnic University, Hong Kong, China",China,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Vendor Switching: Factors that matter when engineers onboard their own replacement,Offshore Outsourcing; Vendor Switching; Knowledge Transfer; Organizational Fit; Opportunistic Behavior,Darja Smite,Female,"Blekinge Institute of Technology, Karlskrona, Sweden",Sweden,1,1,1,0,1,1,0,0,0,0,0,0,1,0
,,Nils Brede Moe,Male,"SINTEF Digital, Trondheim, Norway",Norway,1,0,0,0,1,1,0,0,0,0,0,0,0,1
Understanding coordination in global software engineering: A mixed-methods study on the use of meetings and Slack,Global Software Engineering; Team Coordination; Collaboration Tools; Distributed Teams; Meetings Analysis,Viktoria Stray,Female,"University of Oslo, Oslo, Norway; SINTEF Digital, Trondheim, Norway",Norway,1,1,1,1,1,1,1,1,0,1,1,1,1,1
,,Nils Brede Moe,Male,"SINTEF Digital, Trondheim, Norway",Norway,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Examining the reuse potentials of IoT application frameworks,IoT Systems; Framework Reusability; Component Reuse; Device Management; Software Quality,Paraskevi Smiari,Female,"University of Western Macedonia, Greece",Greece,1,1,1,0,0,1,0,0,1,0,0,0,1,1
,,Stamatia Bibi,Female,"University of Western Macedonia, Greece",Greece,1,0,0,0,0,1,0,0,1,0,0,0,1,1
,,Daniel Feitosa,Male,"Data Research Centre, University of Groningen, The Netherlands",The Netherlands,1,0,0,0,0,1,0,0,0,0,0,0,1,1
Architectural Design Space for Modelling and Simulation as a Service: A Review,Modelling and Simulation (M&S); Software Architecture; Service-Oriented Architecture; Interoperability; Deployability,Mojtaba Shahin,Male,"Department of Software Systems and Cybersecurity, Faculty of Information Technology, Monash University",Australia,1,0,1,0,1,1,0,0,0,0,1,0,1,1
,,M. Ali Babar,Male,"Centre for Research on Engineering Software Technologies, School of Computer Science, University of Adelaide, CSCRC",Australia,1,0,0,1,0,0,1,0,0,1,1,0,0,1
,,Muhammad Aufeef Chauhan,Male,"Centre for Research on Engineering Software Technologies, School of Computer Science, University of Adelaide, CSCRC",Australia,0,0,1,0,0,0,0,0,0,0,1,0,1,1
Early validation of cyber–physical space systems via multi-concerns integration,Cyber-Physical Systems; Model-Driven Engineering; Separation of Concerns; Statistical Model Checking; Autonomous Systems,Nianyu Li,Male,"Key Laboratory of High Confidence Software Technologies (MoE), Peking University",China,1,0,0,0,1,1,0,0,0,0,0,0,1,0
,,Christos Tsigkanos,Male,"Distributed Systems Group, TU Wien",Austria,1,0,0,0,0,1,0,1,0,0,0,0,1,0
,,Zhi Jin,Male,"Key Laboratory of High Confidence Software Technologies (MoE), Peking University",China,1,0,0,1,0,0,0,0,0,1,0,0,0,1
,,Zhenjiang Hu,Male,"Key Laboratory of High Confidence Software Technologies (MoE), Peking University",China,1,0,0,0,0,0,1,0,0,0,0,0,0,1
,,Carlo Ghezzi,Male,"Dipartimento di Elettronica Informazione e Bioingegneria, Politecnico di Milano",Italy,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Some SonarQube issues have a significant but small effect on faults and changes. A large-scale empirical study,SonarQube Issues; Fault-proneness; Code Changes; Software Quality; Technical Debt,Valentina Lenarduzzi,Female,"LUT University, Lahti, Finland",Finland,1,0,0,0,0,1,0,0,0,0,0,0,1,0
,,Nyyti Saarimäki,Female,"Tampere University, Tampere, Finland",Finland,0,1,1,0,0,0,0,0,0,0,0,0,0,0
,,Davide Taibi,Male,"Tampere University, Tampere, Finland",Finland,0,0,0,1,0,0,0,0,0,1,0,0,0,1
Architectural Design Space for Modelling and Simulation as a Service: A Review,Modelling and Simulation; Software Architecture; MSaaS; Interoperability; Deployability,Mojtaba Shahin,Male,"Department of Software Systems and Cybersecurity, Faculty of Information Technology, Monash University",Australia,1,0,1,0,1,1,0,0,0,0,1,0,1,1
,,M. Ali Babar,Male,"Centre for Research on Engineering Software Technologies, School of Computer Science, University of Adelaide; Cyber Security Cooperative Research Centre (CSCRC)",Australia,1,0,0,1,0,0,1,0,0,1,1,0,0,1
,,Muhammad Aufeef Chauhan,Male,"Centre for Research on Engineering Software Technologies, School of Computer Science, University of Adelaide; Cyber Security Cooperative Research Centre (CSCRC)",Australia,0,0,1,0,0,0,0,0,0,0,1,0,1,1
Capturing creative requirements via requirements reuse: A machine learning-based approach,Software Creativity; Requirements Reuse; Natural Language Processing; Machine Learning; Software Development,Quoc Anh Do,Male,"Department of Computer Science and Engineering, Mississippi State University",USA,1,0,0,0,0,1,0,0,1,0,0,0,1,0
,,Tanmay Bhowmik,Male,"Department of Computer Science and Engineering, Mississippi State University",USA,1,0,0,0,0,1,0,0,0,1,0,0,0,1
,,Gary L. Bradshaw,Male,"Department of Psychology, Mississippi State University",USA,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"On the generation, structure, and semantics of grammar patterns in source code identifiers",Code Patterns; Identifier Naming; Source Code Analysis; Grammar Semantics; POS Tagging,Christian D. Newman,Male,"Rochester Institute of Technology, Rochester, NY, USA",USA,1,1,1,0,1,1,0,0,1,0,1,0,1,1
,,Reem S. AlSuhaibani,Female,"Kent State University, Kent, OH, USA; Prince Sultan University, Riyadh, Saudi Arabia","USA, Saudi Arabia",1,1,0,0,0,0,0,0,0,0,1,0,0,1
,,Michael J. Decker,Male,"Bowling Green State University, Bowling Green, OH, USA",USA,1,1,0,0,0,0,0,0,0,0,1,0,0,1
,,Anthony Peruma,Male,"Rochester Institute of Technology, Rochester, NY, USA",USA,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Dishant Kaushik,Male,"Rochester Institute of Technology, Rochester, NY, USA",USA,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,Mohamed Wiem Mkaouer,Male,"Rochester Institute of Technology, Rochester, NY, USA",USA,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Emily Hill,Female,"Drew University, Madison, NJ, USA",USA,1,0,0,0,0,0,0,0,0,0,0,0,0,1
A large empirical assessment of the role of data balancing in machine-learning-based code smell detection,Code Smell Detection; Machine Learning; Software Quality; Technical Debt; Data Balancing,Fabiano Pecorelli,Male,"SeSa Lab, University of Salerno, Fisciano, Italy",Italy,1,1,1,0,1,0,0,0,1,0,0,1,1,0
,,Dario Di Nucci,Male,"Tilburg University, Jheronimus Academy of Data Science, ’s-Hertogenbosch, The Netherlands",The Netherlands,1,0,0,0,0,1,0,0,0,0,1,0,0,1
