Paper Title,Study Domain Terms,Author Name,Gender,Affiliation,Country,Conceptualization,Data Curation,Formal Analysis,Funding Acquisition,Investigation,Methodology,Project Administration,Resources,Software,Supervision,Validation,Visualization,Writing – Original Draft,Writing – Review & Editing
Adopting threat modelling in agile software development projects,"Secure software engineering, Agile teams, Threat modelling, STRIDE, Microsoft Threat Modelling Tool",Karin Bernsmed,Female,"SINTEF Digital, Trondheim, Norway",Norway,1,1,1,0,1,1,0,1,0,0,1,1,1,1
,,Daniela Soares Cruzes,Female,"SINTEF Digital, Trondheim, Norway",Norway,1,1,0,1,1,1,1,1,0,0,1,0,1,1
,,Martin Gilje Jaatun,Male,"SINTEF Digital, Trondheim, Norway",Norway,1,1,0,0,1,1,0,1,0,0,1,0,1,1
,,Monica Iovan,Female,"Visma, Romania",Romania,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Agile methods used by traditional logistics companies and logistics start-ups: a systematic literature review,"Agile methods, Logistics, Start-ups, Systematic review, Innovation",Malena Zielske,Female,"Hamburg University of Applied Sciences, Lufthansa Industry Solutions GmbH & Co. KG",Germany,1,0,0,0,1,0,0,0,0,0,1,1,1,1
,,Tobias Held,Male,Hamburg University of Applied Sciences,Germany,0,0,0,0,0,0,0,0,0,1,1,0,0,1
An architecture for mission coordination of heterogeneous robots,"Robotics, Coordination, Modifiability, Integration, Autonomy",Gabriel Rodrigues,Male,"University of Brasilia, Brasilia, Brazil",Brazil,1,0,0,0,0,1,0,0,1,0,0,0,1,0
,,Ricardo Caldas,Male,"Chalmers University of Technology, Gothenburg, Sweden",Sweden,0,1,0,0,0,1,0,0,0,0,1,0,1,0
,,Gabriel Araujo,Male,"University of Brasilia, Brasilia, Brazil",Brazil,0,0,0,0,1,0,0,0,1,0,1,0,1,0
,,Vicente de Moraes,Male,"University of Brasilia, Brasilia, Brazil",Brazil,0,0,0,0,1,0,0,0,0,0,0,1,0,0
,,Genaína Rodrigues,Female,"University of Brasilia, Brasilia, Brazil",Brazil,1,0,0,0,0,1,0,0,0,0,0,0,0,1
,,Patrizio Pelliccione,Male,"Gran Sasso Science Institute (GSSI), L’Aquila, Italy",Italy,1,0,0,0,0,1,0,0,0,0,0,0,0,1
An automated extract method refactoring approach to correct the long method code smell,"Code smells, Refactoring, Long method, Java, Graph analysis",Mahnoosh Shahidi,Female,Iran University of Science and Technology,Iran,1,0,0,0,0,1,0,0,0,0,1,0,1,0
,,Mehrdad Ashtiani,Male,Iran University of Science and Technology,Iran,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,Morteza Zakeri-Nasrabadi,Male,Iran University of Science and Technology,Iran,0,0,0,0,0,0,0,0,0,1,1,0,0,1
An efficient heuristic algorithm for software module clustering optimization,"Software engineering, modularity, optimization, graph partitioning, heuristic algorithms",Javier Yuste,Male,"Universidad Rey Juan Carlos, C/Tulipán s/n, Móstoles, 28933, Madrid, Spain",Spain,1,1,0,0,1,0,0,0,1,0,0,0,1,0
,,Abraham Duarte,Male,"Universidad Rey Juan Carlos, C/Tulipán s/n, Móstoles, 28933, Madrid, Spain",Spain,0,0,1,1,0,0,0,0,0,1,0,0,0,1
,,Eduardo G. Pardo,Male,"Universidad Rey Juan Carlos, C/Tulipán s/n, Móstoles, 28933, Madrid, Spain",Spain,1,0,0,0,1,1,0,0,0,0,1,0,1,0
An empirical characterization of software bugs in open-source Cyber–Physical Systems,"CPS, drones, automotive, robotics, Arduino, hardware",Fiorella Zampetti,Female,"Department of Engineering, University of Sannio, Italy",Italy,1,1,0,0,1,1,1,1,0,0,1,0,1,0
,,Ritu Kapur,Female,"C-DAC Centre in North East (CINE), India",India,0,1,0,0,0,0,0,0,0,0,1,0,1,0
,,Massimiliano Di Penta,Male,"Department of Engineering, University of Sannio, Italy",Italy,1,0,0,1,0,1,0,0,0,0,1,0,1,0
,,Sebastiano Panichella,Male,"Zurich University of Applied Science, Switzerland",Switzerland,1,0,0,1,0,1,1,0,0,0,0,0,1,0
An empirical comparison of four Java-based regression test selection techniques,"Regression testing, Test case selection, Safety violations, Precision violations, Fault detection",Min Kyung Shin,Female,"Department of Computer Science, Colorado State University",USA,0,1,0,0,0,0,0,0,1,0,0,1,1,0
,,Sudipto Ghosh,Male,"Department of Computer Science, Colorado State University",USA,1,0,0,0,0,1,0,0,0,0,0,0,0,1
,,Leo R. Vijayasarathy,Male,"Department of Computer Information Systems, Colorado State University",USA,0,0,0,0,0,1,0,0,0,0,0,0,0,1
An empirical study on the challenges that developers encounter when developing Apache Spark applications,"Big Data, Distributed Computing, API, Configuration, Performance",Zehao Wang,Male,"Concordia University, Montreal, Canada",Canada,0,1,0,0,0,1,0,0,1,0,1,0,1,0
,,Tse-Hsun (Peter) Chen,Male,"Concordia University, Montreal, Canada",Canada,1,1,0,0,0,0,0,0,0,1,0,0,0,1
,,Haoxiang Zhang,Male,"Centre for Software Excellence at Huawei, Canada",Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Shaowei Wang,Male,"University of Manitoba, Winnipeg, Canada",Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,1
An integrated tool set for verifying CafeOBJ specifications,"Software systems, computation, verification, theorem proving, interactive user interface",Adrián Riesco,Male,"Software systems and computation, Fac. Informática, Universidad Complutense de Madrid, Spain",Spain,1,0,0,0,1,1,0,0,1,0,0,0,1,0
,,Kazuhiro Ogata,Male,"School of Information Science, JAIST, Japan; Research Center for Theoretical Computer Science, JAIST, Japan",Japan,1,0,0,0,1,1,0,0,0,0,0,0,0,1
Antipatterns in software classification taxonomies,"Software systems, Software classification, Taxonomy, Empirical study, Antipatterns",Cezar Sas,Male,"Bernulli Institute, University of Groningen, Nijenborgh 9, Groningen, 9747 AG",Netherlands,1,1,0,0,1,1,0,0,1,0,1,1,1,0
,,Andrea Capiluppi,Male,"Bernulli Institute, University of Groningen, Nijenborgh 9, Groningen, 9747 AG",Netherlands,1,0,0,0,1,1,0,0,0,1,1,0,0,1
Architectural conformance checking for KDM-represented systems✩,"Model-driven reengineering, Knowledge Discovery Metamodel (KDM), Architecture-Driven Modernization (ADM), Architectural Conformance Checking (ACC), Software Modernization",André de S. Landi,Male,"Amdocs digital network transformation communications, São Carlos, SP, Brazil",Brazil,1,0,0,0,1,1,0,0,1,0,0,0,1,0
,,Daniel San Martín,Male,"Computing Department, Federal University of São Carlos (UFSCar), São Carlos, SP, Brazil; Exact Sciences Department, Universidad de los Lagos (ULagos), Osorno, Chile","Brazil, Chile",0,0,0,0,0,0,0,0,1,0,1,1,0,1
,,Bruno M. Santos,Male,"Computing Department, Federal University of São Carlos (UFSCar), São Carlos, SP, Brazil",Brazil,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,,Warteruzannan S. Cunha,Male,"Computing Department, Federal University of São Carlos (UFSCar), São Carlos, SP, Brazil",Brazil,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned
,,Rafael S. Durelli,Male,"Computing Department, Federal University of Lavras (UFLA), Lavras, MG, Brazil",Brazil,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,Valter V. Camargo,Male,"Computing Department, Federal University of São Carlos (UFSCar), São Carlos, SP, Brazil",Brazil,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Architecture evaluation in continuous development,"Automotive, Architecture, Agile Development, Tradeoff Analysis, Systems Evaluation",S. Magnus Ågren,Male,"Chalmers, University of Gothenburg",Sweden,1,0,0,0,1,1,0,0,0,0,0,0,1,0
,,Eric Knauss,Male,"Chalmers, University of Gothenburg",Sweden,1,0,0,0,1,1,0,0,0,0,0,0,1,0
,,Rogardt Heldal,Male,"Western Norway University of Applied Sciences, Chalmers, University of Gothenburg","Norway, Sweden",1,0,0,0,1,1,0,0,0,0,0,0,1,0
,,Patrizio Pelliccione,Male,"Gran Sasso Science Institute, Chalmers, University of Gothenburg","Italy, Sweden",1,0,0,0,1,1,0,0,0,0,0,0,1,0
,,Anders Alminger,Male,Volvo Cars,Sweden,1,0,0,0,1,0,0,0,0,0,1,0,0,0
,,Magnus Antonsson,Male,Volvo Cars,Sweden,1,0,0,0,1,0,0,0,0,0,1,0,0,0
,,Thomas Karlkvist,Male,Volvo Cars,Sweden,1,0,0,0,1,0,0,0,1,0,1,0,0,0
,,Anders Lindeborg,Male,Volvo Cars,Sweden,1,0,0,0,1,0,0,0,0,0,1,0,0,0
ARTe: Providing real-time multitasking to Arduino,"Embedded Systems, IoT, UAVs, Real-time Systems, Prototyping",Francesco Restuccia,Male,"Scuola Superiore Sant’Anna Pisa, University of California San Diego","Italy, USA",1,0,0,0,0,1,0,0,1,0,0,0,1,0
,,Marco Pagani,Male,Scuola Superiore Sant’Anna Pisa,Italy,0,0,0,0,1,1,0,0,1,0,0,0,1,0
,,Agostino Mascitti,Male,Scuola Superiore Sant’Anna Pisa,Italy,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,,Michael Barrow,Male,University of California San Diego,USA,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,,Mauro Marinoni,Male,Scuola Superiore Sant’Anna Pisa,Italy,0,0,0,0,0,1,0,1,0,1,0,0,0,1
,,Alessandro Biondi,Male,Scuola Superiore Sant’Anna Pisa,Italy,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,Giorgio Buttazzo,Male,Scuola Superiore Sant’Anna Pisa,Italy,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,Ryan Kastner,Male,University of California San Diego,USA,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Assessing the linguistic quality of REST APIs for IoT applications,"IoT, REST APIs, Linguistic Quality, Syntactic Analysis, Semantic Analysis",Francis Palma,Male,"Department of Computer Science and Media Technology, Linnaeus University",Sweden,1,1,0,0,0,1,0,0,1,0,0,1,1,0
,,Tobias Olsson,Male,"Department of Computer Science and Media Technology, Linnaeus University",Sweden,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,Anna Wingkvist,Female,"Department of Computer Science and Media Technology, Linnaeus University",Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Javier Gonzalez-Huerta,Male,"Department of Software Engineering, Blekinge Institute of Technology",Sweden,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Automated reverse engineering of role-based access control policies of web applications,"Access control, security, policies, reverse engineering, validation",Ha Thanh Le,Male,"Getcare Pharma Corporation, Vietnam",Vietnam,0,1,0,0,1,1,0,1,1,0,0,0,0,0
,,Lwin Khin Shar,Male,"School of Computing and Information Systems, Singapore Management University, Singapore",Singapore,1,0,0,0,0,1,0,0,0,0,1,0,1,1
,,Domenico Bianculli,Male,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg",Luxembourg,1,0,0,0,0,1,1,0,0,0,1,0,1,1
,,Lionel Claude Briand,Male,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg, University of Ottawa, Canada","Luxembourg, Canada",1,0,0,1,0,1,0,0,0,1,0,0,0,1
,,Cu Duy Nguyen,Male,"Cyberforce Department - POST Luxembourg, Luxembourg",Luxembourg,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Automatic development of requirement linking matrix based on semantic similarity for robust software development,"Software systems, Automotive software, Electrical architectures, Textual requirements, Semantic similarity",Dnyanesh Rajpathak,Male,"Advanced Analytics Center of Excellence, Chief Data and Analytics Office, General Motors, Warren, Michigan 48092-2031, USA",USA,1,0,0,0,1,1,0,0,1,0,1,0,1,1
,,Prakash M. Peranandam,Male,"Global R&D, General Motors, Warren, Michigan 48092-2031, USA",USA,1,0,0,0,1,1,0,0,1,0,1,0,1,1
,,S. Ramesh,Male,"Global R&D, General Motors, Warren, Michigan 48092-2031, USA",USA,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Automatically recognizing the semantic elements from UML class diagram images,"software engineering, design models, image processing, UML class diagrams, semantic elements",Fangwei Chen,Male,"State Key Laboratory of Software Development Environment, Beihang University",China,0,1,1,0,0,1,0,0,1,0,0,0,1,0
,,Li Zhang,Male,"State Key Laboratory of Software Development Environment, Beihang University",China,1,0,0,1,0,0,0,0,0,0,0,0,0,1
,,Xiaoli Lian,Female,"State Key Laboratory of Software Development Environment, Beihang University",China,0,0,1,1,1,1,0,0,0,0,1,0,0,1
,,Nan Niu,Male,University of Cincinnati,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Can we trust tests to automate dependency updates? A case study of Java Projects,"Dependency updates, test coverage, dynamic analysis, static analysis, semantic faults",Joseph Hejderup,Male,Delft University of Technology,Netherlands,1,1,1,0,1,1,1,0,1,0,1,1,1,1
,,Georgios Gousios,Male,Delft University of Technology,Netherlands,1,0,0,1,0,1,0,0,0,1,1,0,0,1
Cataloging dependency injection anti-patterns in software systems ✩,"Dependency Injection, Anti-patterns, Refactoring, Modularity, Code Quality",Rodrigo Laigner,Male,University of Copenhagen,Denmark,1,1,0,0,1,1,0,0,1,0,1,1,1,1
,,Diogo Mendonça,Male,CEFET/RJ,Brazil,0,0,0,0,1,0,0,0,0,0,1,0,1,1
,,Alessandro Garcia,Male,PUC-Rio,Brazil,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Marcos Kalinowski,Male,PUC-Rio,Brazil,1,0,0,0,0,1,0,0,0,1,0,0,1,1
Changes in perceived productivity of software engineers during COVID-19 pandemic: The voice of evidence,"COVID-19, productivity, telework, remote work, longitudinal analysis",Darja Smite,Female,"Blekinge Institute of Technology, SINTEF","Sweden, Norway",1,0,0,1,1,0,0,0,0,0,0,1,1,0
,,Anastasiia Tkalich,Female,SINTEF,Norway,1,1,0,0,1,0,0,0,0,0,0,0,1,0
,,Nils Brede Moe,Male,"Blekinge Institute of Technology, SINTEF","Sweden, Norway",0,0,0,1,1,0,0,0,0,0,0,0,1,0
,,Efi Papatheocharous,Female,Blekinge Institute of Technology,Sweden,0,1,0,0,0,0,0,0,0,0,0,0,0,1
,,Eriks Klotins,Male,Blekinge Institute of Technology,Sweden,0,1,0,0,0,1,0,0,0,0,0,0,0,1
,,Marte Pettersen Buvik,Female,SINTEF,Norway,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CIT-daily: A combinatorial interaction testing-based daily build process,"CIT, build processes, fault detection, configurable systems, t-way coverage",Hanefi Mercan,Male,Sabanci University,Turkey,1,0,0,0,1,1,0,0,0,0,0,1,1,
,,Atakan Aytar,Male,Sabanci University,Turkey,0,1,0,0,0,0,0,0,1,0,0,0,0,
,,Giray Coskun,Male,Sabanci University,Turkey,0,1,0,0,0,0,0,0,1,0,0,0,0,
,,Dilara Mustecep,Female,Sabanci University,Turkey,0,0,0,0,0,0,0,1,1,0,0,0,0,
,,Gülsüm Uzer,Female,Sabanci University,Turkey,0,1,0,0,0,0,0,0,0,0,0,0,0,
,,Cemal Yilmaz,Male,Sabanci University,Turkey,1,0,1,0,0,0,0,0,0,1,0,0,1,1
Classifying crowdsourced mobile test reports with image features: An empirical study,"Crowdsourced testing, Mobile testing, Image features, Test report classification, Machine learning",Yuying Li,Female,"The State Key Laboratory for Novel Software Technology, Nanjing University",China,0,0,0,0,0,1,0,0,1,0,1,0,1,0
,,Yang Feng,Male,"The State Key Laboratory for Novel Software Technology, Nanjing University",China,1,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Rui Hao,Male,"The State Key Laboratory for Novel Software Technology, Nanjing University",China,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,Di Liu,Male,"The State Key Laboratory for Novel Software Technology, Nanjing University",China,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Chunrong Fang,Male,"The State Key Laboratory for Novel Software Technology, Nanjing University",China,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,Zhenyu Chen,Male,"The State Key Laboratory for Novel Software Technology, Nanjing University",China,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,,Baowen Xu,Male,"The State Key Laboratory for Novel Software Technology, Nanjing University",China,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Code-quality evaluation scheme for assessment of student contributions to programming projects,"Software engineering, Teamwork, Code quality, Project-based learning, Automated assessment",Hsi-Min Chen,Male,"Feng Chia University, Department of Information Engineering and Computer Science",Taiwan,1,0,0,0,0,1,0,0,1,0,0,0,0,1
,,Bao-An Nguyen,Male,"Tra Vinh University, Department of Information Technology",Viet Nam,0,1,0,0,0,0,0,0,0,0,0,1,1,0
,,Chyi-Ren Dow,Male,"Feng Chia University, Department of Information Engineering and Computer Science",Taiwan,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Conformance assessment of Architectural Design Decisions on API endpoint designs derived from domain models✩,"Microservices, API design, DDD, conformance, automation",Apitchaka Singjai,Female,"University of Vienna, Faculty of Computer Science, Research Group Software Architecture",Austria,1,0,0,0,1,1,0,0,1,0,0,0,1,1
,,Uwe Zdun,Male,"University of Vienna, Faculty of Computer Science, Research Group Software Architecture",Austria,1,0,0,0,0,1,0,1,1,1,1,0,1,1
CONSERVE: A framework for the selection of techniques for monitoring containers security,"Container-based virtualization, monitoring techniques, container security, decision support framework, virtualization efficiency",Rodi Jolak,Male,"University of Gothenburg, Chalmers University of Technology, Volvo Car Corporation",Sweden,1,1,0,0,1,1,0,1,0,1,0,0,1,1
,,Thomas Rosenstatter,Male,"Chalmers University of Technology, RISE Research Institutes of Sweden",Sweden,1,0,0,0,0,0,0,1,0,0,0,0,1,1
,,Mazen Mohamad,Male,"University of Gothenburg, Chalmers University of Technology",Sweden,1,0,0,0,0,0,0,1,0,0,0,0,1,1
,,Kim Strandberg,Male,"Chalmers University of Technology, Volvo Car Corporation",Sweden,1,0,0,0,0,0,0,1,0,0,0,0,1,1
,,Behrooz Sangchoolie,Male,RISE Research Institutes of Sweden,Sweden,1,0,0,0,0,0,0,1,0,0,0,0,1,1
,,Nasser Nowdehi,Male,Volvo Car Corporation,Sweden,1,0,0,0,0,0,0,1,0,0,0,0,1,1
,,Riccardo Scandariato,Male,Hamburg University of Technology,Germany,1,0,0,0,1,1,0,1,0,0,0,0,1,1
Considerations and challenges for the adoption of open source components in software-intensive businesses,"OSS adoption, Software development, Open Source components, Continuous integration, Licence compliance",Simon Butler,Male,"University of Skövde, Skövde, Sweden",Sweden,1,0,0,0,0,1,1,0,0,0,0,0,1,1
,,Jonas Gamalielsson,Male,"University of Skövde, Skövde, Sweden",Sweden,1,0,0,0,0,1,0,0,0,0,0,0,0,1
,,Björn Lundell,Male,"University of Skövde, Skövde, Sweden",Sweden,1,0,0,1,0,1,0,0,0,1,0,0,0,1
,,Christoffer Brax,Male,"Combitech AB, Linköping, Sweden",Sweden,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,,Anders Mattsson,Male,"Husqvarna AB, Huskvarna, Sweden",Sweden,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,,Tomas Gustavsson,Male,"PrimeKey Solutions AB, Stockholm, Sweden",Sweden,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,,Jonas Feist,Male,"RedBridge AB, Stockholm, Sweden",Sweden,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,,Bengt Kvarnström,Male,"Saab AB, Linköping, Sweden",Sweden,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,,Erik Lönroth,Male,"Scania CV AB, Södertälje, Sweden",Sweden,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Continuous software security through security prioritisation meetings,"Software security, Agile, Security meetings, Prioritization, Stakeholders",Inger Anne Tøndel,Female,"Norwegian University of Science and Technology (NTNU), Department of Computer Science",Norway,1,0,0,0,1,1,0,0,0,0,1,1,1,0
,,Daniela Soares Cruzes,Female,"Norwegian University of Science and Technology (NTNU), Department of Computer Science",Norway,1,0,0,1,0,1,0,1,0,0,1,0,0,1
Creativity Triggers: Extension and empirical evaluation of their effectiveness during requirements elicitation,"Creativity, Requirements Engineering, Novel Tools, System Validation, Stakeholders Involvement",Benito Giunta,Male,"NaDI, Namur Digital Institute, PReCISE Research Center, Université de Namur",Belgium,1,1,1,0,1,1,0,0,1,0,0,0,1,1
,,Corentin Burnay,Male,"NaDI, Namur Digital Institute, PReCISE Research Center, Université de Namur",Belgium,1,0,1,0,1,1,0,1,0,0,0,0,1,1
,,Neil Maiden,Male,"Bayes Business School, City University of London",United Kingdom,1,0,1,0,1,0,0,0,0,0,1,0,0,1
,,Stéphane Faulkner,Male,"NaDI, Namur Digital Institute, PReCISE Research Center, Université de Namur",Belgium,0,0,0,0,0,0,1,1,0,1,1,0,0,1
Data Augmentation by Program Transformation✩,"Deep learning, Program transformation, Big code tasks, Method naming, Code commenting",Shiwen Yu,Male,"Institute for Quantum Information & State Key Laboratory of High Performance Computing, National University of Defense Technology, Changsha",China,0,1,1,0,1,1,0,1,1,0,1,1,1,0
,,Ting Wang,Male,"Institute for Quantum Information & State Key Laboratory of High Performance Computing, National University of Defense Technology, Changsha",China,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,Ji Wang,Male,"Institute for Quantum Information & State Key Laboratory of High Performance Computing, National University of Defense Technology, Changsha",China,1,0,0,0,0,1,0,0,1,1,0,0,0,1
Data management for production quality deep learning models: Challenges and solutions,"Deep learning, Data management, Industrial deployment, Case study, Software systems",Aiswarya Raj Munappy,Female,"Department of Computer Science and Engineering, Chalmers University of Technology, Hörselgången 11, 412 96, Gothenburg, Sweden",Sweden,1,0,0,0,1,1,0,0,0,0,1,0,1,0
,,Jan Bosch,Male,"Department of Computer Science and Engineering, Chalmers University of Technology, Hörselgången 11, 412 96, Gothenburg, Sweden",Sweden,0,0,0,0,1,0,1,0,0,0,1,0,0,0
,,Helena Holmström Olsson,Female,"Department of Computer Science and Media Technology, Malmö University, Nordenskiöldsgatan 1, 205 06, Malmö, Sweden",Sweden,0,0,0,0,0,1,1,0,0,0,1,0,0,0
,,Anders Arpteg,Male,"Peltarion - the operational AI platform, Holländargatan 17, 111 60, Stockholm, Sweden",Sweden,0,0,0,0,0,0,1,0,0,0,1,0,0,0
,,Björn Brinne,Male,"Peltarion - the operational AI platform, Holländargatan 17, 111 60, Stockholm, Sweden",Sweden,0,0,0,0,0,0,1,0,0,0,1,0,0,0
