Paper Title,Total Authors,Female Authors,lead?,local_Contribution?,national_collaboration?,International_collaboration?
Factors affecting Agile adoption: An industry research study of the mobile app sector in Saudi Arabia,2,1,0,0,0,1
Fault localization using function call frequencies,4,0,0,1,1,0
Fuzzing with automatically controlled interleavings to detect concurrency bugs,3,0,0,0,0,1
"GitHub repositories with links to academic papers: Public access, traceability, and evolution✩",7,2,1,0,0,1
Graph4Web: A relation-aware graph attention network for web service classification,8,0,0,0,0,1
GT-SimNet: Improving code automatic summarization via multi-modal similarity networks,6,2,0,1,1,0
Hierarchical semantic-aware neural code representation✩,4,1,0,0,0,1
How are framework code samples maintained and used by developers? The case of Android and Spring Boot,3,0,0,0,1,0
How has design thinking being used and integrated into software development activities? A systematic mapping,4,2,0,0,1,0
How secondary school girls perceive Computational Thinking practices through collaborative programming with the micro,6,1,0,0,1,0
HUNTER: AI based holistic resource management for sustainable cloud computing,11,0,0,0,0,1
IADA: A dynamic interference-aware cloud scheduling architecture for latency-sensitive workloads,4,0,0,1,1,0
Identification and measurement of Requirements Technical Debt in software development: A systematic literature review,4,3,1,0,0,1
Impact of individualism and collectivism cultural profiles on the behaviour of software developers: A study of Stack Overflow,3,0,0,1,1,0
Infinite technical debt✩,3,3,1,0,0,1
Is it a case study?—A critical analysis and guidance,2,0,0,0,0,1
Just-in-time software vulnerability detection: Are we there yet?,5,1,0,0,0,1
Locating and categorizing inefficient communication patterns in HPC systems using inter-process communication traces,2,0,0,0,0,1
Mining user reviews of COVID contact-tracing apps: An exploratory analysis of nine European apps,3,0,0,0,0,1
Missing standard features compared with similar apps? A feature recommendation method based on the knowledge from user interface,5,0,0,0,1,0
Modelling and executing IoT-enhanced business processes through BPMN and microservices,3,2,0,0,0,1
Moderator factors of software security and performance verification✩,3,1,0,0,0,1
Multi-paradigm modeling for cyber–physical systems: A systematic mapping review,12,7,1,0,0,1
Mutation-based analysis of queueing network performance models,4,1,0,0,0,1
Mutation testing of PL/SQL programs✩,2,1,1,0,1,0
On the benefits and problems related to using Definition of Done—A survey study✩,4,1,1,1,1,0
On the evaluation of usability design guidelines for improving network monitoring tools interfaces,4,2,1,0,1,0
On the use of artificial intelligence to deal with privacy in IoT systems: A systematic literature review,3,1,0,1,1,0
Perceptions of the human and social factors that influence the productivity of software development teams in Colombia: A statistical analysis,4,4,1,0,1,0
Preventing accessibility barriers: Guidelines for using user interface design patterns in mobile applications,5,3,1,0,1,0
PRHAN: Automated Pull Request Description Generation Based on Hybrid Attention Network✩,6,0,0,0,1,0
Profiling gas consumption in Solidity smart contracts,5,2,0,1,1,0
Quality measurement in agile and rapid software development: A systematic mapping,9,3,1,0,0,1
Quantitative verification with adaptive uncertainty reduction,4,1,0,0,0,1
Random or heuristic? An empirical study on path search strategies for test generation in KLEE,6,1,0,0,1,0
Reducing large adaptation spaces in self-adaptive systems using classical machine learning,3,0,0,0,0,1
Revealing the state of the art of large-scale agile development research: A systematic mapping study,6,2,0,0,0,1
Role stereotypes in software designs and their evolution,6,0,0,0,0,1
Self-adaptive mobile web service discovery framework for Dynamic Mobile Environment,3,2,0,1,1,0
SEXTAMT: A systematic map to navigate the wide seas of factors affecting expert judgment software estimates,4,2,1,0,0,1
Sharing runtime permission issues for developers based on similar-app review mining,7,1,0,0,0,1
Smells and refactorings for microservices security: A multivocal literature review,4,0,0,0,0,1
Software engineering for quantum programming: How far are we?,5,0,0,0,0,1
Software micro-rejuvenation for Android mobile systems,5,0,0,1,1,0
Software product line scoping: A systematic literature review,6,0,0,0,0,1
Spreadsheet debugging: The perils of tool over-reliance,4,1,0,0,1,0
Systematic literature review of domain-oriented specification techniques,2,1,0,0,0,1
Taxonomy of security weaknesses in Java and Kotlin Android apps,7,1,0,0,0,1
Technical debts and faults in open-source quantum software systems: An empirical study,5,1,0,1,1,0
Test automation maturity improves product quality—Quantitative study of open source projects using continuous integration,4,0,0,1,1,0
Test case prioritization using partial attention✩,6,0,0,1,1,0
Testing anticipatory systems: A systematic mapping study on the state of the art,3,0,0,0,1,0
The state of research on software engineering competencies: A systematic mapping study,3,2,1,0,0,1
Towards a logical framework for ideal MBSE tool selection based on discipline specific requirements,8,1,0,0,1,0
"Towards using visual, semantic and structural features to improve code readability classification",4,0,0,1,1,0
Transformation-based model checking temporal trust in multi-agent systems,4,1,1,0,0,1
Understanding Roxygen package documentation in R,1,1,1,1,0,0
Usability inspection: Novice crowd inspectors versus expert✩,3,1,0,0,1,0
Using deep temporal convolutional networks to just-in-time forecast technical debt principal,5,3,0,0,1,0
Using mutual information to test from Finite State Machines: Test suite generation,1,0,0,1,1,0
Visualization of aggregated information to support class-level software evolution,2,1,1,0,0,1
Vulpedia: Detecting vulnerable ethereum smart contracts via abstracted vulnerability signatures,6,0,0,0,0,1
VulSlicer: Vulnerability detection through code slicing,2,1,1,1,1,0
Wayback Machine: A tool to capture the evolutionary behavior of the bug reports and their triage process in open-source software systems,5,1,0,0,0,1
What factors affect the UX in mobile apps? A systematic mapping study on the analysis of app store reviews,5,2,0,0,0,1
When traceability goes awry: An industrial experience report,3,0,0,0,1,0
Which builds are really safe to skip? Maximizing failure observation for build selection in continuous integration,2,0,0,0,0,1
Why and how is Scrum being adapted in practice: A systematic review ✩,2,0,0,0,0,1
116,0,0,0,0,0,0
