Paper Title,Study Domain Terms,Author Name,Gender,gender_annotation,Affiliation,Country,Total Authors,Female Authors,Female_lead?,Male_lead?,local_Contribution?,national_collaboration?,International_collaboration?,Supervision,FemaleSupervision,MaleSupervision,Unique Institute Count
A systematic study of reward for reinforcement learning based continuous integration testing,,Ruilian Zhao,Female,1.0,"College of Information Science and Technology, Beijing University of Chemical Technology",China,,,,,,,,0.0,0.0,0.0,
Integrating UX work with agile development through user stories: An action research study in a small software company,UX Integration; Agile Development; Software-as-a-Service (SaaS); User Stories; Action Research,Alisa Ananjeva,Female,1.0,"Aalborg University, Computer Science, Denmark",Denmark,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Integrating UX work with agile development through user stories: An action research study in a small software company,,John Stouby Persson,Male,0.0,"Aalborg University, Computer Science, Denmark",Denmark,,,,,,,,1.0,0.0,1.0,
Integrating UX work with agile development through user stories: An action research study in a small software company,,Anders Bruun,Male,0.0,"Aalborg University, Computer Science, Denmark",Denmark,,,,,,,,1.0,0.0,1.0,
TagDC: A tag recommendation method for software information sites with a combination of deep learning and collaborative filtering,Tag Recommendation Systems; Collaborative Filtering; Deep Learning; Software Information Sites; Software Object Understanding,Can Li,Male,0.0,"School of Big Data & Software Engineering, Chongqing University",China,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
TagDC: A tag recommendation method for software information sites with a combination of deep learning and collaborative filtering,,Ling Xu,Female,1.0,"School of Big Data & Software Engineering, Chongqing University",China,,,,,,,,0.0,0.0,0.0,
TagDC: A tag recommendation method for software information sites with a combination of deep learning and collaborative filtering,,Meng Yan,Male,0.0,"School of Big Data & Software Engineering, Chongqing University",China,,,,,,,,1.0,0.0,1.0,
TagDC: A tag recommendation method for software information sites with a combination of deep learning and collaborative filtering,,Yan Lei,Male,0.0,"School of Big Data & Software Engineering, Chongqing University",China,,,,,,,,0.0,0.0,0.0,
Scrum versus Rational Unified Process in facing the main challenges of product configuration systems development,Product Configuration Systems; Mass Customization; Software Development; Agile Methodologies; Knowledge Management,Sara Shafiee,Female,1.0,"Department of Mechanical Engineering, Technical University of Denmark",Denmark,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
Scrum versus Rational Unified Process in facing the main challenges of product configuration systems development,,Yves Wautelet,Male,0.0,"Research Centre for Information Systems Engineering (LIRIS), KU Leuven",Belgium,,,,,,,,0.0,0.0,0.0,
Scrum versus Rational Unified Process in facing the main challenges of product configuration systems development,,Lars Hvam,Male,0.0,"Department of Management Engineering, Technical University of Denmark",Denmark,,,,,,,,1.0,0.0,1.0,
Scrum versus Rational Unified Process in facing the main challenges of product configuration systems development,,Enrico Sandrin,Male,0.0,"Department of Management and Engineering, University of Padova",Italy,,,,,,,,0.0,0.0,0.0,
Scrum versus Rational Unified Process in facing the main challenges of product configuration systems development,,Cipriano Forza,Male,0.0,"Department of Management and Engineering, University of Padova",Italy,,,,,,,,0.0,0.0,0.0,
Implementation relations and testing for cyclic systems with refusals and discrete time,Cyclic System Modeling; Reactive Systems; Formal Methods; Implementation Relations; Discrete Time Testing,Raluca Lefticaru,Female,1.0,"Department of Computer Science, University of Bradford, Bradford, UK",UK,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
Implementation relations and testing for cyclic systems with refusals and discrete time,,Robert M. Hierons,Male,0.0,"Department of Computer Science, The University of Sheffield, Sheffield, UK",UK,,,,,,,,1.0,0.0,1.0,
Implementation relations and testing for cyclic systems with refusals and discrete time,,Manuel NÃºÃ±ez,Male,0.0,"Design and Testing of Reliable Systems, Universidad Complutense de Madrid, Spain",Spain,,,,,,,,1.0,0.0,1.0,
Imbalanced metric learning for crashing fault residence prediction,Software Fault Localization; Crash Data Analysis; Metric Learning; Imbalanced Learning; Debugging Automation,Zhou Xu,Male,0.0,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University, College of Computer Science, Chongqing University",China,7.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
Imbalanced metric learning for crashing fault residence prediction,,Kunsong Zhao,Male,0.0,"School of Computer Science, Wuhan University",China,,,,,,,,0.0,0.0,0.0,
Imbalanced metric learning for crashing fault residence prediction,,Meng Yan,Male,0.0,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University, PengCheng Laboratory",China,,,,,,,,1.0,0.0,1.0,
Imbalanced metric learning for crashing fault residence prediction,,Peipei Yuan,Female,1.0,"School of Electronic Information and Communications, Huazhong University of Science and Technology",China,,,,,,,,0.0,0.0,0.0,
Imbalanced metric learning for crashing fault residence prediction,,Ling Xu,Female,1.0,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University",China,,,,,,,,0.0,0.0,0.0,
Imbalanced metric learning for crashing fault residence prediction,,Yan Lei,Male,0.0,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University",China,,,,,,,,0.0,0.0,0.0,
Imbalanced metric learning for crashing fault residence prediction,,Xiaohong Zhang,Female,1.0,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University",China,,,,,,,,0.0,0.0,0.0,
Some SonarQube issues have a significant but small effect on faults and changes. A large-scale empirical study,SonarQube Issues; Fault-proneness; Code Changes; Software Quality; Technical Debt,Valentina Lenarduzzi,Female,1.0,"LUT University, Lahti, Finland",Finland,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
Some SonarQube issues have a significant but small effect on faults and changes. A large-scale empirical study,,Nyyti SaarimÃ¤ki,Female,1.0,"Tampere University, Tampere, Finland",Finland,,,,,,,,0.0,0.0,0.0,
Some SonarQube issues have a significant but small effect on faults and changes. A large-scale empirical study,,Davide Taibi,Male,0.0,"Tampere University, Tampere, Finland",Finland,,,,,,,,1.0,0.0,1.0,
From API to NLI: A new interface for library reuse,API Learning; Library Reuse; Natural Language Interface; Code Synthesis; Software Development,Qi Shen,Male,0.0,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",China,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
From API to NLI: A new interface for library reuse,,Shijun Wu,Male,0.0,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",China,,,,,,,,0.0,0.0,0.0,
From API to NLI: A new interface for library reuse,,Yanzhen Zou,Female,1.0,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",China,,,,,,,,0.0,0.0,0.0,
From API to NLI: A new interface for library reuse,,Zixiao Zhu,Male,0.0,IBM Research,China,,,,,,,,0.0,0.0,0.0,
From API to NLI: A new interface for library reuse,,Bing Xie,Male,0.0,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",China,,,,,,,,1.0,0.0,1.0,
The influence of Technical Debt on software developer morale,Technical Debt Management; Software Developer Productivity; Developer Morale; Time Wastage in Software Development; Software Engineering Practices,Terese Besker,Female,1.0,"Chalmers University of Technology, HÃ¶rselgÃ¥ngen 4, 417 56 Gothenburg, Sweden",Sweden,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
The influence of Technical Debt on software developer morale,,Hadi Ghanbari,Male,0.0,"Aalto University, Ekonominaukio 1, 02510, Espoo, Finland",Finland,,,,,,,,0.0,0.0,0.0,
The influence of Technical Debt on software developer morale,,Antonio Martini,Male,0.0,"University of Oslo, Department of Informatics, GaustadallÃ©en 23B, 0373 Oslo, Norway",Norway,,,,,,,,0.0,0.0,0.0,
The influence of Technical Debt on software developer morale,,Jan Bosch,Male,0.0,"Chalmers University of Technology, HÃ¶rselgÃ¥ngen 4, 417 56 Gothenburg, Sweden",Sweden,,,,,,,,1.0,0.0,1.0,
"Uncertainty in information system development: Causes, effects, and coping mechanisms",Information System Development; Project Management; Uncertainty; Software Industry; Coping Mechanisms,Toni Taipalus,Male,0.0,University of Jyvaskyla,Finland,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
"Uncertainty in information system development: Causes, effects, and coping mechanisms",,Ville SeppÃ¤nen,Male,0.0,University of Jyvaskyla,Finland,,,,,,,,0.0,0.0,0.0,
"Uncertainty in information system development: Causes, effects, and coping mechanisms",,Maritta Pirhonen,Female,1.0,University of Jyvaskyla,Finland,,,,,,,,0.0,0.0,0.0,
Substructure similarity search for engineering service-based systems,Service-Oriented Architecture; Software Engineering; Substructure Similarity Search; Service-Based Systems; Feature-Based Method,Jintao Wu,Male,0.0,"Anhui University, School of Computer Science and Technology, Key Laboratory of Quantitative Remote Sensing in Agriculture","China, China",5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
Substructure similarity search for engineering service-based systems,,Xing Guo,Male,0.0,"Anhui University, School of Computer Science and Technology",China,,,,,,,,0.0,0.0,0.0,
Substructure similarity search for engineering service-based systems,,Guijun Yang,Male,0.0,"Key Laboratory of Quantitative Remote Sensing in Agriculture, Beijing Research Center for Information Technology in Agriculture",China,,,,,,,,0.0,0.0,0.0,
Substructure similarity search for engineering service-based systems,,Shuhui Wu,Female,1.0,"Hefei University of Technology, School of Management",China,,,,,,,,0.0,0.0,0.0,
Substructure similarity search for engineering service-based systems,,Jianguo Wu,Male,0.0,"Anhui University, School of Computer Science and Technology",China,,,,,,,,1.0,0.0,1.0,
GAP: Forecasting commit activity in git projects,Commit Forecasting; Survival Analysis; Git Activity; Open Source Software; Developer Abandonment,Alexandre Decan,Male,0.0,"Software Engineering Lab, University of Mons, Belgium",Belgium,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
GAP: Forecasting commit activity in git projects,,Eleni Constantinou,Female,1.0,"Software Engineering Lab, University of Mons, Belgium; Eindhoven University of Technology, Netherlands","Belgium, Netherlands",,,,,,,,0.0,0.0,0.0,
GAP: Forecasting commit activity in git projects,,Tom Mens,Male,0.0,"Software Engineering Lab, University of Mons, Belgium",Belgium,,,,,,,,1.0,0.0,1.0,
GAP: Forecasting commit activity in git projects,,Henrique Rocha,Male,0.0,"Lab On Reengineering (LORE - Ansymo), University of Antwerp, Belgium",Belgium,,,,,,,,0.0,0.0,0.0,
Inner source software development: Current thinking and an agenda for future research,Open Source Software; Inner Source Development; Systematic Literature Review; Management Challenges; Research Agenda,Henry Edison,Male,0.0,"Lero, National University of Ireland Galway",Ireland,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Inner source software development: Current thinking and an agenda for future research,,Noel Carroll,Male,0.0,"Lero, National University of Ireland Galway",Ireland,,,,,,,,0.0,0.0,0.0,
Inner source software development: Current thinking and an agenda for future research,,Lorraine Morgan,Female,1.0,"Lero, National University of Ireland Galway",Ireland,,,,,,,,0.0,0.0,0.0,
Inner source software development: Current thinking and an agenda for future research,,Kieran Conboy,Male,0.0,"Lero, National University of Ireland Galway",Ireland,,,,,,,,1.0,0.0,1.0,
Modeling programs hierarchically with stack-augmented LSTM,Programming Language Modeling; Neural Networks; Code Completion; Program Classification; Code Summarization,Fang Liu,Female,1.0,"Peking University, Beijing",China,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Modeling programs hierarchically with stack-augmented LSTM,,Lu Zhang,Male,0.0,"Peking University, Beijing",China,,,,,,,,0.0,0.0,0.0,
Modeling programs hierarchically with stack-augmented LSTM,,Zhi Jin,Male,0.0,"Peking University, Beijing",China,,,,,,,,1.0,0.0,1.0,
Cloud reliability and efficiency improvement via failure risk based proactive actions,Cloud Computing; Reliability Engineering; Failure Prediction; Proactive Failure Mitigation; Resource Optimization,Yuli Tian,Female,1.0,"School of Computer Science, Northwestern Polytechnical University; Ministry of Industry and Information Technology Key Laboratory of Big Data Storage and Management",China,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Cloud reliability and efficiency improvement via failure risk based proactive actions,,Jeff Tian,Male,0.0,"Department of Computer Science, Southern Methodist University; School of Informatics, Northwest University","USA, China",,,,,,,,1.0,0.0,1.0,
Cloud reliability and efficiency improvement via failure risk based proactive actions,,Ning Li,Male,0.0,"School of Computer Science, Northwestern Polytechnical University; Ministry of Industry and Information Technology Key Laboratory of Big Data Storage and Management",China,,,,,,,,0.0,0.0,0.0,
An Android application risk evaluation framework based on minimum permission set identification,Android Security; App Permissions; Overprivilege Detection; Static Analysis; Collaborative Filtering,Jianmao Xiao,Male,0.0,"College of Intelligence and Computing, Tianjin University, Tianjin, China",China,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
An Android application risk evaluation framework based on minimum permission set identification,,Shizhan Chen,Male,0.0,"College of Intelligence and Computing, Tianjin University, Tianjin, China",China,,,,,,,,0.0,0.0,0.0,
An Android application risk evaluation framework based on minimum permission set identification,,Qiang He,Male,0.0,"School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, VIC 3122, Australia",Australia,,,,,,,,0.0,0.0,0.0,
An Android application risk evaluation framework based on minimum permission set identification,,Zhiyong Feng,Male,0.0,"College of Intelligence and Computing, Tianjin University, Tianjin, China",China,,,,,,,,1.0,0.0,1.0,
An Android application risk evaluation framework based on minimum permission set identification,,Xiao Xue,Female,1.0,"College of Intelligence and Computing, Tianjin University, Tianjin, China",China,,,,,,,,0.0,0.0,0.0,
LAURA architecture: Towards a simpler way of building situation-aware and business-aware IoT applications,IoT; WSN; Business Process Management; Situation Awareness; Open-source Architecture,Sergio Teixeira,Male,0.0,"Universidade Federal do EspÃ­rito Santo (UFES), Centro UniversitÃ¡rio CatÃ³lico de VitÃ³ria (UCV)",Brazil,8.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
LAURA architecture: Towards a simpler way of building situation-aware and business-aware IoT applications,,Bruno Alves Agrizzi,Male,0.0,Universidade Federal do EspÃ­rito Santo (UFES),Brazil,,,,,,,,0.0,0.0,0.0,
LAURA architecture: Towards a simpler way of building situation-aware and business-aware IoT applications,,JosÃ© GonÃ§alves Pereira Filho,Male,0.0,Universidade Federal do EspÃ­rito Santo (UFES),Brazil,,,,,,,,1.0,0.0,1.0,
LAURA architecture: Towards a simpler way of building situation-aware and business-aware IoT applications,,Silvana Rossetto,Female,1.0,Universidade Federal do Rio de Janeiro (UFRJ),Brazil,,,,,,,,0.0,0.0,0.0,
LAURA architecture: Towards a simpler way of building situation-aware and business-aware IoT applications,,Isaac SimÃµes AraÃºjo Pereira,Male,0.0,Universidade Federal do EspÃ­rito Santo (UFES),Brazil,,,,,,,,0.0,0.0,0.0,
LAURA architecture: Towards a simpler way of building situation-aware and business-aware IoT applications,,PatrÃ­cia Dockhorn Costa,Female,1.0,Universidade Federal do EspÃ­rito Santo (UFES),Brazil,,,,,,,,0.0,0.0,0.0,
LAURA architecture: Towards a simpler way of building situation-aware and business-aware IoT applications,,Adriano Francisco Branco,Male,0.0,PontifÃ­cia Universidade CatÃ³lica do Rio de Janeiro (PUC-Rio),Brazil,,,,,,,,0.0,0.0,0.0,
LAURA architecture: Towards a simpler way of building situation-aware and business-aware IoT applications,,Ruan Rocha Martinelli,Male,0.0,Universidade Federal do EspÃ­rito Santo (UFES),Brazil,,,,,,,,0.0,0.0,0.0,
A model-driven approach for the development of native mobile applications focusing on the data layer,Mobile Application Development; Model-Driven Development; Data Layer Design; Offline Data Persistence; Cross-platform Development,Manuel NÃºÃ±ez,Male,0.0,"Department of Electronics and Computer Science Engineering (DEI), Catholic University â€Nuestra SeÃ±ora de la AsunciÃ³nâ€",Paraguay,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
A model-driven approach for the development of native mobile applications focusing on the data layer,,Daniel Bonhaure,Male,0.0,"Department of Electronics and Computer Science Engineering (DEI), Catholic University â€Nuestra SeÃ±ora de la AsunciÃ³nâ€",Paraguay,,,,,,,,0.0,0.0,0.0,
A model-driven approach for the development of native mobile applications focusing on the data layer,,MagalÃ­ GonzÃ¡lez,Female,1.0,"Department of Electronics and Computer Science Engineering (DEI), Catholic University â€Nuestra SeÃ±ora de la AsunciÃ³nâ€",Paraguay,,,,,,,,0.0,0.0,0.0,
A model-driven approach for the development of native mobile applications focusing on the data layer,,Luca Cernuzzi,Male,0.0,"Department of Electronics and Computer Science Engineering (DEI), Catholic University â€Nuestra SeÃ±ora de la AsunciÃ³nâ€",Paraguay,,,,,,,,1.0,0.0,1.0,
A framework for pervasive computing applications based on smart objects...,"Pervasive computing, Smart Objects, End-user development, System engineering, User experience",Christos Goumopoulos,Male,0.0,"Department of Information & Communication Systems Engineering, University of the Aegean; Computer Technology Institute and Press, Diophantus, Patras",Greece,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0
A framework for pervasive computing applications based on smart objects...,,Irene Mavrommati,Female,1.0,"Hellenic Open University, School of Applied Arts",Greece,,,,,,,,0.0,0.0,0.0,
ThermoSim: Deep learning based framework for modeling and simulation of thermal-aware resource management for cloud computing environments,"Cloud computing, Energy consumption, Temperature, Neural networks, Resource management",Sukhpal Singh Gill,Male,0.0,"Queen Mary University of London, Cloud Computing and Distributed Systems (CLOUDS) Laboratory, The University of Melbourne","UK, Australia",15.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0
ThermoSim: Deep learning based framework for modeling and simulation of thermal-aware resource management for cloud computing environments,,Shreshth Tuli,Male,0.0,Indian Institute of Technology (IIT) Delhi,India,,,,,,,,0.0,0.0,0.0,
ThermoSim: Deep learning based framework for modeling and simulation of thermal-aware resource management for cloud computing environments,,Adel Nadjaran Toosi,Male,0.0,Monash University,Australia,,,,,,,,1.0,0.0,1.0,
ThermoSim: Deep learning based framework for modeling and simulation of thermal-aware resource management for cloud computing environments,,Felix Cuadrado,Male,0.0,"Queen Mary University of London, Technical University of Madrid (UPM)","UK, Spain",,,,,,,,0.0,0.0,0.0,
ThermoSim: Deep learning based framework for modeling and simulation of thermal-aware resource management for cloud computing environments,,Peter Garraghan,Male,0.0,Lancaster University,UK,,,,,,,,1.0,0.0,1.0,
ThermoSim: Deep learning based framework for modeling and simulation of thermal-aware resource management for cloud computing environments,,Rami Bahsoon,Male,0.0,University of Birmingham,UK,,,,,,,,0.0,0.0,0.0,
ThermoSim: Deep learning based framework for modeling and simulation of thermal-aware resource management for cloud computing environments,,Hanan Lutfiyya,Female,1.0,University of Western Ontario,Canada,,,,,,,,0.0,0.0,0.0,
ThermoSim: Deep learning based framework for modeling and simulation of thermal-aware resource management for cloud computing environments,,Rizos Sakellariou,Male,0.0,University of Manchester,UK,,,,,,,,0.0,0.0,0.0,
ThermoSim: Deep learning based framework for modeling and simulation of thermal-aware resource management for cloud computing environments,,Omer Rana,Male,0.0,Cardiff University,UK,,,,,,,,1.0,0.0,1.0,
ThermoSim: Deep learning based framework for modeling and simulation of thermal-aware resource management for cloud computing environments,,Schahram Dustdar,Male,0.0,Vienna University of Technology,Austria,,,,,,,,0.0,0.0,0.0,
ThermoSim: Deep learning based framework for modeling and simulation of thermal-aware resource management for cloud computing environments,,Rajkumar Buyya,Male,0.0,"Cloud Computing and Distributed Systems (CLOUDS) Laboratory, The University of Melbourne",Australia,,,,,,,,1.0,0.0,1.0,
ThermoSim: Deep learning based framework for modeling and simulation of thermal-aware resource management for cloud computing environments,,Apostolos Ampatzoglou,Male,0.0,"Department of Applied Informatics, University of Macedonia",Greece,,,,,,,,0.0,0.0,0.0,
ThermoSim: Deep learning based framework for modeling and simulation of thermal-aware resource management for cloud computing environments,,Antonios Gkortzis,Male,0.0,"Department of Management Science and Technology, Athens University of Economics and Business",Greece,,,,,,,,0.0,0.0,0.0,
ThermoSim: Deep learning based framework for modeling and simulation of thermal-aware resource management for cloud computing environments,,Stamatia Bibi,Female,1.0,"Department of Informatics and Telecommunications, University of Western Macedonia",Greece,,,,,,,,0.0,0.0,0.0,
ThermoSim: Deep learning based framework for modeling and simulation of thermal-aware resource management for cloud computing environments,,Alexander Chatzigeorgiou,Male,0.0,"Department of Applied Informatics, University of Macedonia",Greece,,,,,,,,0.0,0.0,0.0,
Automated defect identification via path analysis-based features with transfer learning,"Code generation, defect identification, machine learning, transfer learning, software engineering",Yuwei Zhang,Male,0.0,"State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunications",China,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
Automated defect identification via path analysis-based features with transfer learning,,Dahai Jin,Male,0.0,"State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunications",China,,,,,,,,0.0,0.0,0.0,
Automated defect identification via path analysis-based features with transfer learning,,Ying Xing,Female,1.0,"Automation School, Beijing University of Posts and Telecommunications",China,,,,,,,,0.0,0.0,0.0,
Automated defect identification via path analysis-based features with transfer learning,,Yunzhan Gong,Male,0.0,"State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunications",China,,,,,,,,1.0,0.0,1.0,
A systematic mapping study of developer social network research,"Developer social networks, Software projects, Collaboration, Prediction systems, Community analysis",Steffen Herbold,Male,0.0,"Institute of Computer Science, University of Goettingen, Germany",Germany,4.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
A systematic mapping study of developer social network research,,Aynur Amirfallah,Female,1.0,"Institute of Computer Science, University of Goettingen, Germany",Germany,,,,,,,,0.0,0.0,0.0,
A systematic mapping study of developer social network research,,Fabian Trautsch,Male,0.0,"Institute of Computer Science, University of Goettingen, Germany",Germany,,,,,,,,0.0,0.0,0.0,
A systematic mapping study of developer social network research,,Jens Grabowski,Male,0.0,"Institute of Computer Science, University of Goettingen, Germany",Germany,,,,,,,,1.0,0.0,1.0,
"Error messages in relational database management systems: A comparison of effectiveness, usefulness, and user confidence","DBMS, Error messages, SQL, Usability, Effectiveness",Toni Taipalus,Male,0.0,"Faculty of Information Technology, University of Jyvaskyla, P.O. Box 35, FI-40014, Jyvaskyla, Finland",Finland,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0
"Error messages in relational database management systems: A comparison of effectiveness, usefulness, and user confidence",,Hilkka Grahn,Female,1.0,"Faculty of Information Technology, University of Jyvaskyla, P.O. Box 35, FI-40014, Jyvaskyla, Finland",Finland,,,,,,,,0.0,0.0,0.0,
