Paper Title,Study Domain Terms,Author Name,Gender,gender_annotation,Affiliation,UniqueInstituteCount,Country,UniqueCountryCount,Total Authors,Female Authors,Female_lead?,Male_lead?,local_Contribution?,national_collaboration?,International_collaboration?,FemaleLedLocalCollaboration,MaleLedLocalCollaboration,FemaleLedNationalCollaboration,MaleLedNationalCollaboration,FemaleLedInternationalCollaboration,MaleLedInternationalCollaboration
Implementation relations and testing for cyclic systems with refusals and discrete time,Cyclic System Modeling; Reactive Systems; Formal Methods; Implementation Relations; Discrete Time Testing,Raluca Lefticaru,Female,1,"Department of Computer Science, University of Bradford, Bradford, UK",3,UK,2,3,1,1,0,0,0,1,0,0,0,0,1,0
,,Robert M. Hierons,Male,0,"Department of Computer Science, The University of Sheffield, Sheffield, UK",,UK,,,,,,,,,0,0,0,0,0,0
,,Manuel NÃºÃ±ez,Male,0,"Design and Testing of Reliable Systems, Universidad Complutense de Madrid, Spain",,Spain,,,,,,,,,0,0,0,0,0,0
Imbalanced metric learning for crashing fault residence prediction,Software Fault Localization; Crash Data Analysis; Metric Learning; Imbalanced Learning; Debugging Automation,Zhou Xu,Male,0,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University, College of Computer Science, Chongqing University",5,China,1,7,3,0,1,0,1,0,0,0,0,1,0,0
,,Kunsong Zhao,Male,0,"School of Computer Science, Wuhan University",,China,,,,,,,,,0,0,0,0,0,0
,,Meng Yan,Male,0,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University, PengCheng Laboratory",,China,,,,,,,,,0,0,0,0,0,0
,,Peipei Yuan,Female,1,"School of Electronic Information and Communications, Huazhong University of Science and Technology",,China,,,,,,,,,0,0,0,0,0,0
,,Ling Xu,Female,1,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University",,China,,,,,,,,,0,0,0,0,0,0
,,Yan Lei,Male,0,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University",,China,,,,,,,,,0,0,0,0,0,0
,,Xiaohong Zhang,Female,1,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University",,China,,,,,,,,,0,0,0,0,0,0
Vendor Switching: Factors that matter when engineers onboard their own replacement,Offshore Outsourcing; Vendor Switching; Knowledge Transfer; Organizational Fit; Opportunistic Behavior,Darja Smite,Female,1,"Blekinge Institute of Technology, Karlskrona, Sweden",2,Sweden,2,2,1,1,0,0,0,1,0,0,0,0,1,0
,,Nils Brede Moe,Male,0,"SINTEF Digital, Trondheim, Norway",,Norway,,,,,,,,,0,0,0,0,0,0
Understanding coordination in global software engineering: A mixed-methods study on the use of meetings and Slack,Global Software Engineering; Team Coordination; Collaboration Tools; Distributed Teams; Meetings Analysis,Viktoria Stray,Female,1,"University of Oslo, Oslo, Norway; SINTEF Digital, Trondheim, Norway",2,Norway,1,2,1,1,0,0,1,0,0,0,1,0,0,0
,,Nils Brede Moe,Male,0,"SINTEF Digital, Trondheim, Norway",,Norway,,,,,,,,,0,0,0,0,0,0
Examining the reuse potentials of IoT application frameworks,IoT Systems; Framework Reusability; Component Reuse; Device Management; Software Quality,Paraskevi Smiari,Female,1,"University of Western Macedonia, Greece",2,Greece,2,3,2,1,0,0,0,1,0,0,0,0,1,0
,,Stamatia Bibi,Female,1,"University of Western Macedonia, Greece",,Greece,,,,,,,,,0,0,0,0,0,0
,,Daniel Feitosa,Male,0,"Data Research Centre, University of Groningen, The Netherlands",,The Netherlands,,,,,,,,,0,0,0,0,0,0
Some SonarQube issues have a significant but small effect on faults and changes. A large-scale empirical study,SonarQube Issues; Fault-proneness; Code Changes; Software Quality; Technical Debt,Valentina Lenarduzzi,Female,1,"LUT University, Lahti, Finland",2,Finland,1,3,2,1,0,0,1,0,0,0,1,0,0,0
,,Nyyti SaarimÃ¤ki,Female,1,"Tampere University, Tampere, Finland",,Finland,,,,,,,,,0,0,0,0,0,0
,,Davide Taibi,Male,0,"Tampere University, Tampere, Finland",,Finland,,,,,,,,,0,0,0,0,0,0
"On the generation, structure, and semantics of grammar patterns in source code identifiers",Code Patterns; Identifier Naming; Source Code Analysis; Grammar Semantics; POS Tagging,Christian D. Newman,Male,0,"Rochester Institute of Technology, Rochester, NY, USA",4,USA,2,7,2,0,1,0,0,1,0,0,0,0,0,1
,,Reem S. AlSuhaibani,Female,1,"Kent State University, Kent, OH, USA; Prince Sultan University, Riyadh, Saudi Arabia",,"USA, Saudi Arabia",,,,,,,,,0,0,0,0,0,0
,,Michael J. Decker,Male,0,"Bowling Green State University, Bowling Green, OH, USA",,USA,,,,,,,,,0,0,0,0,0,0
,,Anthony Peruma,Male,0,"Rochester Institute of Technology, Rochester, NY, USA",,USA,,,,,,,,,0,0,0,0,0,0
,,Dishant Kaushik,Male,0,"Rochester Institute of Technology, Rochester, NY, USA",,USA,,,,,,,,,0,0,0,0,0,0
,,Mohamed Wiem Mkaouer,Male,0,"Rochester Institute of Technology, Rochester, NY, USA",,USA,,,,,,,,,0,0,0,0,0,0
,,Emily Hill,Female,1,"Drew University, Madison, NJ, USA",,USA,,,,,,,,,0,0,0,0,0,0
A comparison of quality flaws and technical debt in model transformation specifications,Model Transformations; Technical Debt; Model-Driven Engineering; Software Quality; Quality Flaws Analysis,Shekoufeh Kolahdouz-Rahimi,Female,1,"MDSE Research Group, Dept. of Software Engineering, University of Isfahan",3,Iran,3,5,2,1,0,0,0,1,0,0,0,0,1,0
,,Kevin Lano,Male,0,"Dept. of Informatics, Kingâ€™s College London",,UK,,,,,,,,,0,0,0,0,0,0
,,Mohammadreza Sharbaf,Male,0,"MDSE Research Group, Dept. of Software Engineering, University of Isfahan",,Iran,,,,,,,,,0,0,0,0,0,0
,,Meysam Karimi,Male,0,"MDSE Research Group, Dept. of Software Engineering, University of Isfahan",,Iran,,,,,,,,,0,0,0,0,0,0
,,Hessa Alfraihi,Female,1,"Dept. of Information Systems, Princess Nourah bint Abdulrahman University",,Saudi Arabia,,,,,,,,,0,0,0,0,0,0
From API to NLI: A new interface for library reuse,API Learning; Library Reuse; Natural Language Interface; Code Synthesis; Software Development,Qi Shen,Male,0,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",2,China,1,5,1,0,1,0,1,0,0,0,0,1,0,0
,,Shijun Wu,Male,0,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",,China,,,,,,,,,0,0,0,0,0,0
,,Yanzhen Zou,Female,1,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",,China,,,,,,,,,0,0,0,0,0,0
,,Zixiao Zhu,Male,0,IBM Research,,China,,,,,,,,,0,0,0,0,0,0
,,Bing Xie,Male,0,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",,China,,,,,,,,,0,0,0,0,0,0
Evaluating and strategizing the onboarding of software developers in large-scale globally distributed projects,Onboarding Strategies; Large-scale Projects; Distributed Teams; Mentorship in Software Engineering; Business Process Modeling,Ricardo Britto,Male,0,"Ericsson AB, Ã–landsgatan, 371 73, Karlskrona, Sweden; Department of Software Engineering, Blekinge Institute of Technology, Karlskrona, Sweden",3,Sweden,1,4,1,0,1,0,1,0,0,0,0,1,0,0
,,Darja Smite,Female,1,"Department of Software Engineering, Blekinge Institute of Technology, Karlskrona, Sweden",,Sweden,,,,,,,,,0,0,0,0,0,0
,,Lars-Ola Damm,Male,0,"Ericsson AB, Ã–landsgatan, 371 73, Karlskrona, Sweden",,Sweden,,,,,,,,,0,0,0,0,0,0
,,JÃ¼rgen BÃ¶rstler,Male,0,"Department of Software Engineering, Blekinge Institute of Technology, Karlskrona, Sweden",,Sweden,,,,,,,,,0,0,0,0,0,0
CODE reuse in practice: Benefiting or harming technical debt,Software Reuse; Technical Debt; Software Engineering; Case Study; OSS Systems,Daniel Feitosa,Male,0,"Data Research Centre, University of Groningen, Groningen, the Netherlands",4,Netherlands,2,5,1,0,1,0,0,1,0,0,0,0,0,1
,,Apostolos Ampatzoglou,Male,0,"Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece",,Greece,,,,,,,,,0,0,0,0,0,0
,,Antonios Gkortzis,Male,0,"Department of Management Science and Technology, Athens University of Economics and Business, Greece",,Greece,,,,,,,,,0,0,0,0,0,0
,,Stamatia Bibi,Female,1,"Department of Informatics and Telecommunications, University of Western Macedonia, Kozani, Greece",,Greece,,,,,,,,,0,0,0,0,0,0
,,Alexander Chatzigeorgiou,Male,0,"Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece",,Greece,,,,,,,,,0,0,0,0,0,0
SEET: Symbolic Execution of ETL Transformations,Model Transformations; Symbolic Execution; ETL Errors; Constraint Solvers; Eclipse Integration,Banafsheh Azizi,Female,1,"MDSE Research Group, Department of Software Engineering, University of Isfahan",1,Iran,1,3,2,1,0,1,1,0,1,0,1,0,0,0
,,Bahman Zamani,Male,0,"MDSE Research Group, Department of Software Engineering, University of Isfahan",,Iran,,,,,,,,,0,0,0,0,0,0
,,Shekoufeh Kolahdouz-Rahimi,Female,1,"MDSE Research Group, Department of Software Engineering, University of Isfahan",,Iran,,,,,,,,,0,0,0,0,0,0
The influence of Technical Debt on software developer morale,Technical Debt Management; Software Developer Productivity; Developer Morale; Time Wastage in Software Development; Software Engineering Practices,Terese Besker,Female,1,"Chalmers University of Technology, HÃ¶rselgÃ¥ngen 4, 417 56 Gothenburg, Sweden",3,Sweden,3,4,1,1,0,0,0,1,0,0,0,0,1,0
,,Hadi Ghanbari,Male,0,"Aalto University, Ekonominaukio 1, 02510, Espoo, Finland",,Finland,,,,,,,,,0,0,0,0,0,0
,,Antonio Martini,Male,0,"University of Oslo, Department of Informatics, GaustadallÃ©en 23B, 0373 Oslo, Norway",,Norway,,,,,,,,,0,0,0,0,0,0
,,Jan Bosch,Male,0,"Chalmers University of Technology, HÃ¶rselgÃ¥ngen 4, 417 56 Gothenburg, Sweden",,Sweden,,,,,,,,,0,0,0,0,0,0
"Uncertainty in information system development: Causes, effects, and coping mechanisms",Information System Development; Project Management; Uncertainty; Software Industry; Coping Mechanisms,Toni Taipalus,Male,0,University of Jyvaskyla,1,Finland,1,3,1,0,1,1,1,0,0,1,0,1,0,0
,,Ville SeppÃ¤nen,Male,0,University of Jyvaskyla,,Finland,,,,,,,,,0,0,0,0,0,0
,,Maritta Pirhonen,Female,1,University of Jyvaskyla,,Finland,,,,,,,,,0,0,0,0,0,0
Achieving agility and quality in product development - an empirical study of hardware startups,Agile Development; Hardware Startups; Product Quality; Technical Debt; Evolutionary Prototyping,VebjÃ¸rn Berg,Male,0,Norwegian University of Science and Technology,3,Norway,2,5,1,0,1,0,0,1,0,0,0,0,0,1
,,JÃ¸rgen Birkeland,Male,0,Norwegian University of Science and Technology,,Norway,,,,,,,,,0,0,0,0,0,0
,,Anh Nguyen-Duc,Male,0,University of South-Eastern Norway,,Norway,,,,,,,,,0,0,0,0,0,0
,,Ilias O. Pappas,Male,0,"Norwegian University of Science and Technology, University of Agder",,"Norway, Norway",,,,,,,,,0,0,0,0,0,0
,,Letizia Jaccheri,Female,1,Norwegian University of Science and Technology,,Norway,,,,,,,,,0,0,0,0,0,0
Integrating GitLab metrics into coursework consultation sessions in a software engineering course,Software Engineering Education; GitLab Metrics; Collaborative Coding; Student Project Assessment; Educational Software Development Tools,Sukru Eraslan,Male,0,"Department of Computer Science, University of Manchester",2,United Kingdom,1,7,3,0,1,0,1,0,0,0,0,1,0,0
,,Kamilla Kopec-Harding,Female,1,"Research IT, University of Manchester",,United Kingdom,,,,,,,,,0,0,0,0,0,0
,,Caroline Jay,Female,1,"Department of Computer Science, University of Manchester",,United Kingdom,,,,,,,,,0,0,0,0,0,0
,,Suzanne M. Embury,Female,1,"Department of Computer Science, University of Manchester",,United Kingdom,,,,,,,,,0,0,0,0,0,0
,,Robert Haines,Male,0,"Research IT, University of Manchester",,United Kingdom,,,,,,,,,0,0,0,0,0,0
,,Julio CÃ©sar CortÃ©s RÃ­os,Male,0,"Department of Computer Science, University of Manchester",,United Kingdom,,,,,,,,,0,0,0,0,0,0
,,Peter Crowther,Male,0,"Research IT, University of Manchester",,United Kingdom,,,,,,,,,0,0,0,0,0,0
Substructure similarity search for engineering service-based systems,Service-Oriented Architecture; Software Engineering; Substructure Similarity Search; Service-Based Systems; Feature-Based Method,Jintao Wu,Male,0,"Anhui University, School of Computer Science and Technology, Key Laboratory of Quantitative Remote Sensing in Agriculture",4,"China, China",2,5,1,0,1,0,0,1,0,0,0,0,0,1
,,Xing Guo,Male,0,"Anhui University, School of Computer Science and Technology",,China,,,,,,,,,0,0,0,0,0,0
,,Guijun Yang,Male,0,"Key Laboratory of Quantitative Remote Sensing in Agriculture, Beijing Research Center for Information Technology in Agriculture",,China,,,,,,,,,0,0,0,0,0,0
,,Shuhui Wu,Female,1,"Hefei University of Technology, School of Management",,China,,,,,,,,,0,0,0,0,0,0
,,Jianguo Wu,Male,0,"Anhui University, School of Computer Science and Technology",,China,,,,,,,,,0,0,0,0,0,0
Relation-based test case prioritization for regression testing,Regression Testing; Fault Detection; Test Case Prioritization; Dynamic Call Sequences; Bug Detection,Jianlei Chi,Male,0,"Ministry of Education Key Lab for Intelligent Network and Network Security, Xiâ€™an Jiaotong University",3,China,2,7,3,0,1,0,0,1,0,0,0,0,0,1
,,Yu Qu,Male,0,"Department of Computer Science and Engineering, University of California, Riverside",,USA,,,,,,,,,0,0,0,0,0,0
,,Qinghua Zheng,Male,0,"Ministry of Education Key Lab for Intelligent Network and Network Security, Xiâ€™an Jiaotong University",,China,,,,,,,,,0,0,0,0,0,0
,,Zijiang Yang,Male,0,"Department of Computer Science, Western Michigan University",,USA,,,,,,,,,0,0,0,0,0,0
,,Wuxia Jin,Female,1,"Ministry of Education Key Lab for Intelligent Network and Network Security, Xiâ€™an Jiaotong University",,China,,,,,,,,,0,0,0,0,0,0
,,Di Cui,Female,1,"Ministry of Education Key Lab for Intelligent Network and Network Security, Xiâ€™an Jiaotong University",,China,,,,,,,,,0,0,0,0,0,0
,,Ting Liu,Female,1,"Ministry of Education Key Lab for Intelligent Network and Network Security, Xiâ€™an Jiaotong University",,China,,,,,,,,,0,0,0,0,0,0
GAP: Forecasting commit activity in git projects,Commit Forecasting; Survival Analysis; Git Activity; Open Source Software; Developer Abandonment,Alexandre Decan,Male,0,"Software Engineering Lab, University of Mons, Belgium",3,Belgium,2,4,1,0,1,0,0,1,0,0,0,0,0,1
,,Eleni Constantinou,Female,1,"Software Engineering Lab, University of Mons, Belgium; Eindhoven University of Technology, Netherlands",,"Belgium, Netherlands",,,,,,,,,0,0,0,0,0,0
,,Tom Mens,Male,0,"Software Engineering Lab, University of Mons, Belgium",,Belgium,,,,,,,,,0,0,0,0,0,0
,,Henrique Rocha,Male,0,"Lab On Reengineering (LORE - Ansymo), University of Antwerp, Belgium",,Belgium,,,,,,,,,0,0,0,0,0,0
Systematic literature review of empirical studies on mental representations of programs,Program Comprehension; Mental Representations; Empirical Studies in Programming; Programming Languages; Psychology of Programming,Leah Bidlake,Female,1,"Faculty of Computer Science, University of New Brunswick, 550 Windsor St, Fredericton, NB, Canada",2,Canada,1,3,1,1,0,0,1,0,0,0,1,0,0,0
,,Eric Aubanel,Male,0,"Faculty of Computer Science, University of New Brunswick, 550 Windsor St, Fredericton, NB, Canada",,Canada,,,,,,,,,0,0,0,0,0,0
,,Daniel Voyer,Male,0,"Department of Psychology, University of New Brunswick, Canada",,Canada,,,,,,,,,0,0,0,0,0,0
Inner source software development: Current thinking and an agenda for future research,Open Source Software; Inner Source Development; Systematic Literature Review; Management Challenges; Research Agenda,Henry Edison,Male,0,"Lero, National University of Ireland Galway",1,Ireland,1,4,1,0,1,1,1,0,0,1,0,1,0,0
,,Noel Carroll,Male,0,"Lero, National University of Ireland Galway",,Ireland,,,,,,,,,0,0,0,0,0,0
,,Lorraine Morgan,Female,1,"Lero, National University of Ireland Galway",,Ireland,,,,,,,,,0,0,0,0,0,0
,,Kieran Conboy,Male,0,"Lero, National University of Ireland Galway",,Ireland,,,,,,,,,0,0,0,0,0,0
Modeling programs hierarchically with stack-augmented LSTM,Programming Language Modeling; Neural Networks; Code Completion; Program Classification; Code Summarization,Fang Liu,Female,1,"Peking University, Beijing",1,China,1,3,1,1,0,1,1,0,1,0,1,0,0,0
,,Lu Zhang,Male,0,"Peking University, Beijing",,China,,,,,,,,,0,0,0,0,0,0
,,Zhi Jin,Male,0,"Peking University, Beijing",,China,,,,,,,,,0,0,0,0,0,0
Cloud reliability and efficiency improvement via failure risk based proactive actions,Cloud Computing; Reliability Engineering; Failure Prediction; Proactive Failure Mitigation; Resource Optimization,Yuli Tian,Female,1,"School of Computer Science, Northwestern Polytechnical University; Ministry of Industry and Information Technology Key Laboratory of Big Data Storage and Management",2,China,2,3,1,1,0,0,0,1,0,0,0,0,1,0
,,Jeff Tian,Male,0,"Department of Computer Science, Southern Methodist University; School of Informatics, Northwest University",,"USA, China",,,,,,,,,0,0,0,0,0,0
,,Ning Li,Male,0,"School of Computer Science, Northwestern Polytechnical University; Ministry of Industry and Information Technology Key Laboratory of Big Data Storage and Management",,China,,,,,,,,,0,0,0,0,0,0
Cost-efficient dynamic scheduling of big data applications in apache spark on cloud,Cloud Computing; Big Data Processing; Job Scheduling; Resource Optimization; Apache Spark,Muhammed Tawfiqul Islam,Male,0,"Cloud Computing and Distributed Systems (CLOUDS) Laboratory, School of Computing and Information Systems, The University of Melbourne",2,Australia,2,4,1,0,1,0,0,1,0,0,0,0,0,1
,,Satish Narayana Srirama,Male,0,"Cloud Computing and Distributed Systems (CLOUDS) Laboratory, The University of Melbourne; Mobile & Cloud Lab, Institute of Computer Science, University of Tartu",,"Australia, Estonia",,,,,,,,,0,0,0,0,0,0
,,Shanika Karunasekera,Female,1,"Cloud Computing and Distributed Systems (CLOUDS) Laboratory, School of Computing and Information Systems, The University of Melbourne",,Australia,,,,,,,,,0,0,0,0,0,0
,,Rajkumar Buyya,Male,0,"Cloud Computing and Distributed Systems (CLOUDS) Laboratory, School of Computing and Information Systems, The University of Melbourne",,Australia,,,,,,,,,0,0,0,0,0,0
An Android application risk evaluation framework based on minimum permission set identification,Android Security; App Permissions; Overprivilege Detection; Static Analysis; Collaborative Filtering,Jianmao Xiao,Male,0,"College of Intelligence and Computing, Tianjin University, Tianjin, China",2,China,2,5,1,0,1,0,0,1,0,0,0,0,0,1
,,Shizhan Chen,Male,0,"College of Intelligence and Computing, Tianjin University, Tianjin, China",,China,,,,,,,,,0,0,0,0,0,0
,,Qiang He,Male,0,"School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, VIC 3122, Australia",,Australia,,,,,,,,,0,0,0,0,0,0
