Paper Title,Study Domain Terms,Total Authors,Female Authors,lead?,local_Contribution?,national_collaboration?,International_collaboration?,Author Name,Gender,Affiliation,Country,Conceptualization,Data Curation,Formal Analysis,Funding Acquisition,Investigation,Methodology,Project Administration,Resources,Software,Supervision,Validation,Visualization,Writing – Original Draft,Writing – Review & Editing
,,,,,,,,Pandaree Chandra,Female,"Faculty of Information and Communication Technology, Mahidol University, Thailand",Thailand,0,1,0,0,1,0,0,0,1,0,0,1,1,1
,,,,,,,,Chaiyong Ragkhitwetsagul,Male,"Faculty of Information and Communication Technology, Mahidol University, Thailand",Thailand,0,0,0,0,1,0,0,0,0,0,0,1,1,1
,,,,,,,,Rungroj Maipradit,Male,"Nara Institute of Science and Technology, Japan",Japan,1,1,0,0,1,0,0,0,0,0,0,1,0,0
,,,,,,,,Hideaki Hata,Male,"Shinshu University, Japan",Japan,1,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,,,,,,Thanwadee Sunetnanta,Female,"Faculty of Information and Communication Technology, Mahidol University, Thailand",Thailand,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,,,,,,Kenichi Matsumoto,Male,"Nara Institute of Science and Technology, Japan",Japan,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Continuous verification with acknowledged MAPE-K pattern and time logic-based slicing: A platooning system of systems case study,"SoS, platooning, control loop, resilience, verification",2,1,1,0,1,0,Jiyoung Song,Female,"Computer Engineering, Hannam University, 70 Hannamro, Daedeok-Gu, Daejeon, 34430",Republic of Korea,1,1,1,0,1,1,0,1,1,0,1,1,1,1
,,,,,,,,Doo-Hwan Bae,Male,"School of Computing, Korea Advanced Institute of Science and Technology (KAIST), 291 Daehak-ro, Yuseong-gu, Daejeon, 34141",Republic of Korea,1,0,0,1,0,0,1,0,0,1,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,
IT managers’ perspective on Technical Debt Management,"software, engineering, management, IT, research",2,2,1,0,0,1,Marion Wiese,Female,"Universität Hamburg, Department of Informatics, Vogt-Kölln-Str. 30, 22527 Hamburg, Germany",Germany,1,1,1,0,1,1,1,1,0,0,0,1,1,1
,,,,,,,,Klara Borowa,Female,"Warsaw University of Technology, Institute of Control and Computation Engineering, ul. Nowowiejska 15/19, 00-665 Warsaw, Poland",Poland,1,1,1,0,1,1,0,1,0,0,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,
Mapping the structure and evolution of software testing research over the past three decades,"Software testing, Research topics, Co-word analysis, Automated test generation, Machine learning",3,0,0,0,0,1,Alireza Salahirad,Male,"Department of Computer Science & Engineering, University of South Carolina, USA",USA,1,1,0,0,1,0,0,0,1,0,0,1,1,0
,,,,,,,,Gregory Gay,Male,"Department of Computer Science and Engineering, Chalmers — University of Gothenburg, Sweden",Sweden,1,1,1,0,1,0,1,0,0,1,0,0,1,1
,,,,,,,,Ehsan Mohammadi,Male,"School of Information Science, University of South Carolina, USA",USA,0,0,0,0,0,1,0,0,0,1,1,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Generic and industrial scale many-criteria regression test selection,"Regression testing, Test case selection, Multi-criteria optimization, Heuristic algorithms, Software testing",3,0,0,0,0,1,Felix Dobslaw,Male,"Department of Computer and System Sciences, Mid Sweden University, Östersund, Sweden",Sweden,1,1,0,0,1,1,0,0,1,0,1,1,1,1
,,,,,,,,Ruiyuan Wan,Male,"Huawei Cloud Computing Technologies Co., Ltd, Beijing, China",China,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,Yuechan Hao,Male,"Huawei Cloud Computing Technologies Co., Ltd, Beijing, China",China,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Enhancing Ethereum smart-contracts static analysis by computing a precise Control-Flow Graph of Ethereum bytecode,"Ethereum, Smart contracts, Static analysis, Control-Flow Graph, Blockchain",6,1,0,1,1,0,Michele Pasqua,Male,"University of Verona, Strada le Grazie 15, Verona 37134, Verona, Italy",Italy,0,0,1,0,1,0,0,0,0,0,1,0,1,0
,,,,,,,,Andrea Benini,Male,"University of Verona, Strada le Grazie 15, Verona 37134, Verona, Italy",Italy,0,0,0,0,1,0,0,0,1,0,0,0,0,0
,,,,,,,,Filippo Contro,Male,"University of Verona, Strada le Grazie 15, Verona 37134, Verona, Italy",Italy,0,0,0,0,1,0,0,0,1,0,0,0,0,0
,,,,,,,,Marco Crosara,Male,"University of Verona, Strada le Grazie 15, Verona 37134, Verona, Italy",Italy,0,0,0,0,1,0,0,0,1,0,0,0,0,0
,,,,,,,,Mila Dalla Preda,Female,"University of Verona, Strada le Grazie 15, Verona 37134, Verona, Italy",Italy,1,0,0,0,0,0,0,1,0,0,0,0,0,0
,,,,,,,,Mariano Ceccato,Male,"University of Verona, Strada le Grazie 15, Verona 37134, Verona, Italy",Italy,0,0,0,0,1,0,0,0,0,1,1,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
VsusFL: Variable-suspiciousness-based Fault Localization for novice programs,"programming, fault localization, novice programs, debugging, empirical studies",7,1,0,0,1,0,Zheng Li,Male,"College of Information Science and Technology, Beijing University of Chemical Technology",China,0,0,0,1,0,0,1,0,0,1,0,0,1,1
,,,,,,,,Shumei Wu,Female,"College of Information Science and Technology, Beijing University of Chemical Technology",China,0,1,0,0,0,1,0,0,1,0,0,1,1,1
,,,,,,,,Yong Liu,Male,"College of Information Science and Technology, Beijing University of Chemical Technology",China,0,0,0,1,0,0,0,0,0,1,0,0,1,1
,,,,,,,,Jitao Shen,Male,"College of Information Science and Technology, Beijing University of Chemical Technology",China,0,0,0,0,0,1,0,0,1,0,0,1,0,0
,,,,,,,,Yonghao Wu,Male,"College of Information Science and Technology, Beijing University of Chemical Technology",China,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,,,,,,,,Zhanwen Zhang,Male,"College of Information Science and Technology, Beijing University of Chemical Technology",China,0,1,0,0,0,1,0,0,0,0,0,0,0,0
,,,,,,,,Xiang Chen,Male,"School of Information Science and Technology, Nantong University",China,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
Behaviour driven development: A systematic mapping study,"software, research, BDD, development, engineering",2,1,0,1,1,0,Leonard Peter Binamungu,Male,"Department of Computer Science and Engineering, College of Information and Communication Technologies, University of Dar es Salaam",Tanzania,1,0,1,0,1,1,0,0,0,0,0,1,1,1
,,,,,,,,Salome Maro,Female,"Department of Computer Science and Engineering, College of Information and Communication Technologies, University of Dar es Salaam",Tanzania,1,0,1,0,1,1,0,0,0,0,0,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,
A systematic mapping study on group work research in computing education projects,"Group work, Computing education, Software engineering, Project-based learning, Teamwork skills",2,0,0,1,1,0,Mikko Kokkoniemi,Male,"Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland",Finland,1,0,0,0,1,1,0,0,1,0,0,1,1,1
,,,,,,,,Ville Isomöttönen,Male,"Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland",Finland,1,0,0,0,1,1,0,0,0,0,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Empathy models and software engineering — A preliminary analysis and taxonomy,"software engineering, empathy, psychology, sociology, healthcare",4,2,1,1,1,0,Hashini Gunatilake,Female,"Department of Software Systems and Cybersecurity, Faculty of Information Technology, Monash University, Melbourne, Australia",Australia,1,0,0,0,0,0,0,0,0,0,0,0,1,1
,,,,,,,,John Grundy,Male,"Department of Software Systems and Cybersecurity, Faculty of Information Technology, Monash University, Melbourne, Australia",Australia,1,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,Ingo Mueller,Male,"Department of Software Systems and Cybersecurity, Faculty of Information Technology, Monash University, Melbourne, Australia",Australia,1,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,Rashina Hoda,Female,"Department of Software Systems and Cybersecurity, Faculty of Information Technology, Monash University, Melbourne, Australia",Australia,1,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
Boosting multi-objective just-in-time software defect prediction by fusing expert metrics and semantic metrics,"software, prediction, code, metrics, learning",5,1,0,0,1,0,Xiang Chen,Male,"School of Information Science and Technology, Nantong University, Nantong, China",China,1,0,0,0,0,1,0,0,1,1,0,0,0,1
,,,,,,,,Hongling Xia,Female,"School of Information Science and Technology, Nantong University, Nantong, China",China,0,1,0,0,0,0,0,0,1,0,1,0,0,0
,,,,,,,,Wenlong Pei,Male,"School of Information Science and Technology, Nantong University, Nantong, China",China,0,1,0,0,0,0,0,0,1,0,1,0,0,0
,,,,,,,,Chao Ni,Male,"School of Software Technology, Zhejiang University, Hangzhou, China",China,0,1,0,0,0,0,0,0,1,0,0,0,0,1
,,,,,,,,Ke Liu,Male,"School of Information Science and Technology, Nantong University, Nantong, China",China,0,0,0,0,0,0,0,0,1,0,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
TitleGen-FL: Quality prediction-based filter for automated issue title generation,"Automated issue title generation, Quality prediction, Software engineering, Deep learning, Information retrieval",8,1,0,0,1,0,Hao Lin,Male,"School of Information Science and Technology, Nantong University, Nantong, China",China,0,1,0,0,0,0,0,0,1,0,0,0,1,0
,,,,,,,,Xiang Chen,Male,"School of Information Science and Technology, Nantong University, Nantong, China, Key Laboratory of Safety-Critical Software (Nanjing University of Aeronautics and Astronautics), Ministry of Industry and Information Technology, Nanjing, China",China,1,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,,,,,,Xuejiao Chen,Female,"School of Information Science and Technology, Nantong University, Nantong, China",China,0,1,0,0,0,0,0,0,1,0,1,0,0,0
,,,,,,,,Zhanqi Cui,Male,"Computer School, Beijing Information Science and Technology University, Beijing, China",China,1,0,0,0,0,1,0,0,0,0,0,0,0,1
,,,,,,,,Yun Miao,Male,"School of Information Science and Technology, Nantong University, Nantong, China",China,0,0,0,0,0,0,0,0,1,0,1,0,0,0
,,,,,,,,Shan Zhou,Male,"Technology and Engineering Center for Space Utilization, Chinese Academy of Sciences, Beijing, China",China,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,Jianmin Wang,Male,"Technology and Engineering Center for Space Utilization, Chinese Academy of Sciences, Beijing, China",China,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,Zhan Su,Male,"School of Information Science and Technology, Nantong University, Nantong, China",China,0,0,0,0,0,0,0,0,1,0,1,0,0,0
BiTCN_DRSN: An effective software vulnerability detection model based on an improved temporal convolutional network,"Software vulnerabilities, Deep learning, Temporal Convolutional Networks, Bidirectional networks, Neural networks",6,0,0,0,1,0,Jinfu Chen,Male,"School of Computer Science and Communication Engineering, Jiangsu University, Jiangsu Key Laboratory of Security Technology for Industrial Cyberspace, China",China,0,0,0,0,1,1,0,0,0,0,0,0,1,0
,,,,,,,,Wei Lin,Male,"School of Computer Science and Communication Engineering, Jiangsu University, Jiangsu Key Laboratory of Security Technology for Industrial Cyberspace, China",China,0,0,0,0,0,1,0,0,0,0,0,0,1,0
,,,,,,,,Saihua Cai,Male,"School of Computer Science and Communication Engineering, Jiangsu University, Jiangsu Key Laboratory of Security Technology for Industrial Cyberspace, China",China,0,0,0,0,0,0,0,0,1,1,0,0,0,1
,,,,,,,,Yemin Yin,Male,"School of Computer Science and Communication Engineering, Jiangsu University, Jiangsu Key Laboratory of Security Technology for Industrial Cyberspace, China",China,0,1,0,0,0,0,0,0,0,0,0,1,0,0
,,,,,,,,Haibo Chen,Male,"School of Computer Science and Communication Engineering, Jiangsu University, Jiangsu Key Laboratory of Security Technology for Industrial Cyberspace, China",China,0,1,0,0,1,0,0,0,0,0,0,0,0,0
,,,,,,,,Dave Towey,Male,"School of Computer Science, University of Nottingham Ningbo China",China,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Software architecture for quantum computing systems — A systematic review,"Quantum computing, Software architecture, Systematic literature review, Architectural processes, Modelling notations",7,0,0,0,0,1,Arif Ali Khan,Male,"M3S Empirical Software Engineering Research Unit, University of Oulu, 90014 Oulu, Finland",Finland,1,0,0,0,1,0,1,0,0,0,0,1,1,1
,,,,,,,,Aakash Ahmad,Male,"School of Computing and Communications, Lancaster University, Leipzig, Germany",Germany,1,0,0,0,1,0,0,0,0,0,0,1,1,0
,,,,,,,,Muhammad Waseem,Male,"School of Computer Science, Wuhan University, Wuhan, China",China,1,0,0,0,1,0,0,0,0,0,0,1,1,0
,,,,,,,,Peng Liang,Male,"School of Computer Science, Wuhan University, Wuhan, China",China,1,0,0,0,1,0,0,0,0,1,0,0,1,1
,,,,,,,,Mahdi Fahmideh,Male,"School of Business at University of Southern Queensland, Queensland, Australia",Australia,1,0,0,0,1,0,0,0,0,0,0,0,0,1
,,,,,,,,Tommi Mikkonen,Male,"Faculty of Information Technology and Communication Sciences, Tampere University, 33014 Tampere, Finland",Finland,1,0,0,0,1,0,0,0,0,0,0,0,0,1
,,,,,,,,Pekka Abrahamsson,Male,"Faculty of Information Technology and Communication Sciences, Tampere University, 33014 Tampere, Finland",Finland,1,0,0,0,1,0,0,1,0,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
Psychometric instruments in software engineering research on personality: Status quo after fifty years,"Software Engineering, Psychometrics, Personality",4,0,0,0,0,1,Danilo Almeida Felipe,Male,"Department of Informatics, Pontifical Catholic University of Rio de Janeiro (PUC-Rio)",Brazil,1,1,0,0,1,1,0,0,0,0,1,1,1,1
,,,,,,,,Marcos Kalinowski,Male,"Department of Informatics, Pontifical Catholic University of Rio de Janeiro (PUC-Rio)",Brazil,1,1,0,0,1,1,0,0,0,1,1,1,1,1
,,,,,,,,Daniel Graziotin,Male,"University of Stuttgart, Institute of Software Engineering",Germany,0,0,0,0,0,0,0,0,0,0,1,1,1,1
,,,,,,,,Jean Carlos Natividade,Male,"Department of Psychology, Pontifical Catholic University of Rio de Janeiro (PUC-Rio)",Brazil,0,0,0,0,0,0,0,0,0,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,
ExploitGen: Template-augmented exploit code generation based on CodeBERT,"code generation, vulnerabilities, code, security, evaluation",6,1,0,0,0,1,Guang Yang,Male,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China, Key Laboratory of Safety-Critical Software, Ministry of Industry and Information Technology, Nanjing, China",China,0,1,0,0,0,0,0,0,1,0,0,0,1,0
,,,,,,,,Yu Zhou,Male,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China, Key Laboratory of Safety-Critical Software, Ministry of Industry and Information Technology, Nanjing, China",China,1,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,,,,,,Xiang Chen,Male,"Key Laboratory of Safety-Critical Software, Ministry of Industry and Information Technology, Nanjing, China, School of Information Science and Technology, Nantong University, Nantong, China",China,0,1,0,0,0,0,0,0,1,0,1,0,0,0
,,,,,,,,Xiangyu Zhang,Male,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China, Key Laboratory of Safety-Critical Software, Ministry of Industry and Information Technology, Nanjing, China",China,0,0,0,0,0,0,0,0,1,0,1,0,0,0
,,,,,,,,Tingting Han,Female,"Department of Computer Science and Data Science, Birkbeck, University of London, UK",UK,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,Taolue Chen,Male,"Department of Computer Science and Data Science, Birkbeck, University of London, UK",UK,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
Software engineering research on the Robot Operating System: A systematic mapping study,"robotics, software engineering, research, industry, evaluation",4,1,0,0,0,1,Michel Albonico,Male,"Federal University of Technology, Paraná (UTFPR), Brazil",Brazil,0,1,0,0,1,0,0,0,0,0,0,1,0,1
,,,,,,,,Milica Đorđević,Female,"Vrije Universiteit Amsterdam, Netherlands",Netherlands,0,1,0,0,1,0,0,0,0,0,0,0,1,0
,,,,,,,,Engel Hamer,Male,"Vrije Universiteit Amsterdam, Netherlands",Netherlands,0,1,0,0,1,0,0,0,0,0,0,0,1,0
,,,,,,,,Ivano Malavolta,Male,"Vrije Universiteit Amsterdam, Netherlands",Netherlands,1,0,0,0,1,0,0,0,0,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
Open tracing tools: Overview and critical comparison,"software, tracing, tools, architecture, engineers",3,2,1,0,0,1,Andrea Janes,Female,FHV Vorarlberg University of Applied Sciences,Austria,1,1,1,0,0,0,0,0,0,0,0,0,1,1
,,,,,,,,Xiaozhou Li,Male,"Tampere University, University of Oulu",Finland,0,1,1,0,0,0,0,0,0,0,0,0,1,1
,,,,,,,,Valentina Lenarduzzi,Female,University of Oulu,Finland,0,0,0,1,0,0,0,0,0,1,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,
"A critical comparison on six static analysis tools: Detection, agreement, and precision","Static Analysis Tools, Software Engineering, Quality Assurance, Technical Debt, Java Projects",5,3,1,0,0,1,Valentina Lenarduzzi,Female,M3S Research Unit - University of Oulu,Finland,1,0,0,0,0,1,0,0,0,0,0,1,0,0
,,,,,,,,Fabiano Pecorelli,Male,Clowee Research group - Tampere University,Finland,0,0,0,0,0,0,0,0,0,0,0,1,1,0
,,,,,,,,Nyyti Saarimaki,Female,Clowee Research group - Tampere University,Finland,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,Savanna Lujan,Female,Clowee Research group - Tampere University,Finland,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,Fabio Palomba,Male,SeSa Lab - University of Salerno,Italy,1,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
Ensemble Effort Estimation: An updated and extended systematic literature review,"software, estimation, techniques, research, review",3,0,0,1,1,0,José Thiago H. de A. Cabral,Male,"Centro de Informática (CIn), Universidade Federal de Pernambuco",Brazil,1,0,0,0,1,1,0,0,1,0,0,0,1,0
,,,,,,,,Adriano L.I. Oliveira,Male,"Centro de Informática (CIn), Universidade Federal de Pernambuco",Brazil,0,0,0,0,0,0,0,0,0,1,1,0,0,1
,,,,,,,,Fabio Q.B. da Silva,Male,"Centro de Informática (CIn), Universidade Federal de Pernambuco",Brazil,0,0,0,0,0,0,0,0,0,1,1,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
On the relationship between source-code metrics and cognitive load: A systematic tertiary review,"software, development, cognitive, metrics, analysis",1,0,0,1,1,0,Amine Abbad-Andaloussi,Male,"Institute of Computer Science, University of St. Gallen",Switzerland,1,0,0,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,
How have views on Software Quality differed over time? Research and practice viewpoints,"Stack Overflow, Software Quality, Code Snippets, Software Engineering, Literature Reviews",4,0,0,0,1,0,Ifeanyi G. Ndukwe,Male,"Department of Information Science, University of Otago, New Zealand; School of Mathematical and Computational Sciences, Massey University, New Zealand; Software Engineering Research Laboratory, Auckland University of Technology, New Zealand",New Zealand,1,1,0,0,0,1,0,0,0,0,0,0,1,0
,,,,,,,,Sherlock A. Licorish,Male,"Department of Information Science, University of Otago, New Zealand",New Zealand,1,1,0,0,0,1,0,0,0,0,0,0,0,1
,,,,,,,,Amjed Tahir,Male,"School of Mathematical and Computational Sciences, Massey University, New Zealand",New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,Stephen G. MacDonell,Male,"Department of Information Science, University of Otago, New Zealand",New Zealand,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
"Test flakiness’ causes, detection, impact and responses: A multivocal review","Software Testing, Software Development, Software Quality, Software Engineering, Computer Science",5,2,0,0,0,1,Amjed Tahir,Male,"School of Mathematical and Computational Sciences, Massey University, New Zealand; Key Laboratory of High Confidence Software Technologies, MoE and the Department of Computer Science and Technology, Peking University, China","New Zealand, China",1,0,0,0,0,1,0,0,0,0,0,0,0,1
,,,,,,,,Shawn Rasheed,Male,"Information & Communication Technology Group, UCOL - Te Pūkenga, New Zealand",New Zealand,1,0,0,0,0,1,0,0,0,0,0,0,0,1
,,,,,,,,Jens Dietrich,Male,"School of Engineering and Computer Science, Victoria University of Wellington, New Zealand",New Zealand,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,,,,,,,,Negar Hashemi,Female,"School of Mathematical and Computational Sciences, Massey University, New Zealand",New Zealand,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,Lu Zhang,Female,"Key Laboratory of High Confidence Software Technologies, MoE and the Department of Computer Science and Technology, Peking University, China",China,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
On the use of deep learning in software defect prediction,"software defect prediction, machine learning, deep learning, algorithms, data extraction",5,0,0,0,0,1,Görkem Giray a,Male,"Independent Researcher, Izmir, Turkey",Turkey,1,1,0,0,0,1,0,0,0,1,1,0,1,1
,,,,,,,,Kwabena Ebo Bennin b,Male,"Information Technology Group, Wageningen University & Research, Wageningen, The Netherlands",Netherlands,0,1,0,0,0,0,0,0,0,0,1,0,1,0
,,,,,,,,Ömer Köksal c,Male,"ASELSAN, Ankara, Turkey",Turkey,0,1,0,0,0,0,0,0,0,0,1,0,1,0
,,,,,,,,Önder Babur b,Male,"Information Technology Group, Wageningen University & Research, Wageningen, The Netherlands, Department of Mathematics and Computer Science, Eindhoven University of Technology, Eindhoven, The Netherlands",Netherlands,0,1,0,0,0,0,0,0,0,0,1,0,1,0
,,,,,,,,Bedir Tekinerdogan b,Male,"Information Technology Group, Wageningen University & Research, Wageningen, The Netherlands",Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,
Deep learning with class-level abstract syntax tree and code histories for detecting code modification requirements,"code quality, deep learning, code smells, refactoring, neural networks",2,0,0,0,1,0,O.O. Büyük,Male,"Department of Computer Engineering, Fatih Sultan Mehmet Vakif University, Turkey",Turkey,1,1,1,0,0,1,0,0,1,0,0,1,0,1
,,,,,,,,A. Nizam,Male,"Department of Software Engineering, Fatih Sultan Mehmet Vakif University, Turkey",Turkey,1,0,1,0,0,1,1,0,1,1,1,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,
