Paper Title,Study Domain Terms,Author Name,Gender,gender_annotation,Affiliation,Unique Institute Count,Country,Unique Country Count,Total Authors,Female Authors,Female_lead?,Male_lead?,local_Contribution?,national_collaboration?,International_collaboration?,Supervision,FemaleSupervision,MaleSupervision
,,Luca Cernuzzi,Male,0,"Department of Electronics and Computer Science Engineering (DEI), Catholic University â€Nuestra SeÃ±ora de la AsunciÃ³nâ€",,Paraguay,,,,,,,,,1,0,1
A framework for pervasive computing applications based on smart objects...,"Pervasive computing, Smart Objects, End-user development, System engineering, User experience",Christos Goumopoulos,Male,0,"Department of Information & Communication Systems Engineering, University of the Aegean; Computer Technology Institute and Press, Diophantus, Patras",2,Greece,1,2,1,0,1,0,1,0,1,0,1
,,Irene Mavrommati,Female,1,"Hellenic Open University, School of Applied Arts",,Greece,,,,,,,,,0,0,0
ThermoSim: Deep learning based framework for modeling and simulation of thermal-aware resource management for cloud computing environments,"Cloud computing, Energy consumption, Temperature, Neural networks, Resource management",Sukhpal Singh Gill,Male,0,"Queen Mary University of London, Cloud Computing and Distributed Systems (CLOUDS) Laboratory, The University of Melbourne",14,"UK, Australia",8,15,2,0,1,0,0,1,0,0,0
,,Shreshth Tuli,Male,0,Indian Institute of Technology (IIT) Delhi,,India,,,,,,,,,0,0,0
,,Adel Nadjaran Toosi,Male,0,Monash University,,Australia,,,,,,,,,1,0,1
,,Felix Cuadrado,Male,0,"Queen Mary University of London, Technical University of Madrid (UPM)",,"UK, Spain",,,,,,,,,0,0,0
,,Peter Garraghan,Male,0,Lancaster University,,UK,,,,,,,,,1,0,1
,,Rami Bahsoon,Male,0,University of Birmingham,,UK,,,,,,,,,0,0,0
,,Hanan Lutfiyya,Female,1,University of Western Ontario,,Canada,,,,,,,,,0,0,0
,,Rizos Sakellariou,Male,0,University of Manchester,,UK,,,,,,,,,0,0,0
,,Omer Rana,Male,0,Cardiff University,,UK,,,,,,,,,1,0,1
,,Schahram Dustdar,Male,0,Vienna University of Technology,,Austria,,,,,,,,,0,0,0
,,Rajkumar Buyya,Male,0,"Cloud Computing and Distributed Systems (CLOUDS) Laboratory, The University of Melbourne",,Australia,,,,,,,,,1,0,1
,,Apostolos Ampatzoglou,Male,0,"Department of Applied Informatics, University of Macedonia",,Greece,,,,,,,,,0,0,0
,,Antonios Gkortzis,Male,0,"Department of Management Science and Technology, Athens University of Economics and Business",,Greece,,,,,,,,,0,0,0
,,Stamatia Bibi,Female,1,"Department of Informatics and Telecommunications, University of Western Macedonia",,Greece,,,,,,,,,0,0,0
,,Alexander Chatzigeorgiou,Male,0,"Department of Applied Informatics, University of Macedonia",,Greece,,,,,,,,,0,0,0
Automated defect identification via path analysis-based features with transfer learning,"Code generation, defect identification, machine learning, transfer learning, software engineering",Yuwei Zhang,Male,0,"State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunications",2,China,1,4,1,0,1,0,1,0,0,0,0
,,Dahai Jin,Male,0,"State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunications",,China,,,,,,,,,0,0,0
,,Ying Xing,Female,1,"Automation School, Beijing University of Posts and Telecommunications",,China,,,,,,,,,0,0,0
,,Yunzhan Gong,Male,0,"State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunications",,China,,,,,,,,,1,0,1
A systematic mapping study of developer social network research,"Developer social networks, Software projects, Collaboration, Prediction systems, Community analysis",Steffen Herbold,Male,0,"Institute of Computer Science, University of Goettingen, Germany",1,Germany,1,4,1,0,1,1,1,0,1,0,1
,,Aynur Amirfallah,Female,1,"Institute of Computer Science, University of Goettingen, Germany",,Germany,,,,,,,,,0,0,0
,,Fabian Trautsch,Male,0,"Institute of Computer Science, University of Goettingen, Germany",,Germany,,,,,,,,,0,0,0
,,Jens Grabowski,Male,0,"Institute of Computer Science, University of Goettingen, Germany",,Germany,,,,,,,,,1,0,1
"Error messages in relational database management systems: A comparison of effectiveness, usefulness, and user confidence","DBMS, Error messages, SQL, Usability, Effectiveness",Toni Taipalus,Male,0,"Faculty of Information Technology, University of Jyvaskyla, P.O. Box 35, FI-40014, Jyvaskyla, Finland",2,Finland,2,3,1,0,1,0,0,1,1,0,1
,,Hilkka Grahn,Female,1,"Faculty of Information Technology, University of Jyvaskyla, P.O. Box 35, FI-40014, Jyvaskyla, Finland",,Finland,,,,,,,,,0,0,0
,,Hadi Ghanbari,Male,0,"Aalto University School of Business, Ekonominaukio 1, 02510, Espoo, Finland; FinEst Twins Smart City Center of Excellence, TalTech, Estonia",,"Finland, Estonia",,,,,,,,,0,0,0
Comparison of search strategies for feature location in software models,"Search-based model-driven engineering, Feature location, Software models, Search strategies, Performance analysis",Jorge EcheverrÃ­a,Male,0,"Universidad San Jorge, SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",1,Spain,1,4,1,0,1,1,1,0,1,0,1
,,Jaime Font,Male,0,"Universidad San Jorge, SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",,Spain,,,,,,,,,1,0,1
,,Francisca PÃ©rez,Female,1,"Universidad San Jorge, SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",,Spain,,,,,,,,,0,0,0
,,Carlos Cetina,Male,0,"Universidad San Jorge, SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",,Spain,,,,,,,,,1,0,1
Learning software configuration spaces: A systematic literature review,"Software configuration, Machine learning, Performance prediction, Configuration optimization, Systematic review",Juliana Alves Pereira,Female,1,"Univ Rennes, Inria, CNRS, IRISA, France",3,France,2,6,1,1,0,0,0,1,0,0,0
,,Mathieu Acher,Male,0,"Univ Rennes, Inria, CNRS, IRISA, France",,France,,,,,,,,,1,0,1
,,Hugo Martin,Male,0,"Univ Rennes, Inria, CNRS, IRISA, France",,France,,,,,,,,,0,0,0
,,Jean-Marc JÃ©zÃ©quel,Male,0,"Univ Rennes, Inria, CNRS, IRISA, France",,France,,,,,,,,,1,0,1
,,Goetz Botterweck,Male,0,"Trinity College Dublin, Leroâ€“The Irish Software Research Centre, Ireland",,Ireland,,,,,,,,,0,0,0
,,Anthony Ventresque,Male,0,"University College Dublin, Ireland",,Ireland,,,,,,,,,0,0,0
The ratio of equivalent mutants: A key to analyzing mutation equivalence,"Mutation testing, Software testing, Equivalent mutants, Redundancy metrics, Mutation analysis",Imen Marsit,Female,1,"University of Sousse, Tunisia",3,Tunisia,2,7,2,1,0,0,0,1,0,0,0
,,Amani Ayad,Female,1,"SUNY Farmingdale, NY, USA",,USA,,,,,,,,,0,0,0
,,David Kim,Male,0,"NJIT, Newark, NJ, USA",,USA,,,,,,,,,0,0,0
,,Monsour Latif,Male,0,"NJIT, Newark, NJ, USA",,USA,,,,,,,,,0,0,0
,,JiMeng Loh,Male,0,"NJIT, Newark, NJ, USA",,USA,,,,,,,,,0,0,0
,,Mohamed Nazih Omri,Male,0,"University of Sousse, Tunisia",,Tunisia,,,,,,,,,0,0,0
,,Ali Mili,Male,0,"NJIT, Newark, NJ, USA",,USA,,,,,,,,,1,0,1
Automated refactoring of legacy JavaScript code to ES6 modules,"JavaScript, ES6, Refactoring, Modularity, Static analysis",Katerina Paltoglou,Female,1,"Department of Informatics, Athens University of Economics and Business, Athens, Greece",1,Greece,1,4,1,1,0,1,1,0,0,0,0
,,Vassilis E. Zafeiris,Male,0,"Department of Informatics, Athens University of Economics and Business, Athens, Greece",,Greece,,,,,,,,,0,0,0
,,N.A. Diamantidis,Male,0,"Department of Informatics, Athens University of Economics and Business, Athens, Greece",,Greece,,,,,,,,,1,0,1
,,E.A. Giakoumakis,Male,0,"Department of Informatics, Athens University of Economics and Business, Athens, Greece",,Greece,,,,,,,,,1,0,1
How to identify class comment types? A multi-language approach for class comment classification,"Class comment classification, Software maintenance, Natural Language Processing, Text analysis, Program comprehension",Pooja Rani,Female,1,"Software Composition Group, University of Bern, Switzerland",3,Switzerland,2,5,1,1,0,0,0,1,0,0,0
,,Sebastiano Panichella,Male,0,"Zurich University of Applied Science, Switzerland",,Switzerland,,,,,,,,,0,0,0
,,Manuel Leuenberger,Male,0,"Software Composition Group, University of Bern, Switzerland",,Switzerland,,,,,,,,,0,0,0
,,Andrea Di Sorbo,Male,0,"Department of Engineering, University of Sannio, Italy",,Italy,,,,,,,,,0,0,0
,,Oscar Nierstrasz,Male,0,"Software Composition Group, University of Bern, Switzerland",,Switzerland,,,,,,,,,1,0,1
"Architecture information communication in two OSS projects: The why, who, when, and what","Open Source Software, Architecture information, Communication, Developer mailing lists, Case study",Tingting Bi,Female,1,"School of Computer Science, Wuhan University, 430072 Wuhan, China",3,China,2,4,1,1,0,0,0,1,0,0,0
,,Wei Ding,Male,0,"Key Laboratory of Earthquake Geodesy, Institute of Seismology, China Earthquake Administration, China",,China,,,,,,,,,0,0,0
,,Peng Liang,Male,0,"School of Computer Science, Wuhan University, 430072 Wuhan, China",,China,,,,,,,,,1,0,1
,,Antony Tang,Male,0,"Faculty of Science, Engineering and Technology, Swinburne University of Technology, VIC 3122 Melbourne, Australia",,Australia,,,,,,,,,1,0,1
ARTINALI++: Multi-dimensional Specification Mining for Complex Cyber-Physical System Security,"Cyber-Physical Systems, Security, Specification Mining, Internet of Things, Intrusion Detection Systems",Maryam Raiyat Aliabadi,Female,1,"Faculty of Computer Science and Engineering, Shahid Beheshti University, Tehran, Iran",1,Iran,1,3,1,1,0,1,1,0,0,0,0
,,Mojtaba Vahidi Asl,Male,0,"Faculty of Computer Science and Engineering, Shahid Beheshti University, Tehran, Iran",,Iran,,,,,,,,,1,0,1
,,Ramak Ghavamizadeh,Male,0,"Faculty of Computer Science and Engineering, Shahid Beheshti University, Tehran, Iran",,Iran,,,,,,,,,1,0,1
Deployment and communication patterns in microservice architectures: A systematic literature review,"Microservice architecture, Deployment approaches, Communication patterns, Systematic literature review, Software engineering",IÅŸÄ±l Karabey Aksakalli,Female,1,"Hacettepe University, Graduate School of Science and Engineering, Beytepe, Ankara, Turkey, Erzurum Technical University, Department of Computer Engineering, Turkey",4,Turkey,2,4,1,1,0,0,0,1,0,0,0
,,Turgay Ã‡elik,Male,0,"MilSOFT Software Technologies Corp, Turkey",,Turkey,,,,,,,,,0,0,0
,,Ahmet Burak Can,Male,0,"Hacettepe University, Department of Computer Engineering, Turkey",,Turkey,,,,,,,,,1,0,1
,,Bedir TekiÌ‡nerdoÄŸan,Male,0,"Wageningen University & Research, Information Technology, The Netherlands",,Netherlands,,,,,,,,,1,0,1
Finding security threats that matter: Two industrial case studies,"Threat analysis, Security threats, Empirical study, Agile development, DevOps",Katja Tuma,Female,1,"University of Gothenburg â€” Chalmers, Sweden",4,Sweden,2,6,1,1,0,0,0,1,0,0,0
,,Christian Sandberg,Male,0,"Volvo, Sweden",,Sweden,,,,,,,,,0,0,0
,,Urban Thorsson,Male,0,"Volvo, Sweden",,Sweden,,,,,,,,,0,0,0
,,Mathias Widman,Male,0,"Volvo, Sweden",,Sweden,,,,,,,,,0,0,0
,,Thomas Herpel,Male,0,"Zukunft Mobility, Germany",,Germany,,,,,,,,,0,0,0
,,Riccardo Scandariato,Male,0,"Hamburg University of Technology, Germany",,Germany,,,,,,,,,1,0,1
Android code smells: From introduction to refactoring,"Code smells, Mobile-specific code smells, Refactoring, Performance bottlenecks, Software maintenance",Sarra Habchi,Female,1,"University of Luxembourg, Luxembourg",3,Luxembourg,3,3,2,1,0,0,0,1,0,0,0
,,Naouel Moha,Female,1,"Ã‰cole de Technologie SupÃ©rieure, Canada",,Canada,,,,,,,,,0,0,0
,,Romain Rouvoy,Male,0,"University of Lille / Inria / IUF, France",,France,,,,,,,,,1,0,1
