Paper Title,Conceptualization,FemaleConCep,MaleConCep,Female Conceptualization Ratio,Male Conceptualization Ratio,Data Curation,Female,Male,Female Data_Curation Ratio,Male Data_Curation Ratio,Formal Analysis,Female,Male,Female Formal_Analysis Ratio,Male Formal_Analysis Ratio,Funding Acquisition,Female,Male,Female Funding Acquisition Ratio,Male Funding Acquisition Ratio,Investigation,Female,Male,Female Investigation Ratio,Male Investigation Ratio,Methodology,Female,Male,Female Methodology Ratio,Male Methodology Ratio,Project Administration,Female,Male,Female Project Administration Ratio,Male Project Administration Ratio,Resources,Feamle,Male,Female Resources Ratio,Male Resources Ratio,Software,FemaleSoftware,MaleSoftware,Female Software Ratio,Male Software Ratio,Supervision,FemaleSup,MaleSup,Female Supervision Ratio,Male Supervision Ratio,Validation,FemaleValidation,MaleValidation,Female Validation Ratio,Male Validation Ratio,Visualization,FemaleVisualization,MaleVisualization,Female Visualization Ratio,Male Visualization Ratio,Writing â€“ Original Draft,FemaleOriginalDraft,MaleOriginalDraft,Female Writing â€“ Original Draft Ratio,Male Writing â€“ Original Draft Ratio,Writing â€“ Review & Editing,FemaleReview,MaleReview,Female Writing â€“ Review & Editing Ratio,Male Writing â€“ Review & Editing Ratio
Neural joint attention code search over structure embeddings for software Q&A sites,1,0,1,0.00,0.50,0,0,0,0.33,0.00,0,0,0,0.67,0.50,0,0,0,0.00,0.50,1,0,1,0.00,0.50,1,0,1,0.00,0.50,0,0,0,0.33,0.00,0,0,0,0.33,0.00,1,0,1,0.00,1.00,0,0,0,0.33,0.50,0,0,0,0.33,0.50,0,0,0,0.33,0.50,1,0,1,0.00,0.50,0,0,0,0.67,0.00
,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,
,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,1,1,0,,,0,0,0,,,0,0,0,,
,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,
,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,
Secondary studies in the academic context: A systematic mapping and survey,1,1,0,0.75,0.00,0,0,0,0.00,0.00,1,1,0,0.25,0.00,1,1,0,0.25,0.00,0,0,0,0.00,0.00,1,1,0,0.75,0.00,1,1,0,0.25,0.00,1,1,0,0.75,0.00,0,0,0,0.00,0.00,1,1,0,0.25,0.00,1,1,0,0.75,0.00,0,0,0,0.00,0.00,1,1,0,0.75,0.00,0,0,0,0.25,1.00
,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,1,1,0,,,0,0,0,,
,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,1,1,0,,,0,0,0,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,
Black-box adversarial sample generation based on differential evolution,1,0,1,0.00,0.33,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,0.00,0.33,0,0,0,0.00,0.33,0,0,0,0.00,0.00,1,0,1,0.00,0.33,0,0,0,1.00,0.33,1,0,1,0.00,0.33,0,0,0,0.00,0.00,1,0,1,0.00,0.33,0,0,0,1.00,0.67
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
Scrum versus Rational Unified Process in facing the main challenges of product configuration systems development,1,1,0,1.00,0.75,0,0,0,0.00,0.00,1,1,0,1.00,0.50,0,0,0,0.00,0.00,1,1,0,1.00,0.25,1,1,0,1.00,1.00,1,1,0,1.00,0.25,1,1,0,1.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.25,1,1,0,1.00,1.00,0,0,0,0.00,0.00,1,1,0,1.00,0.75,1,1,0,1.00,0.75
,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,1,0,1,,
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,
,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,1,0,1,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,
Implementation relations and testing for cyclic systems with refusals and discrete time,0,0,0,0.00,0.50,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,1.00,1,1,0,1.00,0.00,1,1,0,1.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,1,0,1.00,0.00,0,0,0,0.00,1.00,0,0,0,0.00,0.00,1,1,0,1.00,0.50,1,1,0,1.00,1.00,1,1,0,1.00,1.00
,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,
,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,1,0,1,,,1,0,1,,
Imbalanced metric learning for crashing fault residence prediction,0,0,0,0.33,0.00,1,0,1,0.00,0.25,0,0,0,0.33,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,0.00,0.50,0,0,0,0.33,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.25,0,0,0,0.00,0.25,0,0,0,0.00,0.00,0,0,0,0.00,0.25,1,0,1,0.00,0.25,0,0,0,0.33,0.25
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,
,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
Vendor Switching: Factors that matter when engineers onboard their own replacement,1,1,0,1.00,1.00,1,1,0,1.00,0.00,1,1,0,1.00,0.00,0,0,0,0.00,0.00,1,1,0,1.00,1.00,1,1,0,1.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,1,0,1.00,0.00,0,0,0,0.00,1.00
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
Understanding coordination in global software engineering: A mixed-methods study on the use of meetings and Slack,1,1,0,1.00,1.00,1,1,0,1.00,1.00,1,1,0,1.00,1.00,1,1,0,1.00,1.00,1,1,0,1.00,1.00,1,1,0,1.00,1.00,1,1,0,1.00,1.00,1,1,0,1.00,1.00,0,0,0,0.00,0.00,1,1,0,1.00,1.00,1,1,0,1.00,1.00,1,1,0,1.00,1.00,1,1,0,1.00,1.00,1,1,0,1.00,1.00
,1,0,1,,,1,0,1,,,1,0,1,,,1,0,1,,,1,0,1,,,1,0,1,,,1,0,1,,,1,0,1,,,0,0,0,,,1,0,1,,,1,0,1,,,1,0,1,,,1,0,1,,,1,0,1,,
Examining the reuse potentials of IoT application frameworks,1,1,0,1.00,1.00,1,1,0,0.50,0.00,1,1,0,0.50,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,1,0,1.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,1,0,1.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,1,0,1.00,1.00,1,1,0,1.00,1.00
,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,1,1,0,,
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,1,0,1,,
Some SonarQube issues have a significant but small effect on faults and changes. A large-scale empirical study,1,1,0,0.50,0.00,0,0,0,0.50,0.00,0,0,0,0.50,0.00,0,0,0,0.00,1.00,0,0,0,0.00,0.00,1,1,0,0.50,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,1,0,0.50,0.00,0,0,0,0.00,1.00
,0,0,0,,,1,1,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
"On the generation, structure, and semantics of grammar patterns in source code identifiers",1,0,1,1.00,0.40,1,0,1,0.50,0.60,1,0,1,0.00,0.20,0,0,0,0.00,0.00,1,0,1,0.00,0.20,1,0,1,0.00,0.20,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,0.00,0.20,0,0,0,0.00,0.00,1,0,1,0.50,0.40,0,0,0,0.00,0.00,1,0,1,0.00,0.20,1,0,1,1.00,0.80
,1,1,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,1,1,0,,
,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,
A comparison of quality flaws and technical debt in model transformation specifications,1,1,0,0.50,0.00,1,1,0,1.00,0.67,0,0,0,0.00,0.33,0,0,0,0.00,0.00,1,1,0,0.50,0.33,1,1,0,0.50,0.33,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.67,0,0,0,0.00,0.00,0,0,0,0.00,0.33,0,0,0,0.00,0.33,1,1,0,0.50,0.33,1,1,0,0.50,0.33
,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,1,0,1,,,1,0,1,,,1,0,1,,
,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
From API to NLI: A new interface for library reuse,1,0,1,1.00,0.50,1,0,1,0.00,0.50,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.25,1,0,1,1.00,0.50,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,0.00,0.75,0,0,0,0.00,0.25,0,0,0,0.00,0.25,0,0,0,0.00,0.00,1,0,1,0.00,0.25,0,0,0,1.00,0.25
,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,
,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
Evaluating and strategizing the onboarding of software developers in large-scale globally distributed projects,1,0,1,0.00,0.33,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,0.00,0.67,1,0,1,0.00,0.33,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,1.00,0.33,0,0,0,1.00,0.00,0,0,0,0.00,0.00,1,0,1,0.00,0.33,0,0,0,1.00,0.33
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,1,1,0,,,0,0,0,,,0,0,0,,,1,1,0,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,,0,0,0,,,0,0,0,,,0,0,0,,,1,0,1,,
CODE reuse in practice: Benefiting or harming technical debt,1,0,1,1.00,1.00,1,0,1,0.00,0.50,1,0,1,0.00,0.25,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,1.00,1.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,0.00,0.50,0,0,0,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0.00,0.00,1,0,1,1.00,1.00,1,0,1,1.00,1.00
