Paper Title,Study Domain Terms,Study_Area,Study_Area2
Vendor Switching: Factors that matter when engineers onboard their own replacement,Offshore Outsourcing; Vendor Switching; Knowledge Transfer; Organizational Fit; Opportunistic Behavior,Human factors and management concerns of software development,
,,,
Understanding coordination in global software engineering: A mixed-methods study on the use of meetings and Slack,Global Software Engineering; Team Coordination; Collaboration Tools; Distributed Teams; Meetings Analysis,Human factors and management concerns of software development,
,,,
Examining the reuse potentials of IoT application frameworks,IoT Systems; Framework Reusability; Component Reuse; Device Management; Software Quality,Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
Some SonarQube issues have a significant but small effect on faults and changes. A large-scale empirical study,SonarQube Issues; Fault-proneness; Code Changes; Software Quality; Technical Debt,Methods and tools for empirical software engineering research,
,,,
,,,
"On the generation, structure, and semantics of grammar patterns in source code identifiers",Code Patterns; Identifier Naming; Source Code Analysis; Grammar Semantics; POS Tagging,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
,,,
A comparison of quality flaws and technical debt in model transformation specifications,Model Transformations; Technical Debt; Model-Driven Engineering; Software Quality; Quality Flaws Analysis,"Agile, model-driven, service-oriented, open source and global software development",
,,,
,,,
,,,
,,,
From API to NLI: A new interface for library reuse,API Learning; Library Reuse; Natural Language Interface; Code Synthesis; Software Development,"Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
Evaluating and strategizing the onboarding of software developers in large-scale globally distributed projects,Onboarding Strategies; Large-scale Projects; Distributed Teams; Mentorship in Software Engineering; Business Process Modeling,Human factors and management concerns of software development,
,,,
,,,
,,,
CODE reuse in practice: Benefiting or harming technical debt,Software Reuse; Technical Debt; Software Engineering; Case Study; OSS Systems,Business and economic aspects of software development processes,
,,,
,,,
,,,
,,,
SEET: Symbolic Execution of ETL Transformations,Model Transformations; Symbolic Execution; ETL Errors; Constraint Solvers; Eclipse Integration,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
The influence of Technical Debt on software developer morale,Technical Debt Management; Software Developer Productivity; Developer Morale; Time Wastage in Software Development; Software Engineering Practices,Human factors and management concerns of software development,
,,,
,,,
,,,
"Uncertainty in information system development: Causes, effects, and coping mechanisms",Information System Development; Project Management; Uncertainty; Software Industry; Coping Mechanisms,Human factors and management concerns of software development,
,,,
,,,
Achieving agility and quality in product development - an empirical study of hardware startups,Agile Development; Hardware Startups; Product Quality; Technical Debt; Evolutionary Prototyping,"Agile, model-driven, service-oriented, open source and global software development",
,,,
,,,
,,,
,,,
Integrating GitLab metrics into coursework consultation sessions in a software engineering course,Software Engineering Education; GitLab Metrics; Collaborative Coding; Student Project Assessment; Educational Software Development Tools,Software Engineering education,
,,,
,,,
,,,
,,,
,,,
,,,
Substructure similarity search for engineering service-based systems,Service-Oriented Architecture; Software Engineering; Substructure Similarity Search; Service-Based Systems; Feature-Based Method,"Agile, model-driven, service-oriented, open source and global software development",
,,,
,,,
,,,
,,,
Relation-based test case prioritization for regression testing,Regression Testing; Fault Detection; Test Case Prioritization; Dynamic Call Sequences; Bug Detection,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
,,,
GAP: Forecasting commit activity in git projects,Commit Forecasting; Survival Analysis; Git Activity; Open Source Software; Developer Abandonment,"Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
Systematic literature review of empirical studies on mental representations of programs,Program Comprehension; Mental Representations; Empirical Studies in Programming; Programming Languages; Psychology of Programming,Methods and tools for empirical software engineering research,
,,,
,,,
Inner source software development: Current thinking and an agenda for future research,Open Source Software; Inner Source Development; Systematic Literature Review; Management Challenges; Research Agenda,"Agile, model-driven, service-oriented, open source and global software development",
,,,
,,,
,,,
Modeling programs hierarchically with stack-augmented LSTM,Programming Language Modeling; Neural Networks; Code Completion; Program Classification; Code Summarization,"Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
Cloud reliability and efficiency improvement via failure risk based proactive actions,Cloud Computing; Reliability Engineering; Failure Prediction; Proactive Failure Mitigation; Resource Optimization,Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
Cost-efficient dynamic scheduling of big data applications in apache spark on cloud,Cloud Computing; Big Data Processing; Job Scheduling; Resource Optimization; Apache Spark,Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
,,,
An Android application risk evaluation framework based on minimum permission set identification,Android Security; App Permissions; Overprivilege Detection; Static Analysis; Collaborative Filtering,"Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
LAURA architecture: Towards a simpler way of building situation-aware and business-aware IoT applications,IoT; WSN; Business Process Management; Situation Awareness; Open-source Architecture,Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
A model-driven approach for the development of native mobile applications focusing on the data layer,Mobile Application Development; Model-Driven Development; Data Layer Design; Offline Data Persistence; Cross-platform Development,"Agile, model-driven, service-oriented, open source and global software development",
,,,
,,,
,,,
A framework for pervasive computing applications based on smart objects...,"Pervasive computing, Smart Objects, End-user development, System engineering, User experience",Approaches for cloud/fog/edge computing and virtualized systems,
,,,
ThermoSim: Deep learning based framework for modeling and simulation of thermal-aware resource management for cloud computing environments,"Cloud computing, Energy consumption, Temperature, Neural networks, Resource management","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Automated defect identification via path analysis-based features with transfer learning,"Code generation, defect identification, machine learning, transfer learning, software engineering","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
Three decades of software reference architectures: A systematic mapping study,"Software architecture, Reference architectures, Knowledge reuse, Systematic mapping, Industry-academia collaboration",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
,,,
A systematic mapping study of developer social network research,"Developer social networks, Software projects, Collaboration, Prediction systems, Community analysis",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
Exploring the intersection between software industry and Software Engineering education - A systematic mapping of Software Engineering Trends,"Software engineering, Software education, Agile development, Global software engineering, Lean software startup",Software Engineering education,
,,,
,,,
,,,
SWFC-ART: A cost-effective approach for Fixed-Size-Candidate-Set Adaptive Random Testing through small world graphs,"Adaptive random testing, Software testing, Nearest neighbor search, Small world graphs, High-dimensional input domains","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
,,,
"Error messages in relational database management systems: A comparison of effectiveness, usefulness, and user confidence","DBMS, Error messages, SQL, Usability, Effectiveness",Human factors and management concerns of software development,
,,,
,,,
A systematic mapping study on architectural smells detection,"Software architecture, Architectural smells, Detection techniques, Empirical validation, Design quality",Methods and tools for empirical software engineering research,
,,,
,,,
Machine learning based success prediction for crowdsourcing software projects,"Crowdsourcing, Machine learning, Software projects, Prediction, Natural language processing","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
Software engineering practices for scientific software development: A systematic mapping study,"Scientific software, Software engineering, Quality attributes, Mapping study, Systematic review",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
Change impact analysis: A systematic mapping study,"Change Impact Analysis, Software maintenance, Quantification methods, Metrics, Systematic literature review",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
"Can we benchmark Code Review studies? A systematic mapping study of methodology, dataset, and metric","Code Review, Software quality assurance, Methodology, Dataset, Metrics",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
The role of the project manager in agile software development projects,"Agile software development, Project management, Grounded Theory, Scrum, XP",Human factors and management concerns of software development,
,,,
,,,
Comparison of search strategies for feature location in software models,"Search-based model-driven engineering, Feature location, Software models, Search strategies, Performance analysis","Agile, model-driven, service-oriented, open source and global software development",
,,,
,,,
,,,
Donâ€™t run on fumesâ€”Parametric gas bounds for smart contracts,"Ethereum, Smart contracts, Static analysis, Gas consumption, Blockchain","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
Brain and autonomic nervous system activity measurement in software engineering: A systematic literature review,"NeuroSE, Software engineering, Literature review, Brain activity measurement, Autonomic nervous system",Human factors and management concerns of software development,
,,,
,,,
Initiatives and challenges of using gamification in software engineering: A Systematic Mapping,"Gamification, Software engineering, Systematic mapping, Engagement, Motivation",Human factors and management concerns of software development,
,,,
,,,
,,,
Do scaling agile frameworks address global software development risks? An empirical study,"Agile development, Global software development, Risk mitigation, Empirical study, Framework effectiveness","Agile, model-driven, service-oriented, open source and global software development",
,,,
,,,
,,,
Data correction and evolution analysis of the ProgrammableWeb service ecosystem,"Web service ecosystem, Evolution analysis, API, Mashups, Dynamic network models",Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
,,,
,,,
,,,
Learning software configuration spaces: A systematic literature review,"Software configuration, Machine learning, Performance prediction, Configuration optimization, Systematic review","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
The ratio of equivalent mutants: A key to analyzing mutation equivalence,"Mutation testing, Software testing, Equivalent mutants, Redundancy metrics, Mutation analysis","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
,,,
Automated refactoring of legacy JavaScript code to ES6 modules,"JavaScript, ES6, Refactoring, Modularity, Static analysis","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
A formal approach for the analysis of BPMN collaboration models,"BPMN, Software development, Formal verification, Model checking, Web-based tools","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
Hippo: A formal-model execution engine to control and verify critical real-time systems,"Embedded systems, Real-time systems, Formal verification, Toolchain design, Software modeling","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
Automated identification of security discussions in microservices systems: Industrial surveys and experiments,"Microservices, Security, Machine learning, Deep learning, Software development","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
How to identify class comment types? A multi-language approach for class comment classification,"Class comment classification, Software maintenance, Natural Language Processing, Text analysis, Program comprehension","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
"Architecture information communication in two OSS projects: The why, who, when, and what","Open Source Software, Architecture information, Communication, Developer mailing lists, Case study","Agile, model-driven, service-oriented, open source and global software development",
,,,
,,,
,,,
Investigating and recommending co-changed entities for JavaScript programs,"JavaScript, Machine learning, Software maintenance, Co-changed entities, Code recommendation","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
Software defect prediction based on enhanced metaheuristic feature selection optimization and a hybrid deep neural network,"Software defect prediction, Feature selection, Deep neural network, Metaheuristic optimization, Machine learning","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
Tuning configuration of Apache Spark on public clouds by combining multi-objective optimization and performance prediction model,"Cloud computing, Apache Spark, Multi-objective optimization, Performance tuning, Configuration optimization",Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
Model-based testing in practice: An experience report from the web applications domain,"Model-based testing, Test automation, Software testing, Empirical evidence, Industrial application","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
A sustainable-development approach for self-adaptive cyberâ€“physical systemâ€™s life cycle: A systematic mapping study,"Cyber-Physical Systems, Sustainability, System Development Life-Cycle, Self-adaptive systems, Systematic mapping study",Software Engineering for Sustainability,
,,,
,,,
,,,
ARTINALI++: Multi-dimensional Specification Mining for Complex Cyber-Physical System Security,"Cyber-Physical Systems, Security, Specification Mining, Internet of Things, Intrusion Detection Systems",Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
Deployment and communication patterns in microservice architectures: A systematic literature review,"Microservice architecture, Deployment approaches, Communication patterns, Systematic literature review, Software engineering","Agile, model-driven, service-oriented, open source and global software development",
,,,
,,,
,,,
Understanding the perceived relevance of capability measures: A survey of Agile Software Development practitioners,"Agile Software Development, Capability measures, Team performance, Survey, Practitioner perceptions",Human factors and management concerns of software development,
,,,
,,,
Mining guidelines for architecting robotics software,"Robotics software, Software architecture, ROS, Quality attributes, Guidelines","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
Finding security threats that matter: Two industrial case studies,"Threat analysis, Security threats, Empirical study, Agile development, DevOps","DevOps, continuous integration, build and test automation",
,,,
,,,
,,,
,,,
,,,
A study on correlations between architectural smells and design patterns,"Design patterns, Architectural smells, Software design, Empirical study, Open source software",Methods and tools for empirical software engineering research,
,,,
,,,
Android code smells: From introduction to refactoring,"Code smells, Mobile-specific code smells, Refactoring, Performance bottlenecks, Software maintenance","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
System quality and security certification in seven weeks: A multi-case study in Spanish SMEs,"System quality, Security, SMEs, Certification, Multi-case study",Business and economic aspects of software development processes,
,,,
,,,
An extensive study on smell-aware bug localization,"Bug localization, Information retrieval, Code smells, Software maintenance, Benchmarking","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
Digging into group establishment: Intervention design and evaluation,"Group formation, Self-regulation, Peer-assessment, Software engineering education, Intervention design",Software Engineering education,
,,,
Application of agile methods in traditional logistics companies and logistics startups,"Agile methods, Logistics, IT departments, Delphi Study, Agility in logistics","Agile, model-driven, service-oriented, open source and global software development",
,,,
An empirical study on the co-occurrence between refactoring actions and Self-Admitted Technical Debt removal,"Technical Debt, Refactoring, Software quality, Software maintenance, Empirical study",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
Multilayered review of safety approaches for machine learning-based systems in the days of AI,"AI safety, Machine learning, Software engineering, Systems engineering, Safety requirements",Software Engineering for AI systems,
,,,
Evaluating the effectiveness of risk containers to isolate change propagation,"Risk containers, Change propagation, Software maintenance, Design patterns, Software architecture","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
Tigris: A DSL and framework for monitoring software systems at runtime,"Software monitoring, Runtime analysis, Adaptation, Domain-specific language, Performance optimization","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
"The symptoms, causes, and repairs of bugs inside a deep learning library","Deep learning, Software bugs, Empirical study, TensorFlow, Safety-critical applications",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
A Kubernetes controller for managing the availability of elastic microservice based stateful applications,"Microservices, Kubernetes, High Availability, Cloud-native applications, Service availability",Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
,,,
ProDSPL: Proactive self-adaptation based on Dynamic Software Product Lines,"Dynamic Software Product Lines, Self-adaptation, Proactive approach, Configuration generation, Quality requirements",Software Engineering for AI systems,
,,,
,,,
,,,
"A systematic literature review of blockchain and smart contract development: Techniques, tools, and open challenges","Blockchain, Smart contracts, Software engineering, Systematic review, Software development",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
A family of experiments to generate graphical user interfaces from BPMN models with stereotypes,"GUI design, BPMN, UML, Stereotypes, Experimentation","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
Signal-Based Properties of Cyber-Physical Systems: Taxonomy and Logic-based Characterization,"Cyber-physical systems, Signal-based properties, Temporal logics, Taxonomy, Requirements specifications","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
A comprehensive comparative study of clustering-based unsupervised defect prediction models,"Defect prediction, Clustering, Unsupervised learning, Software engineering, Performance evaluation","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
On the impact of release policies on bug handling activity: A case study of Eclipse,"Bug handling, Software release policies, Software engineering, Continuous development, Eclipse",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
How are issue reports discussed in Gitter chat rooms?,"Open source software development, Communication, Chat systems, Gitter, Issue reports",Human factors and management concerns of software development,
,,,
,,,
Convolutional neural networks for enhanced classification mechanisms of metamodels,"Model-Driven Engineering, Metamodels, Classification, Convolutional neural networks, Supervised learning","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
An automated model-based approach to repair test suites of evolving web applications,"Automated testing, Captureâ€“Replay tools, Test repair, Web applications, DOM coverage","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
Legacy software migration based on timing contract aware real-time execution environments,"Embedded systems, Legacy code migration, Real-time systems, Timing enforcement, Binary translation","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
"A systematic literature review on Technical Debt prioritization: Strategies, processes, factors, and tools","Technical Debt, Software engineering, Prioritization strategies, Systematic literature review, Refactoring",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
Does code quality affect pull request acceptance? An empirical study,"Code quality, Pull requests, Software maintenance, Machine learning, Case study",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
Assurance and certification of cyberâ€“physical systems: The AMASS open source ecosystem,"Cyber-physical systems, Assurance, Certification, Open source tools, System modelling","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
Interdisciplinary effects of technical debt in companies with mechatronic products â€” a qualitative study,"Technical debt, Mechatronics, Digitalization, Engineering, Interdisciplinary",Human factors and management concerns of software development,
,,,
A critical review on the evaluation of automated program repair systems,"Automated program repair, Evaluation metrics, Software engineering, Bug fixing, Patch generation",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
,,,
An evolutionary approach for generating software models: The case of Kromaia in Game Software Engineering,"Model-Driven Engineering, Game Development, Software Models, Evolutionary Model Generation, Statistical Analysis","Agile, model-driven, service-oriented, open source and global software development",
,,,
,,,
,,,
Facilitating program comprehension with call graph multilevel hierarchical abstractions,"Program comprehension, Call graph, Hierarchical abstractions, Software maintenance, Clustering","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
Product metrics for spreadsheetsâ€”A systematic review,"Software metrics, Spreadsheets, Product metrics, Literature review, Development processes",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
"Accessibility in the mobile development industry in Brazil: Awareness, knowledge, adoption, motivations and barriers",Mobile Accessibility; Assistive Technologies; Accessibility Guidelines; Software Development Barriers; Digital Accessibility Awareness,Human factors and management concerns of software development,
,,,
,,,
,,,
Concept drift-aware temporal cloud service APIs recommendation for building composite cloud systems,Cloud Service APIs; Concept Drift; Composite Cloud Systems; Temporal Recommendation Systems; Singular Value Decomposition (SVD),Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
Product-line assurance cases from contract-based design,Assurance Cases; Product Lines; Cyber-Physical Systems; Safety and Security; Contract-based Design,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
GEML: A grammar-based evolutionary machine learning approach for design-pattern detection,"Software engineering, machine learning, evolutionary algorithms, design patterns, context-free grammar","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
Code smell detection by deep direct-learning and transfer-learning,"Code smell, deep learning, transfer learning, machine learning, autoencoder","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
How to kill them all: An exploratory study on the impact of code observability on mutation testing,"Mutation testing, test quality, software engineering, refactoring, testability","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
Requirements engineering challenges and practices in large-scale agile system development,"Agile methods, Requirements engineering, Large-scale systems, SAFeÂ®, LeSS",Human factors and management concerns of software development,
,,,
,,,
,,,
,,,
Accessibility and Software Engineering Processes: A Systematic Literature Review,"Software development, Accessibility, Design, Testing, Process establishment",Human factors and management concerns of software development,
,,,
,,,
Mining Architecture Tactics and Quality Attributes knowledge in Stack Overflow,"Architecture tactics, Quality attributes, Mining, Stack Overflow, Software design",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
Synthesizing researches on Knowledge Management and Agile Software Development using the Meta-ethnography method,"Knowledge Management, Agile Software Development, Meta-ethnography, Scrum, XP",Human factors and management concerns of software development,
,,,
,,,
,,,
,,,
,,,
A qualitative analysis of themes in instant messaging communication of software developers,"software engineering, instant messaging, thematic analysis, communication, chat rooms",Human factors and management concerns of software development,
,,,
,,,
A sampling-based online Co-Location-Resistant Virtual Machine placement strategy,"VM placement, security, cloud IaaS, optimization, sampling",Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
A software reliability growth model for imperfect debugging,"Software reliability, debugging, error fluctuation, testing, optimization","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
A survey of software architectural change detection and categorization techniques,"software architecture, change detection, design decisions, classification, empirical data",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
A systematic literature review on benchmarks for evaluating debugging approaches,"debugging, benchmarks, fault localization, automated repair, software engineering",Methods and tools for empirical software engineering research,
,,,
A user survey on the adoption of crowd-based software engineering instructional screencasts by the new generation of software developers,"software engineering, instructional screencasts, user survey, crowd-based documentation, how-to tutorial",Software Engineering education,
,,,
,,,
Adopting threat modelling in agile software development projects,"Secure software engineering, Agile teams, Threat modelling, STRIDE, Microsoft Threat Modelling Tool",Human factors and management concerns of software development,
,,,
,,,
,,,
Agile methods used by traditional logistics companies and logistics start-ups: a systematic literature review,"Agile methods, Logistics, Start-ups, Systematic review, Innovation","Agile, model-driven, service-oriented, open source and global software development",
,,,
An architecture for mission coordination of heterogeneous robots,"Robotics, Coordination, Modifiability, Integration, Autonomy",Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
,,,
,,,
,,,
An automated extract method refactoring approach to correct the long method code smell,"Code smells, Refactoring, Long method, Java, Graph analysis","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
An empirical characterization of software bugs in open-source Cyberâ€“Physical Systems,"CPS, drones, automotive, robotics, Arduino, hardware",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
An empirical comparison of four Java-based regression test selection techniques,"Regression testing, Test case selection, Safety violations, Precision violations, Fault detection",Methods and tools for empirical software engineering research,
,,,
,,,
Assessing the linguistic quality of REST APIs for IoT applications,"IoT, REST APIs, Linguistic Quality, Syntactic Analysis, Semantic Analysis",Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
,,,
Automatically recognizing the semantic elements from UML class diagram images,"software engineering, design models, image processing, UML class diagrams, semantic elements","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
Changes in perceived productivity of software engineers during COVID-19 pandemic: The voice of evidence,"COVID-19, productivity, telework, remote work, longitudinal analysis",Human factors and management concerns of software development,
,,,
,,,
,,,
,,,
,,,
CIT-daily: A combinatorial interaction testing-based daily build process,"CIT, build processes, fault detection, configurable systems, t-way coverage","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
Classifying crowdsourced mobile test reports with image features: An empirical study,"Crowdsourced testing, Mobile testing, Image features, Test report classification, Machine learning","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
,,,
Conformance assessment of Architectural Design Decisions on API endpoint designs derived from domain modelsâœ©,"Microservices, API design, DDD, conformance, automation","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
Data management for production quality deep learning models: Challenges and solutions,"Deep learning, Data management, Industrial deployment, Case study, Software systems","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
Deep learning application on code clone detection: A review of current knowledge,"Code quality, code clone detection, bad smells, deep learning, maintainability","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
