Paper Title,Author Name,Gender,Affiliation,Industrial/Institutional,Country,local_Contribution?,national_collaboration?,International_collaboration?
,Yanzhen Zou,Female,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",,China,,,
,Zixiao Zhu,Male,IBM Research,,China,,,
,Bing Xie,Male,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",,China,,,
The influence of Technical Debt on software developer morale,Terese Besker,Female,"Chalmers University of Technology, HÃ¶rselgÃ¥ngen 4, 417 56 Gothenburg, Sweden",TRUE,Sweden,0,0,1
,Hadi Ghanbari,Male,"Aalto University, Ekonominaukio 1, 02510, Espoo, Finland",,Finland,,,
,Antonio Martini,Male,"University of Oslo, Department of Informatics, GaustadallÃ©en 23B, 0373 Oslo, Norway",,Norway,,,
,Jan Bosch,Male,"Chalmers University of Technology, HÃ¶rselgÃ¥ngen 4, 417 56 Gothenburg, Sweden",,Sweden,,,
"Uncertainty in information system development: Causes, effects, and coping mechanisms",Toni Taipalus,Male,University of Jyvaskyla,TRUE,Finland,1,0,0
,Ville SeppÃ¤nen,Male,University of Jyvaskyla,,Finland,,,
,Maritta Pirhonen,Female,University of Jyvaskyla,,Finland,,,
Substructure similarity search for engineering service-based systems,Jintao Wu,Male,"Anhui University, School of Computer Science and Technology, Key Laboratory of Quantitative Remote Sensing in Agriculture",FALSE,"China, China",0,0,1
,Xing Guo,Male,"Anhui University, School of Computer Science and Technology",,China,,,
,Guijun Yang,Male,"Key Laboratory of Quantitative Remote Sensing in Agriculture, Beijing Research Center for Information Technology in Agriculture",,China,,,
,Shuhui Wu,Female,"Hefei University of Technology, School of Management",,China,,,
,Jianguo Wu,Male,"Anhui University, School of Computer Science and Technology",,China,,,
GAP: Forecasting commit activity in git projects,Alexandre Decan,Male,"Software Engineering Lab, University of Mons, Belgium",TRUE,Belgium,0,0,1
,Eleni Constantinou,Female,"Software Engineering Lab, University of Mons, Belgium; Eindhoven University of Technology, Netherlands",,"Belgium, Netherlands",,,
,Tom Mens,Male,"Software Engineering Lab, University of Mons, Belgium",,Belgium,,,
,Henrique Rocha,Male,"Lab On Reengineering (LORE - Ansymo), University of Antwerp, Belgium",,Belgium,,,
Inner source software development: Current thinking and an agenda for future research,Henry Edison,Male,"Lero, National University of Ireland Galway",TRUE,Ireland,1,0,0
,Noel Carroll,Male,"Lero, National University of Ireland Galway",,Ireland,,,
,Lorraine Morgan,Female,"Lero, National University of Ireland Galway",,Ireland,,,
,Kieran Conboy,Male,"Lero, National University of Ireland Galway",,Ireland,,,
Modeling programs hierarchically with stack-augmented LSTM,Fang Liu,Female,"Peking University, Beijing",TRUE,China,1,0,0
,Lu Zhang,Male,"Peking University, Beijing",,China,,,
,Zhi Jin,Male,"Peking University, Beijing",,China,,,
Cloud reliability and efficiency improvement via failure risk based proactive actions,Yuli Tian,Female,"School of Computer Science, Northwestern Polytechnical University; Ministry of Industry and Information Technology Key Laboratory of Big Data Storage and Management",TRUE,China,0,0,1
,Jeff Tian,Male,"Department of Computer Science, Southern Methodist University; School of Informatics, Northwest University",,"USA, China",,,
,Ning Li,Male,"School of Computer Science, Northwestern Polytechnical University; Ministry of Industry and Information Technology Key Laboratory of Big Data Storage and Management",,China,,,
An Android application risk evaluation framework based on minimum permission set identification,Jianmao Xiao,Male,"College of Intelligence and Computing, Tianjin University, Tianjin, China",TRUE,China,0,0,1
,Shizhan Chen,Male,"College of Intelligence and Computing, Tianjin University, Tianjin, China",,China,,,
,Qiang He,Male,"School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, VIC 3122, Australia",,Australia,,,
,Zhiyong Feng,Male,"College of Intelligence and Computing, Tianjin University, Tianjin, China",,China,,,
,Xiao Xue,Female,"College of Intelligence and Computing, Tianjin University, Tianjin, China",,China,,,
LAURA architecture: Towards a simpler way of building situation-aware and business-aware IoT applications,Sergio Teixeira,Male,"Universidade Federal do EspÃ­rito Santo (UFES), Centro UniversitÃ¡rio CatÃ³lico de VitÃ³ria (UCV)",FALSE,Brazil,0,1,0
,Bruno Alves Agrizzi,Male,Universidade Federal do EspÃ­rito Santo (UFES),,Brazil,,,
,JosÃ© GonÃ§alves Pereira Filho,Male,Universidade Federal do EspÃ­rito Santo (UFES),,Brazil,,,
,Silvana Rossetto,Female,Universidade Federal do Rio de Janeiro (UFRJ),,Brazil,,,
,Isaac SimÃµes AraÃºjo Pereira,Male,Universidade Federal do EspÃ­rito Santo (UFES),,Brazil,,,
,PatrÃ­cia Dockhorn Costa,Female,Universidade Federal do EspÃ­rito Santo (UFES),,Brazil,,,
,Adriano Francisco Branco,Male,PontifÃ­cia Universidade CatÃ³lica do Rio de Janeiro (PUC-Rio),,Brazil,,,
,Ruan Rocha Martinelli,Male,Universidade Federal do EspÃ­rito Santo (UFES),,Brazil,,,
A model-driven approach for the development of native mobile applications focusing on the data layer,Manuel NÃºÃ±ez,Male,"Department of Electronics and Computer Science Engineering (DEI), Catholic University â€Nuestra SeÃ±ora de la AsunciÃ³nâ€",TRUE,Paraguay,1,0,0
,Daniel Bonhaure,Male,"Department of Electronics and Computer Science Engineering (DEI), Catholic University â€Nuestra SeÃ±ora de la AsunciÃ³nâ€",,Paraguay,,,
,MagalÃ­ GonzÃ¡lez,Female,"Department of Electronics and Computer Science Engineering (DEI), Catholic University â€Nuestra SeÃ±ora de la AsunciÃ³nâ€",,Paraguay,,,
,Luca Cernuzzi,Male,"Department of Electronics and Computer Science Engineering (DEI), Catholic University â€Nuestra SeÃ±ora de la AsunciÃ³nâ€",,Paraguay,,,
A framework for pervasive computing applications based on smart objects...,Christos Goumopoulos,Male,"Department of Information & Communication Systems Engineering, University of the Aegean; Computer Technology Institute and Press, Diophantus, Patras",TRUE,Greece,0,1,0
,Irene Mavrommati,Female,"Hellenic Open University, School of Applied Arts",,Greece,,,
ThermoSim: Deep learning based framework for modeling and simulation of thermal-aware resource management for cloud computing environments,Sukhpal Singh Gill,Male,"Queen Mary University of London, Cloud Computing and Distributed Systems (CLOUDS) Laboratory, The University of Melbourne",TRUE,"UK, Australia",0,0,1
,Shreshth Tuli,Male,Indian Institute of Technology (IIT) Delhi,,India,,,
,Adel Nadjaran Toosi,Male,Monash University,,Australia,,,
,Felix Cuadrado,Male,"Queen Mary University of London, Technical University of Madrid (UPM)",,"UK, Spain",,,
,Peter Garraghan,Male,Lancaster University,,UK,,,
,Rami Bahsoon,Male,University of Birmingham,,UK,,,
,Hanan Lutfiyya,Female,University of Western Ontario,,Canada,,,
,Rizos Sakellariou,Male,University of Manchester,,UK,,,
,Omer Rana,Male,Cardiff University,,UK,,,
,Schahram Dustdar,Male,Vienna University of Technology,,Austria,,,
,Rajkumar Buyya,Male,"Cloud Computing and Distributed Systems (CLOUDS) Laboratory, The University of Melbourne",,Australia,,,
,Apostolos Ampatzoglou,Male,"Department of Applied Informatics, University of Macedonia",,Greece,,,
,Antonios Gkortzis,Male,"Department of Management Science and Technology, Athens University of Economics and Business",,Greece,,,
,Stamatia Bibi,Female,"Department of Informatics and Telecommunications, University of Western Macedonia",,Greece,,,
,Alexander Chatzigeorgiou,Male,"Department of Applied Informatics, University of Macedonia",,Greece,,,
Automated defect identification via path analysis-based features with transfer learning,Yuwei Zhang,Male,"State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunications",TRUE,China,0,1,0
,Dahai Jin,Male,"State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunications",,China,,,
,Ying Xing,Female,"Automation School, Beijing University of Posts and Telecommunications",,China,,,
,Yunzhan Gong,Male,"State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunications",,China,,,
A systematic mapping study of developer social network research,Steffen Herbold,Male,"Institute of Computer Science, University of Goettingen, Germany",TRUE,Germany,1,0,0
,Aynur Amirfallah,Female,"Institute of Computer Science, University of Goettingen, Germany",,Germany,,,
,Fabian Trautsch,Male,"Institute of Computer Science, University of Goettingen, Germany",,Germany,,,
,Jens Grabowski,Male,"Institute of Computer Science, University of Goettingen, Germany",,Germany,,,
"Error messages in relational database management systems: A comparison of effectiveness, usefulness, and user confidence",Toni Taipalus,Male,"Faculty of Information Technology, University of Jyvaskyla, P.O. Box 35, FI-40014, Jyvaskyla, Finland",TRUE,Finland,0,0,1
,Hilkka Grahn,Female,"Faculty of Information Technology, University of Jyvaskyla, P.O. Box 35, FI-40014, Jyvaskyla, Finland",,Finland,,,
,Hadi Ghanbari,Male,"Aalto University School of Business, Ekonominaukio 1, 02510, Espoo, Finland; FinEst Twins Smart City Center of Excellence, TalTech, Estonia",,"Finland, Estonia",,,
Comparison of search strategies for feature location in software models,Jorge EcheverrÃ­a,Male,"Universidad San Jorge, SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",TRUE,Spain,1,0,0
,Jaime Font,Male,"Universidad San Jorge, SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",,Spain,,,
,Francisca PÃ©rez,Female,"Universidad San Jorge, SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",,Spain,,,
,Carlos Cetina,Male,"Universidad San Jorge, SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",,Spain,,,
Learning software configuration spaces: A systematic literature review,Juliana Alves Pereira,Female,"Univ Rennes, Inria, CNRS, IRISA, France",FALSE,France,0,0,1
,Mathieu Acher,Male,"Univ Rennes, Inria, CNRS, IRISA, France",,France,,,
,Hugo Martin,Male,"Univ Rennes, Inria, CNRS, IRISA, France",,France,,,
,Jean-Marc JÃ©zÃ©quel,Male,"Univ Rennes, Inria, CNRS, IRISA, France",,France,,,
,Goetz Botterweck,Male,"Trinity College Dublin, Leroâ€“The Irish Software Research Centre, Ireland",,Ireland,,,
,Anthony Ventresque,Male,"University College Dublin, Ireland",,Ireland,,,
The ratio of equivalent mutants: A key to analyzing mutation equivalence,Imen Marsit,Female,"University of Sousse, Tunisia",FALSE,Tunisia,0,0,1
,Amani Ayad,Female,"SUNY Farmingdale, NY, USA",,USA,,,
,David Kim,Male,"NJIT, Newark, NJ, USA",,USA,,,
,Monsour Latif,Male,"NJIT, Newark, NJ, USA",,USA,,,
,JiMeng Loh,Male,"NJIT, Newark, NJ, USA",,USA,,,
,Mohamed Nazih Omri,Male,"University of Sousse, Tunisia",,Tunisia,,,
,Ali Mili,Male,"NJIT, Newark, NJ, USA",,USA,,,
Automated refactoring of legacy JavaScript code to ES6 modules,Katerina Paltoglou,Female,"Department of Informatics, Athens University of Economics and Business, Athens, Greece",TRUE,Greece,1,0,0
,Vassilis E. Zafeiris,Male,"Department of Informatics, Athens University of Economics and Business, Athens, Greece",,Greece,,,
,N.A. Diamantidis,Male,"Department of Informatics, Athens University of Economics and Business, Athens, Greece",,Greece,,,
,E.A. Giakoumakis,Male,"Department of Informatics, Athens University of Economics and Business, Athens, Greece",,Greece,,,
How to identify class comment types? A multi-language approach for class comment classification,Pooja Rani,Female,"Software Composition Group, University of Bern, Switzerland",TRUE,Switzerland,0,0,1
,Sebastiano Panichella,Male,"Zurich University of Applied Science, Switzerland",,Switzerland,,,
,Manuel Leuenberger,Male,"Software Composition Group, University of Bern, Switzerland",,Switzerland,,,
,Andrea Di Sorbo,Male,"Department of Engineering, University of Sannio, Italy",,Italy,,,
,Oscar Nierstrasz,Male,"Software Composition Group, University of Bern, Switzerland",,Switzerland,,,
"Architecture information communication in two OSS projects: The why, who, when, and what",Tingting Bi,Female,"School of Computer Science, Wuhan University, 430072 Wuhan, China",TRUE,China,0,0,1
,Wei Ding,Male,"Key Laboratory of Earthquake Geodesy, Institute of Seismology, China Earthquake Administration, China",,China,,,
,Peng Liang,Male,"School of Computer Science, Wuhan University, 430072 Wuhan, China",,China,,,
,Antony Tang,Male,"Faculty of Science, Engineering and Technology, Swinburne University of Technology, VIC 3122 Melbourne, Australia",,Australia,,,
ARTINALI++: Multi-dimensional Specification Mining for Complex Cyber-Physical System Security,Maryam Raiyat Aliabadi,Female,"Faculty of Computer Science and Engineering, Shahid Beheshti University, Tehran, Iran",TRUE,Iran,1,0,0
,Mojtaba Vahidi Asl,Male,"Faculty of Computer Science and Engineering, Shahid Beheshti University, Tehran, Iran",,Iran,,,
,Ramak Ghavamizadeh,Male,"Faculty of Computer Science and Engineering, Shahid Beheshti University, Tehran, Iran",,Iran,,,
Deployment and communication patterns in microservice architectures: A systematic literature review,IÅŸÄ±l Karabey Aksakalli,Female,"Hacettepe University, Graduate School of Science and Engineering, Beytepe, Ankara, Turkey, Erzurum Technical University, Department of Computer Engineering, Turkey",FALSE,Turkey,0,0,1
,Turgay Ã‡elik,Male,"MilSOFT Software Technologies Corp, Turkey",,Turkey,,,
,Ahmet Burak Can,Male,"Hacettepe University, Department of Computer Engineering, Turkey",,Turkey,,,
,Bedir TekiÌ‡nerdoÄŸan,Male,"Wageningen University & Research, Information Technology, The Netherlands",,Netherlands,,,
Finding security threats that matter: Two industrial case studies,Katja Tuma,Female,"University of Gothenburg â€” Chalmers, Sweden",FALSE,Sweden,0,0,1
,Christian Sandberg,Male,"Volvo, Sweden",,Sweden,,,
,Urban Thorsson,Male,"Volvo, Sweden",,Sweden,,,
,Mathias Widman,Male,"Volvo, Sweden",,Sweden,,,
,Thomas Herpel,Male,"Zukunft Mobility, Germany",,Germany,,,
,Riccardo Scandariato,Male,"Hamburg University of Technology, Germany",,Germany,,,
Android code smells: From introduction to refactoring,Sarra Habchi,Female,"University of Luxembourg, Luxembourg",FALSE,Luxembourg,0,0,1
,Naouel Moha,Female,"Ã‰cole de Technologie SupÃ©rieure, Canada",,Canada,,,
,Romain Rouvoy,Male,"University of Lille / Inria / IUF, France",,France,,,
Application of agile methods in traditional logistics companies and logistics startups,Malena Zielske,Female,"Hamburg University of Applied Sciences, Hamburg, Germany, Lufthansa Industry Solutions GmbH & Co. KG, Norderstedt, Germany",TRUE,Germany,1,0,0
,Tobias Held,Male,"Hamburg University of Applied Sciences, Hamburg, Germany, Lufthansa Industry Solutions GmbH & Co. KG, Norderstedt, Germany",,Germany,,,
Multilayered review of safety approaches for machine learning-based systems in the days of AI,Sangeeta Dey,Female,"Department of Artificial Intelligence, Ajou University, Suwon City, 16499, Republic of Korea",TRUE,South Korea,0,1,0
,Seok-Won Lee,Male,"Department of Artificial Intelligence, Ajou University, Suwon City, 16499, Republic of Korea, Department of Software and Computer Engineering, Ajou University, Suwon City, 16499, Republic of Korea",,South Korea,,,
"The symptoms, causes, and repairs of bugs inside a deep learning library",Li Jia,Female,"Shanghai Jiao Tong University, Shanghai 200240, China",TRUE,China,0,0,1
,Hao Zhong,Male,"Shanghai Jiao Tong University, Shanghai 200240, China",,China,,,
,Xiaoyin Wang,Female,"University of Texas at San Antonio, TX, USA",,USA,,,
,Linpeng Huang,Male,"Shanghai Jiao Tong University, Shanghai 200240, China",,China,,,
,Xuansheng Lu,Male,"Shanghai Jiao Tong University, Shanghai 200240, China",,China,,,
"A systematic literature review of blockchain and smart contract development: Techniques, tools, and open challenges",Anna Vacca,Female,"Department of Engineering, University of Sannio, Italy",TRUE,Italy,1,0,0
,Andrea Di Sorbo,Male,"Department of Engineering, University of Sannio, Italy",,Italy,,,
,Corrado A. Visaggio,Male,"Department of Engineering, University of Sannio, Italy",,Italy,,,
,Gerardo Canfora,Male,"Department of Engineering, University of Sannio, Italy",,Italy,,,
A family of experiments to generate graphical user interfaces from BPMN models with stereotypes,Eduardo DÃ­az,Male,"Escola TÃ¨cnica Superior dâ€™Enginyeria, Departament dâ€™InformÃ tica, Universitat de ValÃ¨ncia, Burjassot, ValÃ¨ncia, Spain",TRUE,Spain,0,0,1
,JosÃ© Ignacio Panach,Male,"Escola TÃ¨cnica Superior dâ€™Enginyeria, Departament dâ€™InformÃ tica, Universitat de ValÃ¨ncia, Burjassot, ValÃ¨ncia, Spain",,Spain,,,
,Silvia Rueda,Female,"Escola TÃ¨cnica Superior dâ€™Enginyeria, Departament dâ€™InformÃ tica, Universitat de ValÃ¨ncia, Burjassot, ValÃ¨ncia, Spain",,Spain,,,
,Damiano Distante,Male,"University of Rome Unitelma Sapienza, Viale Regina Elena, Rome, Italy",,Italy,,,
Signal-Based Properties of Cyber-Physical Systems: Taxonomy and Logic-based Characterization,Chaima Boufaied,Female,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg",FALSE,Luxembourg,0,0,1
,Maris Jukss,Male,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg",,Luxembourg,,,
,Domenico Bianculli,Male,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg, School of EECS, University of Ottawa, Canada",,"Luxembourg, Canada",,,
,Lionel Claude Briand,Male,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg, School of EECS, University of Ottawa, Canada",,"Luxembourg, Canada",,,
,Yago Isasi Parache,Male,"LuxSpace SÃ rl, Luxembourg",,Luxembourg,,,
A comprehensive comparative study of clustering-based unsupervised defect prediction models,Zhou Xu,Male,"Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), Ministry of Education, China, School of Big Data and Software Engineering, Chongqing University, Chongqing, China",TRUE,China,0,0,1
,Li Li,Female,"Faculty of Information Technology, Monash University, Australia",,Australia,,,
,Meng Yan,Male,"Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), Ministry of Education, China, School of Big Data and Software Engineering, Chongqing University, Chongqing, China",,China,,,
,Jin Liu,Male,"School of Computer Science, Wuhan University, Wuhan, China",,China,,,
,Xiapu Luo,Male,"Department of Computing, The Hong Kong Polytechnic University, Hong Kong, China",,Hong Kong,,,
,John Grundy,Male,"Faculty of Information Technology, Monash University, Australia",,Australia,,,
,Yifeng Zhang,Male,"School of Computer Science, Wuhan University, Wuhan, China",,China,,,
,Xiaohong Zhang,Female,"Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), Ministry of Education, China, School of Big Data and Software Engineering, Chongqing University, Chongqing, China",,China,,,
How are issue reports discussed in Gitter chat rooms?,Hareem Sahar,Female,"University of Alberta, Edmonton, Canada",TRUE,Canada,1,0,0
,Abram Hindle,Male,"University of Alberta, Edmonton, Canada",,Canada,,,
,Cor-Paul Bezemer,Male,"University of Alberta, Edmonton, Canada",,Canada,,,
Convolutional neural networks for enhanced classification mechanisms of metamodels,Phuong T. Nguyen,Female,"UniversitÃ degli studi dellâ€™Aquila, 67100 Lâ€™Aquila, Italy",TRUE,Italy,0,1,0
,Davide Di Ruscio,Male,"UniversitÃ degli studi dellâ€™Aquila, 67100 Lâ€™Aquila, Italy",,Italy,,,
,Alfonso Pierantonio,Male,"UniversitÃ degli studi dellâ€™Aquila, 67100 Lâ€™Aquila, Italy",,Italy,,,
,Juri Di Rocco,Male,"UniversitÃ degli studi dellâ€™Aquila, 67100 Lâ€™Aquila, Italy",,Italy,,,
,Ludovico Iovino,Male,"Gran Sasso Science Institute, Italy",,Italy,,,
An automated model-based approach to repair test suites of evolving web applications,Javaria Imtiaz,Female,"Quest Lab, Department of Computer Science, National University of Computer and Emerging Sciences, Islamabad, Pakistan",FALSE,Pakistan,0,1,0
,Muhammad Zohaib Iqbal,Male,"UAV Dependability Lab, National Center of Robotics and Automation (NCRA), Islamabad, Pakistan",,Pakistan,,,
,Muhammad Uzair Khan,Male,"UAV Dependability Lab, National Center of Robotics and Automation (NCRA), Islamabad, Pakistan",,Pakistan,,,
Does code quality affect pull request acceptance? An empirical study,Valentina Lenarduzzi,Female,"LUT University, Lahti, Finland",TRUE,Finland,0,1,0
,Vili Nikkola,Male,"Tampere University, Tampere, Finland",,Finland,,,
,Nyyti SaarimÃ¤ki,Female,"Tampere University, Tampere, Finland",,Finland,,,
,Davide Taibi,Male,"Tampere University, Tampere, Finland",,Finland,,,
A critical review on the evaluation of automated program repair systems,Kui Liu,Male,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, China",TRUE,China,0,0,1
,Li Li,Female,"Faculty of Information Technology, Monash University, Australia",,Australia,,,
,Anil Koyuncu,Male,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg",,Luxembourg,,,
,Dongsun Kim,Male,"School of Computer Science and Engineering, Kyungpook National University, South Korea",,South Korea,,,
,Zhe Liu,Male,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, China",,China,,,
,Jacques Klein,Male,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg",,Luxembourg,,,
,TegawendÃ© F. BissyandÃ©,Male,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg, Luxembourg",,Luxembourg,,,
An evolutionary approach for generating software models: The case of Kromaia in Game Software Engineering,Daniel Blasco,Male,"Universidad San Jorge. SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",TRUE,Spain,1,0,0
,Jaime Font,Male,"Universidad San Jorge. SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",,Spain,,,
,Mar Zamorano,Female,"Universidad San Jorge. SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",,Spain,,,
,Carlos Cetina,Male,"Universidad San Jorge. SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",,Spain,,,
Product metrics for spreadsheetsâ€”A systematic review,Birgit Hofer,Female,"Department of Software Engineering, Graz University of Technology, Austria",TRUE,Austria,0,1,0
,Dietmar Jannach,Male,"Department of Computer Science, University of Klagenfurt, Austria",,Austria,,,
