Paper Title,Author Name,Gender,Affiliation,Industrial/Institutional,local_Contribution?,national_collaboration?,International_collaboration?
Cost-efficient dynamic scheduling of big data applications in apache spark on cloud,Muhammed Tawfiqul Islam,Male,"Cloud Computing and Distributed Systems (CLOUDS) Laboratory, School of Computing and Information Systems, The University of Melbourne",TRUE,0,0,1
,Satish Narayana Srirama,Male,"Cloud Computing and Distributed Systems (CLOUDS) Laboratory, The University of Melbourne; Mobile & Cloud Lab, Institute of Computer Science, University of Tartu",,,,
,Shanika Karunasekera,Female,"Cloud Computing and Distributed Systems (CLOUDS) Laboratory, School of Computing and Information Systems, The University of Melbourne",,,,
,Rajkumar Buyya,Male,"Cloud Computing and Distributed Systems (CLOUDS) Laboratory, School of Computing and Information Systems, The University of Melbourne",,,,
An Android application risk evaluation framework based on minimum permission set identification,Jianmao Xiao,Male,"College of Intelligence and Computing, Tianjin University, Tianjin, China",TRUE,0,0,1
,Shizhan Chen,Male,"College of Intelligence and Computing, Tianjin University, Tianjin, China",,,,
,Qiang He,Male,"School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, VIC 3122, Australia",,,,
,Zhiyong Feng,Male,"College of Intelligence and Computing, Tianjin University, Tianjin, China",,,,
,Xiao Xue,Female,"College of Intelligence and Computing, Tianjin University, Tianjin, China",,,,
LAURA architecture: Towards a simpler way of building situation-aware and business-aware IoT applications,Sergio Teixeira,Male,"Universidade Federal do EspÃ­rito Santo (UFES), Centro UniversitÃ¡rio CatÃ³lico de VitÃ³ria (UCV)",FALSE,0,1,0
,Bruno Alves Agrizzi,Male,Universidade Federal do EspÃ­rito Santo (UFES),,,,
,JosÃ© GonÃ§alves Pereira Filho,Male,Universidade Federal do EspÃ­rito Santo (UFES),,,,
,Silvana Rossetto,Female,Universidade Federal do Rio de Janeiro (UFRJ),,,,
,Isaac SimÃµes AraÃºjo Pereira,Male,Universidade Federal do EspÃ­rito Santo (UFES),,,,
,PatrÃ­cia Dockhorn Costa,Female,Universidade Federal do EspÃ­rito Santo (UFES),,,,
,Adriano Francisco Branco,Male,PontifÃ­cia Universidade CatÃ³lica do Rio de Janeiro (PUC-Rio),,,,
,Ruan Rocha Martinelli,Male,Universidade Federal do EspÃ­rito Santo (UFES),,,,
A model-driven approach for the development of native mobile applications focusing on the data layer,Manuel NÃºÃ±ez,Male,"Department of Electronics and Computer Science Engineering (DEI), Catholic University â€Nuestra SeÃ±ora de la AsunciÃ³nâ€",TRUE,1,0,0
,Daniel Bonhaure,Male,"Department of Electronics and Computer Science Engineering (DEI), Catholic University â€Nuestra SeÃ±ora de la AsunciÃ³nâ€",,,,
,MagalÃ­ GonzÃ¡lez,Female,"Department of Electronics and Computer Science Engineering (DEI), Catholic University â€Nuestra SeÃ±ora de la AsunciÃ³nâ€",,,,
,Luca Cernuzzi,Male,"Department of Electronics and Computer Science Engineering (DEI), Catholic University â€Nuestra SeÃ±ora de la AsunciÃ³nâ€",,,,
A framework for pervasive computing applications based on smart objects...,Christos Goumopoulos,Male,"Department of Information & Communication Systems Engineering, University of the Aegean; Computer Technology Institute and Press, Diophantus, Patras",TRUE,0,1,0
,Irene Mavrommati,Female,"Hellenic Open University, School of Applied Arts",,,,
ThermoSim: Deep learning based framework for modeling and simulation of thermal-aware resource management for cloud computing environments,Sukhpal Singh Gill,Male,"Queen Mary University of London, Cloud Computing and Distributed Systems (CLOUDS) Laboratory, The University of Melbourne",TRUE,0,0,1
,Shreshth Tuli,Male,Indian Institute of Technology (IIT) Delhi,,,,
,Adel Nadjaran Toosi,Male,Monash University,,,,
,Felix Cuadrado,Male,"Queen Mary University of London, Technical University of Madrid (UPM)",,,,
,Peter Garraghan,Male,Lancaster University,,,,
,Rami Bahsoon,Male,University of Birmingham,,,,
,Hanan Lutfiyya,Female,University of Western Ontario,,,,
,Rizos Sakellariou,Male,University of Manchester,,,,
,Omer Rana,Male,Cardiff University,,,,
,Schahram Dustdar,Male,Vienna University of Technology,,,,
,Rajkumar Buyya,Male,"Cloud Computing and Distributed Systems (CLOUDS) Laboratory, The University of Melbourne",,,,
,Apostolos Ampatzoglou,Male,"Department of Applied Informatics, University of Macedonia",,,,
,Antonios Gkortzis,Male,"Department of Management Science and Technology, Athens University of Economics and Business",,,,
,Stamatia Bibi,Female,"Department of Informatics and Telecommunications, University of Western Macedonia",,,,
,Alexander Chatzigeorgiou,Male,"Department of Applied Informatics, University of Macedonia",,,,
Automated defect identification via path analysis-based features with transfer learning,Yuwei Zhang,Male,"State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunications",TRUE,0,1,0
,Dahai Jin,Male,"State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunications",,,,
,Ying Xing,Female,"Automation School, Beijing University of Posts and Telecommunications",,,,
,Yunzhan Gong,Male,"State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunications",,,,
A systematic mapping study of developer social network research,Steffen Herbold,Male,"Institute of Computer Science, University of Goettingen, Germany",TRUE,1,0,0
,Aynur Amirfallah,Female,"Institute of Computer Science, University of Goettingen, Germany",,,,
,Fabian Trautsch,Male,"Institute of Computer Science, University of Goettingen, Germany",,,,
,Jens Grabowski,Male,"Institute of Computer Science, University of Goettingen, Germany",,,,
Exploring the intersection between software industry and Software Engineering education - A systematic mapping of Software Engineering Trends,Orges Cico,Male,"Department of Computer Science, Norwegian University of Science and Technology, Trondheim, Norway",TRUE,0,0,1
,Letizia Jaccheri,Female,"Department of Computer Science, Norwegian University of Science and Technology, Trondheim, Norway",,,,
,Anh Nguyen-Duc,Male,"Department of Business and IT, USN School of Business, BÃ¸ i Telemark, Norway",,,,
,He Zhang,Male,"DevOps+ Research Laboratory, Nanjing University, China",,,,
SWFC-ART: A cost-effective approach for Fixed-Size-Candidate-Set Adaptive Random Testing through small world graphs,Muhammad Ashfaq,Male,"School of Computer Science and Communication Engineering, Jiangsu University, Jiangsu 212013, China",FALSE,0,0,1
,Rubing Huang,Female,"School of Computer Science and Communication Engineering, Jiangsu University, Jiangsu 212013, China",,,,
,Dave Towey,Male,"School of Computer Science, University of Nottingham Ningbo, Zhejiang 315100, China",,,,
,Michael Omari,Male,"Department of Computer Science, Takoradi Technical University, Western Region 23321, Ghana",,,,
,Dmitry Yashunin,Male,"Harman X, Nizhny Novgorod Oblast 603105, Russia",,,,
,Patrick Kwaku Kudjo,Male,"University of Professional Studies, Greater Accra Region 00233, Ghana",,,,
,Tao Zhang,Male,"Faculty of Information Technology, Macau University of Science and Technology, Macau 999078, China",,,,
"Error messages in relational database management systems: A comparison of effectiveness, usefulness, and user confidence",Toni Taipalus,Male,"Faculty of Information Technology, University of Jyvaskyla, P.O. Box 35, FI-40014, Jyvaskyla, Finland",TRUE,0,0,1
,Hilkka Grahn,Female,"Faculty of Information Technology, University of Jyvaskyla, P.O. Box 35, FI-40014, Jyvaskyla, Finland",,,,
,Hadi Ghanbari,Male,"Aalto University School of Business, Ekonominaukio 1, 02510, Espoo, Finland; FinEst Twins Smart City Center of Excellence, TalTech, Estonia",,,,
A systematic mapping study on architectural smells detection,Haris Mumtaz,Male,"Department of Electrical, Computer, and Software Engineering, University of Auckland, New Zealand",TRUE,0,1,0
,Paramvir Singh,Male,"School of Computer Science, University of Auckland, New Zealand",,,,
,Kelly Blincoe,Female,"Department of Electrical, Computer, and Software Engineering, University of Auckland, New Zealand",,,,
Machine learning based success prediction for crowdsourcing software projects,Inam Illahi,Male,"School of Computer Science and Technology, Beijing Institute of Technology, Beijing 100081, China",TRUE,0,0,1
,Hui Liu,Female,"School of Computer Science and Technology, Beijing Institute of Technology, Beijing 100081, China",,,,
,Qasim Umer,Male,"School of Computer Science and Technology, Beijing Institute of Technology, Beijing 100081, China",,,,
,Nan Niu,Male,"Department of Electrical Engineering and Computer Science, University of Cincinnati, USA",,,,
"Can we benchmark Code Review studies? A systematic mapping study of methodology, dataset, and metric",Dong Wang,Male,"Nara Institute of Science and Technology, Japan",TRUE,1,0,0
,Yuki Ueda,Male,"Nara Institute of Science and Technology, Japan",,,,
,Raula Gaikovina Kula,Female,"Nara Institute of Science and Technology, Japan",,,,
,Takashi Ishio,Male,"Nara Institute of Science and Technology, Japan",,,,
,Kenichi Matsumoto,Male,"Nara Institute of Science and Technology, Japan",,,,
The role of the project manager in agile software development projects,Yogeshwar Shastri,Male,"School of Computing, Eastern Institute of Technology, New Zealand",TRUE,0,0,1
,Rashina Hoda,Female,"Faculty of Information Technology, Monash University, Australia",,,,
,Robert Amor,Male,"School of Computer Science, University of Auckland, New Zealand",,,,
Comparison of search strategies for feature location in software models,Jorge EcheverrÃ­a,Male,"Universidad San Jorge, SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",TRUE,1,0,0
,Jaime Font,Male,"Universidad San Jorge, SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",,,,
,Francisca PÃ©rez,Female,"Universidad San Jorge, SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",,,,
,Carlos Cetina,Male,"Universidad San Jorge, SVIT Research Group, AutovÃ­a A-23 Zaragoza-Huesca Km.299, 50830, Zaragoza, Spain",,,,
Initiatives and challenges of using gamification in software engineering: A Systematic Mapping,Daniel de Paula Porto,Male,"Computing Department â€“ Federal University of SÃ£o Carlos, Brazil",TRUE,1,0,0
,Gabriela Martins de Jesus,Female,"Computing Department â€“ Federal University of SÃ£o Carlos, Brazil",,,,
,Fabiano Cutigi Ferrari,Male,"Computing Department â€“ Federal University of SÃ£o Carlos, Brazil",,,,
,Sandra Camargo Pinto Ferraz Fabbri,Female,"Computing Department â€“ Federal University of SÃ£o Carlos, Brazil",,,,
Data correction and evolution analysis of the ProgrammableWeb service ecosystem,Mingyi Liu,Male,"Faculty of Computing, Harbin Institute of Technology, Harbin, China",TRUE,0,0,1
,Zhiying Tu,Female,"School of Computer Science and Technology, Harbin Institute of Technology, Weihai, China",,,,
,Yeqi Zhu,Male,"Faculty of Computing, Harbin Institute of Technology, Harbin, China",,,,
,Xiaofei Xu,Male,"Faculty of Computing, Harbin Institute of Technology, Harbin, China",,,,
,Zhongjie Wang,Male,"Faculty of Computing, Harbin Institute of Technology, Harbin, China",,,,
,Quan Z. Sheng,Male,"Department of Computing, Macquarie University, Sydney, NSW, Australia",,,,
A formal approach for the analysis of BPMN collaboration models,Flavio Corradini,Male,"University of Camerino, Via Madonna delle Carceri 7, 62032 Camerino, Italy",TRUE,0,0,1
,Fabrizio Fornari,Male,"University of Camerino, Via Madonna delle Carceri 7, 62032 Camerino, Italy",,,,
,Andrea Polini,Male,"University of Camerino, Via Madonna delle Carceri 7, 62032 Camerino, Italy",,,,
,Barbara Re,Female,"University of Camerino, Via Madonna delle Carceri 7, 62032 Camerino, Italy",,,,
,Francesco Tiezzi,Male,"University of Camerino, Via Madonna delle Carceri 7, 62032 Camerino, Italy",,,,
,Andrea Vandin,Male,"Santâ€™Anna School of Advanced Studies, Piazza Martiri della LibertÃ 33, 56127 Pisa, Italy, DTU Technical University of Denmark, Anker Engelunds Vej 1, 2800 Lyngby, Denmark",,,,
Hippo: A formal-model execution engine to control and verify critical real-time systems,Pierre-Emmanuel Hladik,Male,"LAAS-CNRS, UniversitÃ© de Toulouse, CNRS, INSA, Toulouse, France",TRUE,1,0,0
,FÃ©lix Ingrand,Male,"LAAS-CNRS, UniversitÃ© de Toulouse, CNRS, INSA, Toulouse, France",,,,
,Silvano Dal Zilio,Male,"LAAS-CNRS, UniversitÃ© de Toulouse, CNRS, INSA, Toulouse, France",,,,
,Reyyan Tekin,Female,"LAAS-CNRS, UniversitÃ© de Toulouse, CNRS, INSA, Toulouse, France",,,,
Automated identification of security discussions in microservices systems: Industrial surveys and experiments,Ali Rezaei Nasab,Male,"School of Computer Science, Wuhan University, 430072 Wuhan, China",TRUE,0,0,1
,Mojtaba Shahin,Male,"Department of Software Systems and Cybersecurity, Faculty of IT, Monash University, 3800 Melbourne, Australia",,,,
,Peng Liang,Male,"School of Computer Science, Wuhan University, 430072 Wuhan, China",,,,
,Mohammad Ehsan Basiri,Male,"Department of Computer Engineering, Shahrekord University, 64165478 Shahrekord, Iran",,,,
,Seyed Ali Hoseyni Raviz,Male,"School of Computer Science, Wuhan University, 430072 Wuhan, China",,,,
,Hourieh Khalajzadeh,Female,"Department of Software Systems and Cybersecurity, Faculty of IT, Monash University, 3800 Melbourne, Australia",,,,
,Muhammad Waseem,Male,"School of Computer Science, Wuhan University, 430072 Wuhan, China",,,,
,Amineh Naseri,Female,"Department of Computer Engineering, Sirjan University of Technology, 7813733385 Sirjan, Iran",,,,
Investigating and recommending co-changed entities for JavaScript programs,Zijian Jiang,Male,"Virginia Polytechnic Institute and State University, Blacksburg VA 24060, USA",TRUE,0,0,1
,Hao Zhong,Male,"Shanghai Jiao Tong University, Shanghai 200240, China",,,,
,Na Meng,Female,"Virginia Polytechnic Institute and State University, Blacksburg VA 24060, USA",,,,
Software defect prediction based on enhanced metaheuristic feature selection optimization and a hybrid deep neural network,Kun Zhu,Male,"School of Computer Science, Wuhan University, China",TRUE,0,1,0
,Shi Ying,Female,"School of Computer Science, Wuhan University, China",,,,
,Nana Zhang,Female,"School of Computer Science, Wuhan University, China",,,,
,Dandan Zhu,Male,"Artificial Intelligence Institute, Shanghai Jiaotong University, China",,,,
Tuning configuration of Apache Spark on public clouds by combining multi-objective optimization and performance prediction model,Guoli Cheng,Male,"School of Computer Science, Wuhan University, Bayi Road 299, Wuhan, China",TRUE,1,0,0
,Shi Ying,Female,"School of Computer Science, Wuhan University, Bayi Road 299, Wuhan, China",,,,
,Bingming Wang,Male,"School of Computer Science, Wuhan University, Bayi Road 299, Wuhan, China",,,,
Model-based testing in practice: An experience report from the web applications domain,Vahid Garousi,Male,"Queenâ€™s University Belfast, UK",FALSE,0,0,1
,Alper BuÄŸra KeleÅŸ,Male,"Testinium A.Åž., Istanbul, Turkey",,,,
,Yunus Balaman,Male,"Testinium A.Åž., Istanbul, Turkey",,,,
,Zeynep Ã–zdemir GÃ¼ler,Female,"Testinium A.Åž., Istanbul, Turkey",,,,
,Andrea Arcuri,Male,"Kristiania University College, Norway",,,,
Understanding the perceived relevance of capability measures: A survey of Agile Software Development practitioners,Sai Datta Vishnubhotla,Male,"Department of Computer Science, BTH - Blekinge Tekniska HÃ¶gskola, Sweden",FALSE,1,0,0
,Emilia Mendes,Female,"Department of Computer Science, BTH - Blekinge Tekniska HÃ¶gskola, Sweden",,,,
,Lars Lundberg,Male,"Department of Computer Science, BTH - Blekinge Tekniska HÃ¶gskola, Sweden",,,,
Mining guidelines for architecting robotics software,Ivano Malavolta,Male,"Vrije Universiteit Amsterdam, The Netherlands, Chalmers University of Technology, Sweden",TRUE,0,0,1
,Grace A. Lewis,Female,"Software Engineering Institute, Carnegie Mellon University, PA, USA",,,,
,Bradley Schmerl,Male,"Institute for Software Research, Carnegie Mellon University, PA, USA",,,,
,Patricia Lago,Female,"Vrije Universiteit Amsterdam, The Netherlands, Chalmers University of Technology, Sweden",,,,
,David Garlan,Male,"Institute for Software Research, Carnegie Mellon University, PA, USA",,,,
System quality and security certification in seven weeks: A multi-case study in Spanish SMEs,Domingo Gaitero,Male,"Proceso Social, c/ Julio Palacios 17, 28029, Madrid, Spain",FALSE,0,1,0
,Marcela Genero,Female,"Information Technology and Systems Institute, University of Castilla-La Mancha, Paseo de la Universidad, 4, Ciudad Real, Spain",,,,
,Mario Piattini,Male,"Information Technology and Systems Institute, University of Castilla-La Mancha, Paseo de la Universidad, 4, Ciudad Real, Spain",,,,
Digging into group establishment: Intervention design and evaluation,Ville IsomÃ¶ttÃ¶nen,Male,"Faculty of Information Technology, University of JyvÃ¤skylÃ¤, JyvÃ¤skylÃ¤, Finland",TRUE,1,0,0
,Emmi Ritvos,Female,"Faculty of Information Technology, University of JyvÃ¤skylÃ¤, JyvÃ¤skylÃ¤, Finland",,,,
Evaluating the effectiveness of risk containers to isolate change propagation,Andrew Leigh,Male,"The Open University, Computing and Communications Department, Milton Keynes, MK7 6AA, United Kingdom",TRUE,1,0,0
,Michel Wermelinger,Male,"The Open University, Computing and Communications Department, Milton Keynes, MK7 6AA, United Kingdom",,,,
,Andrea Zisman,Female,"The Open University, Computing and Communications Department, Milton Keynes, MK7 6AA, United Kingdom",,,,
Tigris: A DSL and framework for monitoring software systems at runtime,Jhonny Mertz,Male,"Universidade Federal do Rio Grande do Sul (UFRGS), Instituto de InformÃ¡tica, Porto Alegre, Brazil",TRUE,1,0,0
,Ingrid Nunes,Female,"Universidade Federal do Rio Grande do Sul (UFRGS), Instituto de InformÃ¡tica, Porto Alegre, Brazil",,,,
A family of experiments to generate graphical user interfaces from BPMN models with stereotypes,Eduardo DÃ­az,Male,"Escola TÃ¨cnica Superior dâ€™Enginyeria, Departament dâ€™InformÃ tica, Universitat de ValÃ¨ncia, Burjassot, ValÃ¨ncia, Spain",TRUE,0,0,1
,JosÃ© Ignacio Panach,Male,"Escola TÃ¨cnica Superior dâ€™Enginyeria, Departament dâ€™InformÃ tica, Universitat de ValÃ¨ncia, Burjassot, ValÃ¨ncia, Spain",,,,
,Silvia Rueda,Female,"Escola TÃ¨cnica Superior dâ€™Enginyeria, Departament dâ€™InformÃ tica, Universitat de ValÃ¨ncia, Burjassot, ValÃ¨ncia, Spain",,,,
,Damiano Distante,Male,"University of Rome Unitelma Sapienza, Viale Regina Elena, Rome, Italy",,,,
A comprehensive comparative study of clustering-based unsupervised defect prediction models,Zhou Xu,Male,"Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), Ministry of Education, China, School of Big Data and Software Engineering, Chongqing University, Chongqing, China",TRUE,0,0,1
