Paper Title,Gender,Total Authors,Female Authors,Study Domain Terms,,Study_Area,Study_Area2,Author Name,gender_annotation,Affiliation,Country,lead?,local_Contribution?,national_collaboration?,International_collaboration?,Conceptualization,FemaleConCep,MaleConCep,Data Curation,Female,Male,Formal Analysis,Female,Male,Funding Acquisition,Investigation,Methodology,Project Administration,Resources,Software,Supervision,FemaleSup,MaleSup,Validation,Visualization,Writing â€“ Original Draft,Writing â€“ Review & Editing,FemaleLead,MaleLead
,Female,,,,[title]  [keywords],,,Marie Platenius-Mohr,1,"ABB Corporate Research Center Germany, Wallstadter Str. 59, D-68526 Ladenburg, Germany",Germany,,,,,1,1,0,0,0,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
,Male,,,,[title]  [keywords],,,Raoul Jetley,0,"ABB Corporate Research, Bhoruka Tech Park, ITPL Main Rd, Mahadevapura, Bengaluru, Karnataka 560048, India",India,,,,,1,0,1,0,0,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
The effect of transactive memory systems on process tailoring in software projects: The moderating role of task conflict and shared temporal cognitions,Male,3,1,Software Process Tailoring; Transactive Memory Systems; Task Conflict; Temporal Cognitions; Team Performance,[title] The effect of transactive memory systems on process tailoring in software projects: The moderating role of task conflict and shared temporal cognitions [keywords]  Software Process Tailoring; Transactive Memory Systems; Task Conflict; Temporal Cognitions; Team Performance,Human factors and management concerns of software development,,Jung-Chieh Lee,0,"International Business Faculty, Beijing Normal University Zhuhai",China,0,0,0,1,1,0,1,1,0,,0,,,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1
,Female,,,,[title]  [keywords],,,Yih-Tsyr Wang,1,"Department of Information Management, National Central University",Taiwan,,,,,1,1,0,0,0,,0,,,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
,Male,,,,[title]  [keywords],,,Chung-Yang Chen,0,"Department of Information Management, National Central University",Taiwan,,,,,1,0,1,1,0,,0,,,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0
Generating summaries for methods of event-driven programs: An Android case study,Male,3,1,Source Code Summarization; Event-driven Programs; Deep Neural Networks; Dynamic Call Graphs; Android Development,[title] Generating summaries for methods of event-driven programs: An Android case study [keywords]  Source Code Summarization; Event-driven Programs; Deep Neural Networks; Dynamic Call Graphs; Android Development,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution.",,Alireza Aghamohammadi,0,"Department of Computer Engineering, Sharif University of Technology",Iran,0,1,1,0,1,0,1,0,0,,1,,,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
,Female,,,,[title]  [keywords],,,Maliheh Izadi,1,"Department of Computer Engineering, Sharif University of Technology",Iran,,,,,1,1,0,0,0,,1,,,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
,Male,,,,[title]  [keywords],,,Abbas Heydarnoori,0,"Department of Computer Engineering, Sharif University of Technology",Iran,,,,,0,0,0,0,0,,0,,,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0
A systematic study of reward for reinforcement learning based continuous integration testing,Male,4,2,Reinforcement Learning; Continuous Integration Testing; Test Case Prioritization; Reward Functions; Software Testing,[title] A systematic study of reward for reinforcement learning based continuous integration testing [keywords]  Reinforcement Learning; Continuous Integration Testing; Test Case Prioritization; Reward Functions; Software Testing,"Artificial Intelligence, data analytics and big data applied in software engineering","DevOps, continuous integration, build and test automation",Yang Yang,0,"College of Information Science and Technology, Beijing University of Chemical Technology",China,0,1,1,0,0,0,0,0,0,,0,,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
,Male,,,,[title]  [keywords],,,Zheng Li,0,"College of Information Science and Technology, Beijing University of Chemical Technology",China,,,,,1,0,1,0,0,,0,,,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
,Female,,,,[title]  [keywords],,,Liuliu He,1,"College of Information Science and Technology, Beijing University of Chemical Technology",China,,,,,0,0,0,1,1,,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Female,,,,[title]  [keywords],,,Ruilian Zhao,1,"College of Information Science and Technology, Beijing University of Chemical Technology",China,,,,,0,0,0,0,0,,1,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Integrating UX work with agile development through user stories: An action research study in a small software company,Female,3,1,UX Integration; Agile Development; Software-as-a-Service (SaaS); User Stories; Action Research,[title] Integrating UX work with agile development through user stories: An action research study in a small software company [keywords]  UX Integration; Agile Development; Software-as-a-Service (SaaS); User Stories; Action Research,Human factors and management concerns of software development,,Alisa Ananjeva,1,"Aalborg University, Computer Science, Denmark",Denmark,1,1,1,0,1,1,0,1,1,,1,,,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
,Male,,,,[title]  [keywords],,,John Stouby Persson,0,"Aalborg University, Computer Science, Denmark",Denmark,,,,,1,0,1,0,0,,0,,,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
,Male,,,,[title]  [keywords],,,Anders Bruun,0,"Aalborg University, Computer Science, Denmark",Denmark,,,,,1,0,1,0,0,,0,,,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
TagDC: A tag recommendation method for software information sites with a combination of deep learning and collaborative filtering,Male,4,1,Tag Recommendation Systems; Collaborative Filtering; Deep Learning; Software Information Sites; Software Object Understanding,[title] TagDC: A tag recommendation method for software information sites with a combination of deep learning and collaborative filtering [keywords]  Tag Recommendation Systems; Collaborative Filtering; Deep Learning; Software Information Sites; Software Object Understanding,,,Can Li,0,"School of Big Data & Software Engineering, Chongqing University",China,0,1,1,0,0,0,0,1,0,,0,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
,Female,,,,[title]  [keywords],,,Ling Xu,1,"School of Big Data & Software Engineering, Chongqing University",China,,,,,0,0,0,0,0,,0,,,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
,Male,,,,[title]  [keywords],,,Meng Yan,0,"School of Big Data & Software Engineering, Chongqing University",China,,,,,1,0,1,0,0,,1,,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,Male,,,,[title]  [keywords],,,Yan Lei,0,"School of Big Data & Software Engineering, Chongqing University",China,,,,,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Neural joint attention code search over structure embeddings for software Q&A sites,Male,5,3,Code Search; Neural Networks; Semantic Similarity; Bi-modal Embeddings; Software Q&A,[title] Neural joint attention code search over structure embeddings for software Q&A sites [keywords]  Code Search; Neural Networks; Semantic Similarity; Bi-modal Embeddings; Software Q&A,,,Gang Hu,0,"Department of National Engineering Research Center for Multimedia Software, Wuhan University",China,0,0,0,1,1,0,1,0,0,,0,,,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1
,Male,,,,[title]  [keywords],,,Min Peng,0,"Department of National Engineering Research Center for Multimedia Software, Wuhan University",China,,,,,0,0,0,0,0,,1,,,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0
,Female,,,,[title]  [keywords],,,Yihan Zhang,1,"School of Computing, National University of Singapore",Singapore,,,,,0,0,0,0,0,,1,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
,Female,,,,[title]  [keywords],,,Qianqian Xie,1,"Department of National Engineering Research Center for Multimedia Software, Wuhan University",China,,,,,0,0,0,1,1,,0,,,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
,Female,,,,[title]  [keywords],,,Mengting Yuan,1,"Department of National Engineering Research Center for Multimedia Software, Wuhan University",China,,,,,0,0,0,0,0,,1,,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Secondary studies in the academic context: A systematic mapping and survey,Female,5,4,Systematic Literature Review; Software Engineering; Secondary Studies; Research Methodology; Academic Research,[title] Secondary studies in the academic context: A systematic mapping and survey [keywords]  Systematic Literature Review; Software Engineering; Secondary Studies; Research Methodology; Academic Research,,,Katia Romero Felizardo,1,"Federal University of Technology - ParanÃ¡ (UTFPR), Brazil",Brazil,1,0,0,1,1,1,0,0,0,,1,,,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0
,Female,,,,[title]  [keywords],,,Ã‰rica Ferreira de Souza,1,"Federal University of Technology - ParanÃ¡ (UTFPR), Brazil",Brazil,,,,,1,1,0,0,0,,0,,,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
,Female,,,,[title]  [keywords],,,Bianca Minetto NapoleÃ£o,1,"Federal University of Technology - ParanÃ¡ (UTFPR), Brazil",Brazil,,,,,1,1,0,0,0,,0,,,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
,Male,,,,[title]  [keywords],,,Nandamudi Lankalapalli Vijaykumar,0,"National Institute for Space Research (INPE), Federal University of SÃ£o Paulo (Unifesp), Brazil",Brazil,,,,,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Female,,,,[title]  [keywords],,,Maria Teresa Baldassarre,1,"UniversitÃ  degli Studi di Bari Aldo Moro, Italy",Italy,,,,,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Black-box adversarial sample generation based on differential evolution,Male,4,1,Deep Neural Networks (DNNs); Adversarial Attacks; Differential Evolution; Robustness Testing; Black-box Attack Techniques,[title] Black-box adversarial sample generation based on differential evolution [keywords]  Deep Neural Networks (DNNs); Adversarial Attacks; Differential Evolution; Robustness Testing; Black-box Attack Techniques,,,Junyu Lin,0,"State Key Laboratory for Novel Software Technology, Nanjing University; Department of Computer Science and Technology, Nanjing University",China,0,0,0,1,1,0,1,0,0,,0,,,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
,Male,,,,[title]  [keywords],,,Lei Xu,0,"State Key Laboratory for Novel Software Technology, Nanjing University; Department of Computer Science and Technology, Nanjing University",China,,,,,0,0,0,0,0,,0,,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
,Female,,,,[title]  [keywords],,,Yingqi Liu,1,"Department of Computer Science, Purdue University",USA,,,,,0,0,0,0,0,,0,,,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
,Male,,,,[title]  [keywords],,,Xiangyu Zhang,0,"Department of Computer Science, Purdue University",USA,,,,,0,0,0,0,0,,0,,,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Scrum versus Rational Unified Process in facing the main challenges of product configuration systems development,Female,5,1,Product Configuration Systems; Mass Customization; Software Development; Agile Methodologies; Knowledge Management,[title] Scrum versus Rational Unified Process in facing the main challenges of product configuration systems development [keywords]  Product Configuration Systems; Mass Customization; Software Development; Agile Methodologies; Knowledge Management,,,Sara Shafiee,1,"Department of Mechanical Engineering, Technical University of Denmark",Denmark,1,0,0,1,1,1,0,0,0,,1,,,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0
,Male,,,,[title]  [keywords],,,Yves Wautelet,0,"Research Centre for Information Systems Engineering (LIRIS), KU Leuven",Belgium,,,,,1,0,1,0,0,,1,,,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0
,Male,,,,[title]  [keywords],,,Lars Hvam,0,"Department of Management Engineering, Technical University of Denmark",Denmark,,,,,1,0,1,0,0,,0,,,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0
,Male,,,,[title]  [keywords],,,Enrico Sandrin,0,"Department of Management and Engineering, University of Padova",Italy,,,,,1,0,1,0,0,,1,,,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
,Male,,,,[title]  [keywords],,,Cipriano Forza,0,"Department of Management and Engineering, University of Padova",Italy,,,,,0,0,0,0,0,,0,,,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Implementation relations and testing for cyclic systems with refusals and discrete time,Female,3,1,Cyclic System Modeling; Reactive Systems; Formal Methods; Implementation Relations; Discrete Time Testing,[title] Implementation relations and testing for cyclic systems with refusals and discrete time [keywords]  Cyclic System Modeling; Reactive Systems; Formal Methods; Implementation Relations; Discrete Time Testing,,,Raluca Lefticaru,1,"Department of Computer Science, University of Bradford, Bradford, UK",UK,1,0,0,1,0,0,0,0,0,,0,,,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0
,Male,,,,[title]  [keywords],,,Robert M. Hierons,0,"Department of Computer Science, The University of Sheffield, Sheffield, UK",UK,,,,,1,0,1,0,0,,0,,,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0
,Male,,,,[title]  [keywords],,,Manuel NÃºÃ±ez,0,"Design and Testing of Reliable Systems, Universidad Complutense de Madrid, Spain",Spain,,,,,0,0,0,0,0,,0,,,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0
Imbalanced metric learning for crashing fault residence prediction,Male,7,3,Software Fault Localization; Crash Data Analysis; Metric Learning; Imbalanced Learning; Debugging Automation,[title] Imbalanced metric learning for crashing fault residence prediction [keywords]  Software Fault Localization; Crash Data Analysis; Metric Learning; Imbalanced Learning; Debugging Automation,,,Zhou Xu,0,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University, College of Computer Science, Chongqing University",China,0,0,1,0,0,0,0,1,0,,0,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
,Male,,,,[title]  [keywords],,,Kunsong Zhao,0,"School of Computer Science, Wuhan University",China,,,,,0,0,0,0,0,,0,,,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
,Male,,,,[title]  [keywords],,,Meng Yan,0,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University, PengCheng Laboratory",China,,,,,0,0,0,0,0,,0,,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,Female,,,,[title]  [keywords],,,Peipei Yuan,1,"School of Electronic Information and Communications, Huazhong University of Science and Technology",China,,,,,1,1,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Female,,,,[title]  [keywords],,,Ling Xu,1,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University",China,,,,,0,0,0,0,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Male,,,,[title]  [keywords],,,Yan Lei,0,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University",China,,,,,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Female,,,,[title]  [keywords],,,Xiaohong Zhang,1,"Key Laboratory of Dependable Service Computing in Cyber Physical Society, Chongqing University",China,,,,,0,0,0,0,0,,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Vendor Switching: Factors that matter when engineers onboard their own replacement,Female,2,1,Offshore Outsourcing; Vendor Switching; Knowledge Transfer; Organizational Fit; Opportunistic Behavior,[title] Vendor Switching: Factors that matter when engineers onboard their own replacement [keywords]  Offshore Outsourcing; Vendor Switching; Knowledge Transfer; Organizational Fit; Opportunistic Behavior,,,Darja Smite,1,"Blekinge Institute of Technology, Karlskrona, Sweden",Sweden,1,0,0,1,1,1,0,1,1,,1,,,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
,Male,,,,[title]  [keywords],,,Nils Brede Moe,0,"SINTEF Digital, Trondheim, Norway",Norway,,,,,1,0,1,0,0,,0,,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Understanding coordination in global software engineering: A mixed-methods study on the use of meetings and Slack,Female,2,1,Global Software Engineering; Team Coordination; Collaboration Tools; Distributed Teams; Meetings Analysis,[title] Understanding coordination in global software engineering: A mixed-methods study on the use of meetings and Slack [keywords]  Global Software Engineering; Team Coordination; Collaboration Tools; Distributed Teams; Meetings Analysis,,,Viktoria Stray,1,"University of Oslo, Oslo, Norway; SINTEF Digital, Trondheim, Norway",Norway,1,0,1,0,1,1,0,1,1,,1,,,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
,Male,,,,[title]  [keywords],,,Nils Brede Moe,0,"SINTEF Digital, Trondheim, Norway",Norway,,,,,1,0,1,1,0,,1,,,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0
Examining the reuse potentials of IoT application frameworks,Female,3,2,IoT Systems; Framework Reusability; Component Reuse; Device Management; Software Quality,[title] Examining the reuse potentials of IoT application frameworks [keywords]  IoT Systems; Framework Reusability; Component Reuse; Device Management; Software Quality,,,Paraskevi Smiari,1,"University of Western Macedonia, Greece",Greece,1,0,0,1,1,1,0,1,1,,1,,,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0
,Female,,,,[title]  [keywords],,,Stamatia Bibi,1,"University of Western Macedonia, Greece",Greece,,,,,1,1,0,0,0,,0,,,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
,Male,,,,[title]  [keywords],,,Daniel Feitosa,0,"Data Research Centre, University of Groningen, The Netherlands",The Netherlands,,,,,1,0,1,0,0,,0,,,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Some SonarQube issues have a significant but small effect on faults and changes. A large-scale empirical study,Female,3,2,SonarQube Issues; Fault-proneness; Code Changes; Software Quality; Technical Debt,[title] Some SonarQube issues have a significant but small effect on faults and changes. A large-scale empirical study [keywords]  SonarQube Issues; Fault-proneness; Code Changes; Software Quality; Technical Debt,,,Valentina Lenarduzzi,1,"LUT University, Lahti, Finland",Finland,1,0,1,0,1,1,0,0,0,,0,,,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
,Female,,,,[title]  [keywords],,,Nyyti SaarimÃ¤ki,1,"Tampere University, Tampere, Finland",Finland,,,,,0,0,0,1,1,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Male,,,,[title]  [keywords],,,Davide Taibi,0,"Tampere University, Tampere, Finland",Finland,,,,,0,0,0,0,0,,0,,,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"On the generation, structure, and semantics of grammar patterns in source code identifiers",Male,7,2,Code Patterns; Identifier Naming; Source Code Analysis; Grammar Semantics; POS Tagging,"[title] On the generation, structure, and semantics of grammar patterns in source code identifiers [keywords]  Code Patterns; Identifier Naming; Source Code Analysis; Grammar Semantics; POS Tagging",,,Christian D. Newman,0,"Rochester Institute of Technology, Rochester, NY, USA",USA,0,0,0,1,1,0,1,1,0,,1,,,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1
,Female,,,,[title]  [keywords],,,Reem S. AlSuhaibani,1,"Kent State University, Kent, OH, USA; Prince Sultan University, Riyadh, Saudi Arabia","USA, Saudi Arabia",,,,,1,1,0,1,1,,0,,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
,Male,,,,[title]  [keywords],,,Michael J. Decker,0,"Bowling Green State University, Bowling Green, OH, USA",USA,,,,,1,0,1,1,0,,0,,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
,Male,,,,[title]  [keywords],,,Anthony Peruma,0,"Rochester Institute of Technology, Rochester, NY, USA",USA,,,,,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Male,,,,[title]  [keywords],,,Dishant Kaushik,0,"Rochester Institute of Technology, Rochester, NY, USA",USA,,,,,0,0,0,1,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Male,,,,[title]  [keywords],,,Mohamed Wiem Mkaouer,0,"Rochester Institute of Technology, Rochester, NY, USA",USA,,,,,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Female,,,,[title]  [keywords],,,Emily Hill,1,"Drew University, Madison, NJ, USA",USA,,,,,1,1,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A comparison of quality flaws and technical debt in model transformation specifications,Female,5,2,Model Transformations; Technical Debt; Model-Driven Engineering; Software Quality; Quality Flaws Analysis,[title] A comparison of quality flaws and technical debt in model transformation specifications [keywords]  Model Transformations; Technical Debt; Model-Driven Engineering; Software Quality; Quality Flaws Analysis,,,Shekoufeh Kolahdouz-Rahimi,1,"MDSE Research Group, Dept. of Software Engineering, University of Isfahan",Iran,1,0,0,1,1,1,0,1,1,,0,,,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
,Male,,,,[title]  [keywords],,,Kevin Lano,0,"Dept. of Informatics, Kingâ€™s College London",UK,,,,,0,0,0,0,0,,1,,,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0
,Male,,,,[title]  [keywords],,,Mohammadreza Sharbaf,0,"MDSE Research Group, Dept. of Software Engineering, University of Isfahan",Iran,,,,,0,0,0,1,0,,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Male,,,,[title]  [keywords],,,Meysam Karimi,0,"MDSE Research Group, Dept. of Software Engineering, University of Isfahan",Iran,,,,,0,0,0,1,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Female,,,,[title]  [keywords],,,Hessa Alfraihi,1,"Dept. of Information Systems, Princess Nourah bint Abdulrahman University",Saudi Arabia,,,,,0,0,0,1,1,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
From API to NLI: A new interface for library reuse,Male,5,1,API Learning; Library Reuse; Natural Language Interface; Code Synthesis; Software Development,[title] From API to NLI: A new interface for library reuse [keywords]  API Learning; Library Reuse; Natural Language Interface; Code Synthesis; Software Development,,,Qi Shen,0,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",China,0,0,1,0,1,0,1,1,0,,0,,,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
,Male,,,,[title]  [keywords],,,Shijun Wu,0,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",China,,,,,0,0,0,1,0,,0,,,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
,Female,,,,[title]  [keywords],,,Yanzhen Zou,1,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",China,,,,,1,1,0,0,0,,0,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
,Male,,,,[title]  [keywords],,,Zixiao Zhu,0,IBM Research,China,,,,,0,0,0,0,0,,0,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
,Male,,,,[title]  [keywords],,,Bing Xie,0,"Key Laboratory of High Confidence Software Technologies, Ministry of Education; School of Electronics Engineering and Computer Science, Peking University",China,,,,,1,0,1,0,0,,0,,,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Evaluating and strategizing the onboarding of software developers in large-scale globally distributed projects,Male,4,1,Onboarding Strategies; Large-scale Projects; Distributed Teams; Mentorship in Software Engineering; Business Process Modeling,[title] Evaluating and strategizing the onboarding of software developers in large-scale globally distributed projects [keywords]  Onboarding Strategies; Large-scale Projects; Distributed Teams; Mentorship in Software Engineering; Business Process Modeling,,,Ricardo Britto,0,"Ericsson AB, Ã–landsgatan, 371 73, Karlskrona, Sweden; Department of Software Engineering, Blekinge Institute of Technology, Karlskrona, Sweden",Sweden,0,0,1,0,1,0,1,0,0,,0,,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
,Female,,,,[title]  [keywords],,,Darja Smite,1,"Department of Software Engineering, Blekinge Institute of Technology, Karlskrona, Sweden",Sweden,,,,,0,0,0,0,0,,0,,,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
,Male,,,,[title]  [keywords],,,Lars-Ola Damm,0,"Ericsson AB, Ã–landsgatan, 371 73, Karlskrona, Sweden",Sweden,,,,,0,0,0,0,0,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Male,,,,[title]  [keywords],,,JÃ¼rgen BÃ¶rstler,0,"Department of Software Engineering, Blekinge Institute of Technology, Karlskrona, Sweden",Sweden,,,,,0,0,0,0,0,,0,,,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
